UID,test,Theta_All,composite_ID,SE_All
A010,1,2.82088,A010_1,0.3
A010,2,0.52215976,A010_2,0.3
A010,3,0.032280277,A010_3,0.3
A010,4,0.7475206,A010_4,0.3
A011,1,1.0872082,A011_1,0.3
A011,2,0.47575387,A011_2,0.3
A011,3,-0.64530677,A011_3,0.3
A011,4,-0.60646284,A011_4,0.3
A012,1,1.448159,A012_1,0.3
A012,2,-0.34550494,A012_2,0.3
A012,3,0.68019706,A012_3,0.3
A012,4,-0.70680475,A012_4,0.3
A013,1,0.19874606,A013_1,0.3
A013,2,-0.48991352,A013_2,0.3
A013,3,0.27359107,A013_3,0.3
A013,4,-0.4871254,A013_4,0.3
A014,1,1.0413932,A014_1,0.3
A014,2,1.5872891,A014_2,0.3
A014,3,0.3491536,A014_3,0.3
A014,4,-0.66072184,A014_4,0.3
A015,1,1.7888182,A015_1,0.3
A015,2,1.9917411,A015_2,0.3
A015,3,1.6062437,A015_3,0.3
A015,4,0.7214528,A015_4,0.3
A016,1,1.355708,A016_1,0.3
A016,2,0.27152088,A016_2,0.3
A016,3,-0.2563109,A016_3,0.3
A016,4,-1.0818298,A016_4,0.3
A017,1,-0.18766388,A017_1,0.3
A017,2,1.173361,A017_2,0.3
A017,3,0.2758815,A017_3,0.3
A017,4,-0.08601861,A017_4,0.3
A018,1,0.40627468,A018_1,0.3
A018,2,-0.060307696,A018_2,0.3
A018,3,-0.6062681,A018_3,0.3
A018,4,0.016558535,A018_4,0.3
A019,1,-0.56185794,A019_1,0.3
A019,2,-1.2554642,A019_2,0.3
A019,3,-1.2125205,A019_3,0.3
A019,4,-1.504654,A019_4,0.3
A020,1,-0.037691228,A020_1,0.3
A020,2,-0.35873535,A020_2,0.3
A020,3,-0.94670194,A020_3,0.3
A020,4,-2.1672463,A020_4,0.3
A021,1,1.3323982,A021_1,0.3
A021,2,0.6121814,A021_2,0.3
A021,3,0.32939953,A021_3,0.3
A021,4,0.59970456,A021_4,0.3
A022,1,0.086658806,A022_1,0.3
A022,2,0.43259576,A022_2,0.3
A022,3,-0.014375075,A022_3,0.3
A022,4,0.040726565,A022_4,0.3
A023,1,0.8405429,A023_1,0.3
A023,2,-0.43854272,A023_2,0.3
A023,3,0.16931213,A023_3,0.3
A023,4,-0.037729327,A023_4,0.3
A024,1,0.47647777,A024_1,0.3
A024,2,0.08737594,A024_2,0.3
A024,3,0.118193425,A024_3,0.3
A024,4,-0.78792375,A024_4,0.3
A025,1,1.1334723,A025_1,0.3
A025,2,1.6822742,A025_2,0.3
A025,3,-0.18518095,A025_3,0.3
A025,4,-1.1278511,A025_4,0.3
A026,1,1.0837924,A026_1,0.3
A026,2,0.041039225,A026_2,0.3
A026,3,0.7864911,A026_3,0.3
A026,4,-0.14925778,A026_4,0.3
A027,1,1.0331303,A027_1,0.3
A027,2,0.37554634,A027_2,0.3
A027,3,-0.64280623,A027_3,0.3
A027,4,-0.8113868,A027_4,0.3
A028,1,1.7673881,A028_1,0.3
A028,2,-0.029570255,A028_2,0.3
A028,3,-0.094513655,A028_3,0.3
A028,4,-0.62328154,A028_4,0.3
A029,1,1.4935036,A029_1,0.3
A029,2,0.4356388,A029_2,0.3
A029,3,1.2315573,A029_3,0.3
A029,4,0.9087743,A029_4,0.3
A030,1,0.29519206,A030_1,0.3
A030,2,1.2028853,A030_2,0.3
A030,3,-0.19453105,A030_3,0.3
A030,4,0.26979968,A030_4,0.3
A031,1,2.2803278,A031_1,0.3
A031,2,0.045558378,A031_2,0.3
A031,3,-0.076588705,A031_3,0.3
A031,4,-0.7021683,A031_4,0.3
A032,1,0.76092064,A032_1,0.3
A032,2,-0.2723835,A032_2,0.3
A032,3,0.73297864,A032_3,0.3
A032,4,1.5777909,A032_4,0.3
A033,1,0.46127623,A033_1,0.3
A033,2,0.5530071,A033_2,0.3
A033,3,0.88859254,A033_3,0.3
A033,4,-0.2374645,A033_4,0.3
A034,1,1.9844582,A034_1,0.3
A034,2,0.7387352,A034_2,0.3
A034,3,0.034722697,A034_3,0.3
A034,4,-0.12852024,A034_4,0.3
A035,1,0.06423052,A035_1,0.3
A035,2,0.7560907,A035_2,0.3
A035,3,-0.42110208,A035_3,0.3
A035,4,-0.93647265,A035_4,0.3
A036,1,1.2784083,A036_1,0.3
A036,2,-0.15254728,A036_2,0.3
A036,3,-0.3775482,A036_3,0.3
A036,4,-0.938546,A036_4,0.3
A037,1,1.238564,A037_1,0.3
A037,2,1.4822092,A037_2,0.3
A037,3,0.4367131,A037_3,0.3
A037,4,-0.27278295,A037_4,0.3
A038,1,1.1665348,A038_1,0.3
A038,2,-0.33816049,A038_2,0.3
A038,3,0.93497986,A038_3,0.3
A038,4,0.05831807,A038_4,0.3
A039,1,2.2232966,A039_1,0.3
A039,2,1.5169916,A039_2,0.3
A039,3,0.710778,A039_3,0.3
A039,4,0.72524077,A039_4,0.3
A040,1,-0.46753743,A040_1,0.3
A040,2,0.04218897,A040_2,0.3
A040,3,-1.5771954,A040_3,0.3
A040,4,-1.6172323,A040_4,0.3
A041,1,1.0704184,A041_1,0.3
A041,2,-1.1856589,A041_2,0.3
A041,3,0.31033126,A041_3,0.3
A041,4,-0.11687396,A041_4,0.3
A042,1,-0.98369753,A042_1,0.3
A042,2,-0.89548224,A042_2,0.3
A042,3,-0.21187143,A042_3,0.3
A042,4,-1.2298367,A042_4,0.3
A043,1,1.0668296,A043_1,0.3
A043,2,0.53041226,A043_2,0.3
A043,3,0.6673287,A043_3,0.3
A043,4,-0.2905653,A043_4,0.3
A044,1,0.05695987,A044_1,0.3
A044,2,-0.30843893,A044_2,0.3
A044,3,-1.2508998,A044_3,0.3
A044,4,-1.8113866,A044_4,0.3
A045,1,-0.80583113,A045_1,0.3
A045,2,-1.0066518,A045_2,0.3
A045,3,-0.9668573,A045_3,0.3
A045,4,-1.2290536,A045_4,0.3
A046,1,-0.7315882,A046_1,0.3
A046,2,-1.2689507,A046_2,0.3
A046,3,-1.7467433,A046_3,0.3
A046,4,-1.2980623,A046_4,0.3
A047,1,-0.7425531,A047_1,0.3
A047,2,-0.56530917,A047_2,0.3
A047,3,-1.2024845,A047_3,0.3
A047,4,-1.5836935,A047_4,0.3
A048,1,1.2171419,A048_1,0.3
A048,2,-0.103003785,A048_2,0.3
A048,3,0.20278032,A048_3,0.3
A048,4,0.14884658,A048_4,0.3
A049,1,2.3203135,A049_1,0.3
A049,2,-0.5666835,A049_2,0.3
A049,3,0.41683063,A049_3,0.3
A049,4,0.16847004,A049_4,0.3
A050,1,-0.392177,A050_1,0.3
A050,2,-0.81500846,A050_2,0.3
A050,3,-0.93419176,A050_3,0.3
A050,4,-1.0999918,A050_4,0.3
A051,1,1.5070535,A051_1,0.3
A051,2,-0.33411354,A051_2,0.3
A051,3,-0.53020895,A051_3,0.3
A051,4,-0.7240826,A051_4,0.3
A052,1,0.55191344,A052_1,0.3
A052,2,0.39551792,A052_2,0.3
A052,3,-0.026145741,A052_3,0.3
A052,4,-0.82754743,A052_4,0.3
A053,1,1.2821684,A053_1,0.3
A053,2,0.95269287,A053_2,0.3
A053,3,-0.37401646,A053_3,0.3
A053,4,-0.0065468247,A053_4,0.3
A054,1,0.524981,A054_1,0.3
A054,2,1.0218441,A054_2,0.3
A054,3,0.9854884,A054_3,0.3
A054,4,1.2560931,A054_4,0.3
A055,1,0.4335658,A055_1,0.3
A055,2,0.7926263,A055_2,0.3
A055,3,-0.112310894,A055_3,0.3
A055,4,-0.67043805,A055_4,0.3
A056,1,0.4553307,A056_1,0.3
A056,2,0.5145334,A056_2,0.3
A056,3,-0.2492834,A056_3,0.3
A056,4,-0.86999506,A056_4,0.3
A057,1,0.39841083,A057_1,0.3
A057,2,-0.7434053,A057_2,0.3
A057,3,-0.66427946,A057_3,0.3
A057,4,-1.0513189,A057_4,0.3
A058,1,0.98674935,A058_1,0.3
A058,2,-0.667724,A058_2,0.3
A058,3,-0.22924043,A058_3,0.3
A058,4,-1.0351818,A058_4,0.3
A059,1,1.1100798,A059_1,0.3
A059,2,1.3039122,A059_2,0.3
A059,3,1.1978642,A059_3,0.3
A059,4,0.306632,A059_4,0.3
A060,1,-0.03336047,A060_1,0.3
A060,2,1.3360007,A060_2,0.3
A060,3,-0.5012713,A060_3,0.3
A060,4,-0.12316632,A060_4,0.3
A061,1,2.840409,A061_1,0.3
A061,2,0.9310771,A061_2,0.3
A061,3,0.35105392,A061_3,0.3
A061,4,-0.18941179,A061_4,0.3
A062,1,1.4547976,A062_1,0.3
A062,2,0.40032595,A062_2,0.3
A062,3,-0.71933067,A062_3,0.3
A062,4,-0.7851457,A062_4,0.3
A063,1,0.79967636,A063_1,0.3
A063,2,0.92907774,A063_2,0.3
A063,3,0.13805565,A063_3,0.3
A063,4,-0.5937941,A063_4,0.3
A064,1,1.0638402,A064_1,0.3
A064,2,0.552375,A064_2,0.3
A064,3,0.23217492,A064_3,0.3
A064,4,-0.44561276,A064_4,0.3
A065,1,-2.0830104,A065_1,0.3
A065,2,-0.9551515,A065_2,0.3
A065,3,-2.328333,A065_3,0.3
A065,4,-2.4072976,A065_4,0.3
A066,1,0.45707268,A066_1,0.3
A066,2,-0.43946454,A066_2,0.3
A066,3,-1.029803,A066_3,0.3
A066,4,-1.3137078,A066_4,0.3
A067,1,0.56683654,A067_1,0.3
A067,2,-1.3179948,A067_2,0.3
A067,3,-1.4770215,A067_3,0.3
A067,4,-1.151493,A067_4,0.3
A068,1,1.3359032,A068_1,0.3
A068,2,0.15436766,A068_2,0.3
A068,3,0.48587143,A068_3,0.3
A068,4,-0.48925096,A068_4,0.3
A069,1,-0.829367,A069_1,0.3
A069,2,-1.3878288,A069_2,0.3
A069,3,-0.72984815,A069_3,0.3
A069,4,-1.8206128,A069_4,0.3
A070,1,0.769586,A070_1,0.3
A070,2,0.1572754,A070_2,0.3
A070,3,-0.5042026,A070_3,0.3
A070,4,-0.95631814,A070_4,0.3
A071,1,1.0652045,A071_1,0.3
A071,2,0.48838606,A071_2,0.3
A071,3,-0.9492759,A071_3,0.3
A071,4,-0.1431156,A071_4,0.3
A072,1,1.027997,A072_1,0.3
A072,2,0.32470903,A072_2,0.3
A072,3,-0.81482315,A072_3,0.3
A072,4,-0.059671625,A072_4,0.3
A073,1,0.86409956,A073_1,0.3
A073,2,-0.43931562,A073_2,0.3
A073,3,-0.022208666,A073_3,0.3
A073,4,0.87205744,A073_4,0.3
A074,1,1.0114701,A074_1,0.3
A074,2,-0.24984065,A074_2,0.3
A074,3,-0.747433,A074_3,0.3
A074,4,-1.140333,A074_4,0.3
A075,1,0.44177657,A075_1,0.3
A075,2,0.3285573,A075_2,0.3
A075,3,-1.6101103,A075_3,0.3
A075,4,-0.8352746,A075_4,0.3
A076,1,-0.67275023,A076_1,0.3
A076,2,-0.727144,A076_2,0.3
A076,3,-1.2541977,A076_3,0.3
