UID,test,Theta_All
A010,1,2.7277744
A010,2,0.4830945
A010,3,-0.063471645
A010,4,0.7356485
A011,1,0.99576205
A011,2,0.40040046
A011,3,-0.62277347
A011,4,-0.48618072
A012,1,1.5109797
A012,2,-0.3742091
A012,3,0.8594104
A012,4,-0.57650775
A013,1,0.2579466
A013,2,-0.576954
A013,3,0.15941933
A013,4,-0.50066453
A014,1,0.9670465
A014,2,1.7351536
A014,3,0.37096328
A014,4,-0.60555935
A015,1,1.7906865
A015,2,1.9530646
A015,3,1.7458305
A015,4,0.74841046
A016,1,1.3865802
A016,2,0.23833106
A016,3,-0.063229874
A016,4,-1.1086501
A017,1,-0.12061626
A017,2,1.2353034
A017,3,0.18662216
A017,4,0.04002261
A018,1,0.34396127
A018,2,-0.10368377
A018,3,-0.6740158
A018,4,0.015628511
A019,1,-0.44238952
A019,2,-1.233944
A019,3,-1.1916012
A019,4,-1.652823
A020,1,-0.036810145
A020,2,-0.4131784
A020,3,-0.9177355
A020,4,-2.2843106
A021,1,1.366235
A021,2,0.648662
A021,3,0.3772473
A021,4,0.77024406
A022,1,0.1020859
A022,2,0.4643598
A022,3,-0.11233316
A022,4,0.0056279004
A023,1,0.8812526
A023,2,-0.48242265
A023,3,0.13040453
A023,4,0.004668119
A024,1,0.33348504
A024,2,0.10314593
A024,3,0.1529355
A024,4,-0.7700928
A025,1,0.99917114
A025,2,1.6789465
A025,3,-0.15189764
A025,4,-1.1388493
A026,1,1.0569059
A026,2,0.062489662
A026,3,0.7757372
A026,4,-0.26765063
A027,1,0.9770042
A027,2,0.3337341
A027,3,-0.7031997
A027,4,-0.8390413
A028,1,1.5710772
A028,2,-0.19436406
A028,3,-0.0985842
A028,4,-0.7637951
A029,1,1.7016916
A029,2,0.3401657
A029,3,1.2822845
A029,4,0.7683035
A030,1,0.33380765
A030,2,1.2043047
A030,3,-0.12868379
A030,4,0.33196774
A031,1,2.2557483
A031,2,0.018638758
A031,3,-0.04251805
A031,4,-0.57443035
A032,1,0.8067235
A032,2,-0.12246857
A032,3,0.6580906
A032,4,1.5530372
A033,1,0.43369794
A033,2,0.5100616
A033,3,0.9657034
A033,4,-0.40873924
A034,1,2.0359054
A034,2,0.65717703
A034,3,-0.10081277
A034,4,-0.1552254
A035,1,-0.06479133
A035,2,0.7425775
A035,3,-0.4961729
A035,4,-0.98961914
A036,1,1.3283472
A036,2,-0.15242939
A036,3,-0.39740184
A036,4,-1.0100961
A037,1,1.1801162
A037,2,1.2522094
A037,3,0.29365978
A037,4,-0.16601759
A038,1,1.2059275
A038,2,-0.16850944
A038,3,0.9667946
A038,4,-0.017467948
A039,1,2.174663
A039,2,1.3026897
A039,3,0.567675
A039,4,0.72307914
A040,1,-0.5069201
A040,2,0.14172223
A040,3,-1.6828778
A040,4,-1.6119773
A041,1,1.1962991
A041,2,-1.1736511
A041,3,0.2872409
A041,4,0.1290578
A042,1,-0.8806226
A042,2,-0.99250966
A042,3,-0.17139933
A042,4,-1.260689
A043,1,1.0349586
A043,2,0.5667534
A043,3,0.56906503
A043,4,-0.36708274
A044,1,-0.0888245
A044,2,-0.37333766
A044,3,-1.308094
A044,4,-1.7971689
A045,1,-0.9017756
A045,2,-1.0143217
A045,3,-1.1242429
A045,4,-1.2476392
A046,1,-0.7687857
A046,2,-1.3034526
A046,3,-1.624248
A046,4,-1.154563
A047,1,-0.7466336
A047,2,-0.5145792
A047,3,-1.2429395
A047,4,-1.600209
A048,1,1.0764405
A048,2,-0.06019045
A048,3,0.14282681
A048,4,0.09614354
A049,1,2.1010969
A049,2,-0.5321013
A049,3,0.37812865
A049,4,0.034191336
A050,1,-0.39878848
A050,2,-0.71372736
A050,3,-0.9261868
A050,4,-1.1381246
A051,1,1.5230782
A051,2,-0.30774206
A051,3,-0.6520249
A051,4,-0.72000563
A052,1,0.58457315
A052,2,0.3844317
A052,3,0.116021834
A052,4,-0.8312764
A053,1,1.401935
A053,2,0.97594434
A053,3,-0.40916884
A053,4,-0.13549207
A054,1,0.52522403
A054,2,1.1258696
A054,3,1.191061
A054,4,1.2362738
A055,1,0.28537354
A055,2,0.8647509
A055,3,-0.119812906
A055,4,-0.62007034
A056,1,0.5282342
A056,2,0.54977185
A056,3,-0.4118956
A056,4,-0.9539059
A057,1,0.4946756
A057,2,-0.77376056
A057,3,-0.68134856
A057,4,-1.0877718
A058,1,1.0215306
A058,2,-0.8427394
A058,3,-0.121771336
A058,4,-1.0669552
A059,1,0.99710035
A059,2,1.2424322
A059,3,1.3356622
A059,4,0.38432297
A060,1,-0.051358394
A060,2,1.310061
A060,3,-0.5090028
A060,4,0.19280487
A061,1,2.529091
A061,2,0.94611883
A061,3,0.27741587
A061,4,-0.2929151
A062,1,1.5359104
A062,2,0.14121151
A062,3,-0.59946907
A062,4,-0.7168849
A063,1,0.86206603
A063,2,0.7186035
A063,3,0.17484958
A063,4,-0.58241045
A064,1,0.83211017
A064,2,0.56187433
A064,3,0.17636402
A064,4,-0.33321425
A065,1,-2.2385516
A065,2,-0.9801161
A065,3,-2.2205753
A065,4,-2.3754525
A066,1,0.46571386
A066,2,-0.45289963
A066,3,-0.92944336
A066,4,-1.2830758
A067,1,0.6627066
A067,2,-1.312235
A067,3,-1.4752139
A067,4,-1.1757759
A068,1,1.3038205
A068,2,0.163223
A068,3,0.4192529
A068,4,-0.3906647
A069,1,-0.7867887
A069,2,-1.5067587
A069,3,-0.71302193
A069,4,-1.7110198
A070,1,0.5967721
A070,2,0.042192243
A070,3,-0.4347659
A070,4,-1.0469787
A071,1,1.1001538
A071,2,0.40058818
A071,3,-0.86193055
A071,4,0.1462163
A072,1,0.9622242
A072,2,0.37431285
A072,3,-0.88631296
A072,4,-0.13873519
A073,1,0.8751058
A073,2,-0.48682293
A073,3,-0.018863132
A073,4,0.9759681
A074,1,1.1391835
A074,2,-0.16370372
A074,3,-0.85258937
A074,4,-1.1428367
A075,1,0.4822121
A075,2,0.49708104
A075,3,-1.5457226
A075,4,-0.5980336
A076,1,-0.39436588
A076,2,-0.7679121
A076,3,-1.2046329
A076,4,-2.5163941
A077,1,1.257486
A077,2,-0.15718071
A077,3,0.254887
A077,4,0.58986604
A078,1,0.05510661
A078,2,0.07325087
A078,3,-1.0537938
A078,4,-1.0697036
A079,1,0.49688977
A079,2,-0.40158516
A079,3,-0.94553256
A079,4,-0.9119565
A080,1,0.35685366
A080,2,0.34285796
A080,3,0.31786218
A080,4,-0.8033879
A081,1,0.56923956
A081,2,-0.24241331
A081,3,0.93472326
A081,4,0.18450806
A082,1,0.47511065
A082,2,1.1720833
A082,3,0.4018064
A082,4,-0.08527875
A083,1,1.9135383
A083,2,0.9028967
A083,3,0.21852846
A083,4,-0.03377411
A084,1,0.37614724
A084,2,-0.4066572
A084,3,0.011830099
A084,4,-0.024996497
A085,1,0.29977113
A085,2,1.7130281
A085,3,-0.14947924
A085,4,-0.5059031
A086,1,0.9054527
A086,2,-0.35819164
A086,3,-1.1229844
A086,4,-1.1456217
A087,1,1.164813
A087,2,1.112516
A087,3,-0.23325346
A087,4,0.27864328
A088,1,2.00997
A088,2,2.599694
A088,3,0.43418288
A088,4,1.1879628
A089,1,1.6034564
A089,2,0.9674698
A089,3,0.524776
A089,4,0.3647498
A090,1,0.20163605
A090,2,-0.51139903
A090,3,-1.5578265
A090,4,-1.1440647
A091,1,0.64397514
A091,2,-0.25296763
A091,3,-1.0806334
A091,4,-0.80276793
A092,1,-0.28513366
A092,2,-0.78696686
A092,3,-0.45482323
A092,4,-1.3833519
A093,1,0.56161565
A093,2,0.19028424
A093,3,0.67098945
A093,4,0.5149613
A094,1,-0.70889944
A094,2,-0.17624284
A094,3,-1.6861137
A094,4,-1.1788263
A095,1,1.5409168
A095,2,-0.27584857
A095,3,-0.5608494
A095,4,-0.7580661
A096,1,-0.45961466
A096,2,-1.2598481
A096,3,-2.12857
A096,4,-1.4557325
A097,1,0.24293853
A097,2,-0.5491651
A097,3,0.7895957
A097,4,0.086306766
A098,1,0.6008492
A098,2,0.3483601
A098,3,1.1610224
A098,4,-0.6924288
A099,1,1.1219946
A099,2,1.2483166
A099,3,-0.21441267
A099,4,0.8498486
A100,1,-0.06985861
A100,2,0.79101294
A100,3,0.2661362
A100,4,0.06164612
A101,1,-1.0356112
A101,2,-0.70036155
A101,3,-1.5118189
A101,4,-1.1640573
A102,1,-0.044223346
A102,2,1.0700971
A102,3,-0.4782194
A102,4,-0.5023084
A103,1,1.7611793
A103,2,-1.0142955
A103,3,-1.7227138
A103,4,-0.96813315
A104,1,1.7474676
A104,2,0.04523211
A104,3,0.22338806
A104,4,-1.7777252
A105,1,0.61165696
A105,2,0.47426346
A105,3,-0.23769371
A105,4,0.29649377
A106,1,1.1972102
A106,2,0.124567874
A106,3,0.3480307
A106,4,1.0106606
A107,1,-0.71622896
A107,2,-1.6166046
A107,3,-1.0414004
A107,4,-1.2497748
A108,1,-0.4913459
A108,2,-1.1094757
A108,3,-0.358304
A108,4,-1.1333818
A109,1,-0.25337747
A109,2,-1.0994496
A109,3,-0.23198725
A109,4,-1.2962439
