composite_ID,UID,test,theta_observed,theta_ma_fitted,residual_ma,TSVR_hours
A010_1,A010,T1,2.7277744,1.4338527411222286,1.2939216588777713,1.0
A010_2,A010,T2,0.4830945,0.9661580211854386,-0.4830635211854386,21.9
A010_3,A010,T3,-0.063471645,0.5106902703521294,-0.5741619153521295,80.88
A010_4,A010,T4,0.7356485,0.2957910834065324,0.43985741659346766,145.31
A011_1,A011,T1,0.99576205,0.6964962779098628,0.29926577209013716,1.0
A011_2,A011,T2,0.40040046,0.19321361662006073,0.20718684337993928,24.57
A011_3,A011,T3,-0.62277347,-0.18634826755279077,-0.4364252024472093,72.55
A011_4,A011,T4,-0.48618072,-0.450197341106932,-0.03598337889306802,148.85
A012_1,A012,T1,1.5109797,1.0022599132587293,0.5087197867412707,1.0
A012_2,A012,T2,-0.3742091,0.48597278501323365,-0.8601818850132337,25.6
A012_3,A012,T3,0.8594104,-0.18394966186810405,1.043360061868104,166.33
A012_4,A012,T4,-0.57650775,-0.18509500814496951,-0.3914127418550305,166.87
A013_1,A013,T1,0.2579466,0.5087887227141423,-0.2508421227141423,1.0
A013_2,A013,T2,-0.576954,0.002950990165244967,-0.5799049901652449,24.77
A013_3,A013,T3,0.15941933,-0.4087342699105535,0.5681535999105535,79.66
A013_4,A013,T4,-0.50066453,-0.633739503666108,0.133074973666108,147.13
A014_1,A014,T1,0.9670465,1.144807210148664,-0.1777607101486639,1.0
A014_2,A014,T2,1.7351536,0.6277741500824554,1.1073794499175447,25.66
A014_3,A014,T3,0.37096328,0.27226937799700857,0.09869390200299144,70.56
A014_4,A014,T4,-0.60555935,-0.0019345299215762738,-0.6036248200784238,148.87
A015_1,A015,T1,1.7906865,1.9125012417977445,-0.12181474179774443,1.0
A015_2,A015,T2,1.9530646,1.4206381857303136,0.5324264142696864,23.69
A015_3,A015,T3,1.7458305,1.0398059368045847,0.7060245631954154,70.59
A015_4,A015,T4,0.74841046,0.7714142553783274,-0.02300379537832742,146.54
A016_1,A016,T1,1.3865802,0.75905582840456,0.6275243715954401,1.0
A016_2,A016,T2,0.23833106,0.16072051355589656,0.07761054644410345,32.85
A016_3,A016,T3,-0.063229874,-0.16300399912608612,0.09977412512608612,80.64
A016_4,A016,T4,-1.1086501,-0.39229619861266946,-0.7163539013873306,150.8
A017_1,A017,T1,-0.12061626,0.8847598942444908,-1.0053761542444908,1.0
A017_2,A017,T2,1.2353034,0.4353243527591449,0.7999790472408552,20.61
A017_3,A017,T3,0.18662216,0.06432482370028168,0.12229733629971833,61.28
A017_4,A017,T4,0.04002261,-0.2411684468936415,0.2811910568936415,140.49
A018_1,A018,T1,0.34396127,0.5855067443864594,-0.24154547438645946,1.0
A018_2,A018,T2,-0.10368377,-0.024830165770225277,-0.07885360422977472,34.03
A018_3,A018,T3,-0.6740158,-0.35010493337729665,-0.3239108666227034,83.64
A018_4,A018,T4,0.015628511,-0.5660112635984577,0.5816397745984576,150.87
A019_1,A019,T1,-0.44238952,-0.26652576766418723,-0.17586375233581275,1.0
A019_2,A019,T2,-1.233944,-0.8196785980785389,-0.414265401921461,28.69
A019_3,A019,T3,-1.1916012,-1.202314810248825,0.010713610248825,83.68
A019_4,A019,T4,-1.652823,-1.4271354130700293,-0.2256875869299706,154.76
A020_1,A020,T1,-0.036810145,-0.10212362382114268,0.06531347882114268,1.0
A020_2,A020,T2,-0.4131784,-0.6336971508973382,0.22051875089733824,26.85
A020_3,A020,T3,-0.9177355,-1.0130203110343405,0.0952848110343405,78.25
A020_4,A020,T4,-2.2843106,-1.2413446258062892,-1.0429659741937107,145.78
A021_1,A021,T1,1.366235,1.2978419883548147,0.06839301164518541,1.0
A021_2,A021,T2,0.648662,0.7276308942918428,-0.07896889429184284,30.21
