model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
PowerLaw_04,866.6128837715473,882.5787419599793,-429.30644188577367,3.0,True,0.0,0.0559629099930681,0.0559629099930681
PowerLaw_05,866.7416093576749,882.7074675461068,-429.37080467883743,3.0,True,0.1287255861275298,0.0524744485421003,0.1084373585351684
PowerLaw_03,866.8311118261154,882.7969700145474,-429.4155559130577,3.0,True,0.2182280545680441,0.0501779216641502,0.1586152801993187
LogLog,866.8917991903559,882.8576573787878,-429.44589959517793,3.0,True,0.2789154188085376,0.0486782072570406,0.2072934874563594
Root_033,867.0875696475973,883.0534278360293,-429.54378482379866,3.0,True,0.474685876049989,0.0441391088620066,0.251432596318366
CubeRoot,867.0895568805477,883.0554150689796,-429.5447784402738,3.0,True,0.4766731090003304,0.0440952732977179,0.295527869616084
PowerLaw_06,867.1927198403409,883.1585780287729,-429.59635992017047,3.0,True,0.579836068793611,0.0418784391343424,0.3374063087504264
FourthRoot,867.3228426879605,883.2887008763925,-429.6614213439802,3.0,True,0.709958916413143,0.0392405123540307,0.3766468211044572
PowerLaw_02,867.4144360748091,883.3802942632411,-429.7072180374046,3.0,True,0.8015523032618148,0.0374839558760538,0.414130776980511
PowerLaw_07,867.9365872501985,883.9024454386305,-429.9682936250993,3.0,True,1.3237034786511686,0.028870993628687,0.4430017706091981
PowerLaw_01,868.3734637484649,884.3393219368969,-430.18673187423246,3.0,True,1.7605799769175974,0.0232057283838721,0.4662074989930703
SquareRoot+Lin,868.4965191922734,888.4538419278133,-429.2482595961367,4.0,True,1.8836354207260229,0.021820970116575,0.4880284691096453
Exp+Log,868.5781615441692,888.5354842797092,-429.2890807720846,4.0,True,1.9652777726219028,0.0209481484594794,0.5089766175691248
Lin+Log,868.5781615441692,888.5354842797092,-429.2890807720846,4.0,True,1.9652777726219028,0.0209481484594794,0.5299247660286043
Recip+PowerLaw05,868.6114600600217,888.5687827955617,-429.30573003001086,4.0,True,1.9985762884743965,0.0206022646766712,0.5505270307052755
Recip+PowerLaw,868.6114600600217,888.5687827955617,-429.30573003001086,4.0,True,1.9985762884743965,0.0206022646766712,0.5711292953819468
