UID,test,theta,TSVR_hours
A010,1,2.7277744,1.0
A010,2,0.4830945,21.9
A010,3,-0.063471645,80.88
A010,4,0.7356485,145.31
A011,1,0.99576205,1.0
A011,2,0.40040046,24.57
A011,3,-0.62277347,72.55
A011,4,-0.48618072,148.85
A012,1,1.5109797,1.0
A012,2,-0.3742091,25.6
A012,3,0.8594104,166.33
A012,4,-0.57650775,166.87
A013,1,0.2579466,1.0
A013,2,-0.576954,24.77
A013,3,0.15941933,79.66
A013,4,-0.50066453,147.13
A014,1,0.9670465,1.0
A014,2,1.7351536,25.66
A014,3,0.37096328,70.56
A014,4,-0.60555935,148.87
A015,1,1.7906865,1.0
A015,2,1.9530646,23.69
A015,3,1.7458305,70.59
A015,4,0.74841046,146.54
A016,1,1.3865802,1.0
A016,2,0.23833106,32.85
A016,3,-0.063229874,80.64
A016,4,-1.1086501,150.8
A017,1,-0.12061626,1.0
A017,2,1.2353034,20.61
A017,3,0.18662216,61.28
A017,4,0.04002261,140.49
A018,1,0.34396127,1.0
A018,2,-0.10368377,34.03
A018,3,-0.6740158,83.64
A018,4,0.015628511,150.87
A019,1,-0.44238952,1.0
A019,2,-1.233944,28.69
A019,3,-1.1916012,83.68
A019,4,-1.652823,154.76
A020,1,-0.036810145,1.0
A020,2,-0.4131784,26.85
A020,3,-0.9177355,78.25
A020,4,-2.2843106,145.78
A021,1,1.366235,1.0
A021,2,0.648662,30.21
A021,3,0.3772473,74.19
A021,4,0.77024406,140.39
A022,1,0.1020859,1.0
A022,2,0.4643598,24.15
A022,3,-0.11233316,74.46
A022,4,0.0056279004,141.71
A023,1,0.8812526,1.0
A023,2,-0.48242265,25.63
A023,3,0.13040453,72.2
A023,4,0.004668119,145.07
A024,1,0.33348504,1.0
A024,2,0.10314593,29.57
A024,3,0.1529355,91.47
A024,4,-0.7700928,145.65
A025,1,0.99917114,1.0
A025,2,1.6789465,23.33
A025,3,-0.15189764,72.94
A025,4,-1.1388493,137.74
A026,1,1.0569059,1.0
A026,2,0.062489662,26.48
A026,3,0.7757372,75.46
A026,4,-0.26765063,147.65
A027,1,0.9770042,1.0
A027,2,0.3337341,28.26
A027,3,-0.7031997,74.58
A027,4,-0.8390413,145.92
A028,1,1.5710772,1.0
A028,2,-0.19436406,22.82
A028,3,-0.0985842,72.26
A028,4,-0.7637951,138.91
A029,1,1.7016916,1.0
A029,2,0.3401657,28.43
A029,3,1.2822845,93.26
A029,4,0.7683035,143.14
A030,1,0.33380765,1.0
A030,2,1.2043047,32.95
A030,3,-0.12868379,71.93
A030,4,0.33196774,150.46
A031,1,2.2557483,1.0
A031,2,0.018638758,32.41
A031,3,-0.04251805,71.56
A031,4,-0.57443035,143.85
A032,1,0.8067235,1.0
A032,2,-0.12246857,57.18
A032,3,0.6580906,80.16
A032,4,1.5530372,144.51
A033,1,0.43369794,1.0
A033,2,0.5100616,29.16
A033,3,0.9657034,72.6
A033,4,-0.40873924,168.33
A034,1,2.0359054,1.0
A034,2,0.65717703,26.08
A034,3,-0.10081277,74.28
A034,4,-0.1552254,145.38
A035,1,-0.06479133,1.0
A035,2,0.7425775,44.76
A035,3,-0.4961729,79.98
A035,4,-0.98961914,152.47
A036,1,1.3283472,1.0
A036,2,-0.15242939,21.63
A036,3,-0.39740184,71.47
A036,4,-1.0100961,143.85
A037,1,1.1801162,1.0
A037,2,1.2522094,23.7
A037,3,0.29365978,72.08
A037,4,-0.16601759,143.66
A038,1,1.2059275,1.0
A038,2,-0.16850944,71.85
A038,3,0.9667946,72.86
A038,4,-0.017467948,152.89
A039,1,2.174663,1.0
A039,2,1.3026897,28.65
A039,3,0.567675,98.84
A039,4,0.72307914,246.24
A040,1,-0.5069201,1.0
A040,2,0.14172223,26.26
A040,3,-1.6828778,71.28
A040,4,-1.6119773,143.53
A041,1,1.1962991,1.0
A041,2,-1.1736511,31.78
A041,3,0.2872409,75.74
A041,4,0.1290578,141.84
A042,1,-0.8806226,1.0
A042,2,-0.99250966,28.93
A042,3,-0.17139933,72.17
A042,4,-1.260689,146.02
A043,1,1.0349586,1.0
A043,2,0.5667534,25.62
A043,3,0.56906503,64.94
A043,4,-0.36708274,149.33
A044,1,-0.0888245,1.0
A044,2,-0.37333766,47.66
A044,3,-1.308094,91.63
A044,4,-1.7971689,155.27
A045,1,-0.9017756,1.0
A045,2,-1.0143217,24.66
A045,3,-1.1242429,72.23
A045,4,-1.2476392,151.52
A046,1,-0.7687857,1.0
A046,2,-1.3034526,24.32
A046,3,-1.624248,73.05
A046,4,-1.154563,147.94
A047,1,-0.7466336,1.0
A047,2,-0.5145792,23.46
A047,3,-1.2429395,76.85
A047,4,-1.600209,144.22
A048,1,1.0764405,1.0
A048,2,-0.06019045,23.91
A048,3,0.14282681,81.15
A048,4,0.09614354,146.3
A049,1,2.1010969,1.0
