model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,Age_c_coef,Age_c_se,Age_c_z,Age_c_p,sqrt_Days:Age_c_coef,sqrt_Days:Age_c_se,sqrt_Days:Age_c_z,sqrt_Days:Age_c_p,Time:Age_c_coef,Time:Age_c_se,Time:Age_c_z,Time:Age_c_p,tanh_Days:Age_c_coef,tanh_Days:Age_c_se,tanh_Days:Age_c_z,tanh_Days:Age_c_p,Days_pow_50:Age_c_coef,Days_pow_50:Age_c_se,Days_pow_50:Age_c_z,Days_pow_50:Age_c_p,Time_log:Age_c_coef,Time_log:Age_c_se,Time_log:Age_c_z,Time_log:Age_c_p,recip_Days:Age_c_coef,recip_Days:Age_c_se,recip_Days:Age_c_z,recip_Days:Age_c_p,log_log_Days:Age_c_coef,log_log_Days:Age_c_se,log_log_Days:Age_c_z,log_log_Days:Age_c_p,log10_Days:Age_c_coef,log10_Days:Age_c_se,log10_Days:Age_c_z,log10_Days:Age_c_p,neg_Days:Age_c_coef,neg_Days:Age_c_se,neg_Days:Age_c_z,neg_Days:Age_c_p,Days_sq:Age_c_coef,Days_sq:Age_c_se,Days_sq:Age_c_z,Days_sq:Age_c_p,Days_cube:Age_c_coef,Days_cube:Age_c_se,Days_cube:Age_c_z,Days_cube:Age_c_p,Days_quart:Age_c_coef,Days_quart:Age_c_se,Days_quart:Age_c_z,Days_quart:Age_c_p,Days_pow_30:Age_c_coef,Days_pow_30:Age_c_se,Days_pow_30:Age_c_z,Days_pow_30:Age_c_p,sin_Days:Age_c_coef,sin_Days:Age_c_se,sin_Days:Age_c_z,sin_Days:Age_c_p,cos_Days:Age_c_coef,cos_Days:Age_c_se,cos_Days:Age_c_z,cos_Days:Age_c_p,Days_pow_33:Age_c_coef,Days_pow_33:Age_c_se,Days_pow_33:Age_c_z,Days_pow_33:Age_c_p,Days_pow_40:Age_c_coef,Days_pow_40:Age_c_se,Days_pow_40:Age_c_z,Days_pow_40:Age_c_p,Days_pow_60:Age_c_coef,Days_pow_60:Age_c_se,Days_pow_60:Age_c_z,Days_pow_60:Age_c_p,Days_pow_67:Age_c_coef,Days_pow_67:Age_c_se,Days_pow_67:Age_c_z,Days_pow_67:Age_c_p,Days_pow_70:Age_c_coef,Days_pow_70:Age_c_se,Days_pow_70:Age_c_z,Days_pow_70:Age_c_p
SquareRoot+Lin,876.0218367959669,915.9364822670467,-428.01091839798346,9,True,0.0,0.0992273115319212,0.0992273115319212,-0.012209826311416693,0.006780796528952529,-1.800647793999331,0.07175841096698321,0.00043521966859196373,0.001821129788433621,0.23898333405786645,0.8111185058534607,2.1557842191726048e-06,0.00013372135003776955,0.01612146615752611,0.9871374882225349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanh,876.1410055898668,908.0727219667307,-430.0705027949334,7,True,0.11916879389991664,0.09348760842613468,0.1927149199580559,-0.011820323841978205,0.005795747613238607,-2.039482156707152,0.041401930265391504,,,,,,,,,0.004489310845320117,0.005049086088465054,0.8891333533758162,0.3739314155959429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctanh,876.1410055898668,908.0727219667307,-430.0705027949334,7,True,0.11916879389991664,0.09348760842613468,0.2862025283841906,-0.011820323841978205,0.005795747613238607,-2.039482156707152,0.041401930265391504,,,,,,,,,0.004489310845320117,0.005049086088465054,0.8891333533758162,0.3739314155959429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SquareRoot,876.4410844209974,908.3728007978613,-430.2205422104987,7,True,0.4192476250304935,0.08046235873741904,0.3666648871216096,-0.012281168386001426,0.005933426006103954,-2.0698275116884064,0.03846850005357438,0.00046154519687972796,0.00047256466560516373,0.9766815643921996,0.3287268248474138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerLaw_Log,876.5434904607887,916.4581359318685,-428.27174523039434,9,True,0.5216536648217698,0.0764461416256531,0.4431110287472627,-0.01530945325732152,0.027704740184263523,-0.552593280265353,0.580541944385581,,,,,,,,,,,,,0.003002883276475901,0.0345043790324032,0.08702904850586882,0.9306484223323321,0.0016118895663702164,0.005357784025460094,0.30085004522588926,0.7635288445842552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recip+Log,877.0644739460372,916.979119417117,-428.5322369730186,9,True,1.0426371500702771,0.058914940617214535,0.5020259693644773,-0.014260990134393137,0.01692376089614634,-0.8426608141007513,0.39941816875164904,,,,,,,,,,,,,,,,,0.0014484254017193014,0.00370369149286819,0.39107614781317024,0.6957409507707599,0.002331156249084632,0.028719119818304936,0.08117088071754916,0.9353060569016545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log+SquareRoot,877.1114118904325,917.0260573615122,-428.55570594521623,9,True,1.0895750944655447,0.05754836628568982,0.5595743356501671,-0.012577205412827265,0.006712307558123672,-1.873752849361843,0.06096449794261516,0.00030233472528149504,0.001715432831873703,0.17624398907607833,0.8601022633464999,,,,,,,,,,,,,0.00042656524017543293,0.004320526543794293,0.09872992003442771,0.9213527121657452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log+LogLog,877.2540252200938,917.1686706911736,-428.6270126100469,9,True,1.232188424126889,0.05358767417425467,0.6131620098244218,-0.011938414056124409,0.011862441723444755,-1.0064044430692125,0.3142210572227946,,,,,,,,,,,,,,,,,0.0020601698063971614,0.008639170572175357,0.23846847208138955,0.8115177657068123,,,,,-0.0029611015207243662,0.028313505429815915,-0.1045826532523288,0.9167069799114367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log,877.2741937051487,909.2059100820126,-430.63709685257436,7,True,1.252356909181799,0.05304999865300941,0.6662120084774312,-0.012951430052833163,0.006365980808802668,-2.034475195860527,0.041903706998374764,,,,,,,,,,,,,,,,,0.0011570053547788372,0.001178069123865149,0.9821200906979013,0.3260406888437696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log10,877.2741937051487,909.2059100820126,-430.63709685257436,7,True,1.252356909181799,0.05304999865300941,0.7192620071304406,-0.01295143005283319,0.006365980808802626,-2.0344751958605447,0.041903706998372946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002664103282428055,0.0027126044031284572,0.9821200906979043,0.32604068884376813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
