composite_ID,UID,TEST,TSVR_hours,theta,se_all,age,Age_c,Time,Time_log,Phase,Time_within_phase,Time_within_phase_log
A010_1,A010,1,1.0,2.7277744,0.3,22.0,-22.57,1.0,0.6931471805599453,Practice,0.0,0.0
A010_2,A010,2,21.9,0.4830945,0.3,22.0,-22.57,21.9,3.131136910560194,Practice,20.9,3.086486636822455
A010_3,A010,3,80.88,-0.063471645,0.3,22.0,-22.57,80.88,4.405254760793088,Forgetting,58.98,4.094011173320863
A010_4,A010,4,145.31,0.7356485,0.3,22.0,-22.57,145.31,4.985727658390071,Forgetting,123.41,4.8235825629264
A011_1,A011,1,1.0,0.99576205,0.3,21.0,-23.57,1.0,0.6931471805599453,Practice,0.0,0.0
A011_2,A011,2,24.57,0.40040046,0.3,21.0,-23.57,24.57,3.241419789303096,Practice,23.57,3.201526186533088
A011_3,A011,3,72.55,-0.62277347,0.3,21.0,-23.57,72.55,4.297965447047447,Forgetting,47.98,3.891412051524022
A011_4,A011,4,148.85,-0.48618072,0.3,21.0,-23.57,148.85,5.009634793762673,Forgetting,124.28,4.830551232242493
A012_1,A012,1,1.0,1.5109797,0.3,21.0,-23.57,1.0,0.6931471805599453,Practice,0.0,0.0
A012_2,A012,2,25.6,-0.3742091,0.3,21.0,-23.57,25.6,3.2809112157876537,Practice,24.6,3.242592351485517
A012_3,A012,3,166.33,0.8594104,0.3,21.0,-23.57,166.33,5.119967910506483,Forgetting,140.73000000000002,4.953923839178814
A012_4,A012,4,166.87,-0.57650775,0.3,21.0,-23.57,166.87,5.123189870334323,Forgetting,141.27,4.957726660663075
A013_1,A013,1,1.0,0.2579466,0.3,22.0,-22.57,1.0,0.6931471805599453,Practice,0.0,0.0
A013_2,A013,2,24.77,-0.576954,0.3,22.0,-22.57,24.77,3.2492110246642736,Practice,23.77,3.209633243501268
A013_3,A013,3,79.66,0.15941933,0.3,22.0,-22.57,79.66,4.390242789445222,Forgetting,54.89,4.023385473281607
A013_4,A013,4,147.13,-0.50066453,0.3,22.0,-22.57,147.13,4.998090266593961,Forgetting,122.36,4.815106909815019
A014_1,A014,1,1.0,0.9670465,0.3,22.0,-22.57,1.0,0.6931471805599453,Practice,0.0,0.0
A014_2,A014,2,25.66,1.7351536,0.3,22.0,-22.57,25.66,3.2831643147505627,Practice,24.66,3.2449333591874905
A014_3,A014,3,70.56,0.37096328,0.3,22.0,-22.57,70.56,4.270536258640519,Forgetting,44.900000000000006,3.8264651170664994
A014_4,A014,4,148.87,-0.60555935,0.3,22.0,-22.57,148.87,5.009768251656904,Forgetting,123.21000000000001,4.821973681556102
A015_1,A015,1,1.0,1.7906865,0.3,23.0,-21.57,1.0,0.6931471805599453,Practice,0.0,0.0
A015_2,A015,2,23.69,1.9530646,0.3,23.0,-21.57,23.69,3.206398303357088,Practice,22.69,3.165053018170694
A015_3,A015,3,70.59,1.7458305,0.3,23.0,-21.57,70.59,4.270955399408094,Forgetting,46.900000000000006,3.8691155044168695
A015_4,A015,4,146.54,0.74841046,0.3,23.0,-21.57,146.54,4.9940993254561565,Forgetting,122.85,4.819071155935369
A016_1,A016,1,1.0,1.3865802,0.3,21.0,-23.57,1.0,0.6931471805599453,Practice,0.0,0.0
A016_2,A016,2,32.85,0.23833106,0.3,21.0,-23.57,32.85,3.521938999358284,Practice,31.85,3.4919517449306197
A016_3,A016,3,80.64,-0.063229874,0.3,21.0,-23.57,80.64,4.402319337941644,Forgetting,47.79,3.8875253738277458
A016_4,A016,4,150.8,-1.1086501,0.3,21.0,-23.57,150.8,5.02256386496153,Forgetting,117.95000000000002,4.778703236748967
A017_1,A017,1,1.0,-0.12061626,0.3,24.0,-20.57,1.0,0.6931471805599453,Practice,0.0,0.0
A017_2,A017,2,20.61,1.2353034,0.3,24.0,-20.57,20.61,3.073156170518794,Practice,19.61,3.0257763949023677
A017_3,A017,3,61.28,0.18662216,0.3,24.0,-20.57,61.28,4.131640346965797,Forgetting,40.67,3.7297814454343623
A017_4,A017,4,140.49,0.04002261,0.3,24.0,-20.57,140.49,4.952229043207861,Forgetting,119.88000000000001,4.794798317964484
A018_1,A018,1,1.0,0.34396127,0.3,23.0,-21.57,1.0,0.6931471805599453,Practice,0.0,0.0
A018_2,A018,2,34.03,-0.10368377,0.3,23.0,-21.57,34.03,3.5562048372093957,Practice,33.03,3.5272424885128144
A018_3,A018,3,83.64,-0.6740158,0.3,23.0,-21.57,83.64,4.438406968109989,Forgetting,49.61,3.9241491852259864
A018_4,A018,4,150.87,0.015628511,0.3,23.0,-21.57,150.87,5.023024891742178,Forgetting,116.84,4.769327772154375
A019_1,A019,1,1.0,-0.44238952,0.3,20.0,-24.57,1.0,0.6931471805599453,Practice,0.0,0.0
A019_2,A019,2,28.69,-1.233944,0.3,20.0,-24.57,28.69,3.3908102887756684,Practice,27.69,3.3565486299932736
A019_3,A019,3,83.68,-1.1916012,0.3,20.0,-24.57,83.68,4.4388794462666645,Forgetting,54.99000000000001,4.025173103360802
A019_4,A019,4,154.76,-1.652823,0.3,20.0,-24.57,154.76,5.048316361063944,Forgetting,126.07,4.844738115716443
A020_1,A020,1,1.0,-0.036810145,0.3,26.0,-18.57,1.0,0.6931471805599453,Practice,0.0,0.0
A020_2,A020,2,26.85,-0.4131784,0.3,26.0,-18.57,26.85,3.326832966373293,Practice,25.85,3.2902658209548736
A020_3,A020,3,78.25,-0.9177355,0.3,26.0,-18.57,78.25,4.37260741275739,Forgetting,51.4,3.9589065913269965
A020_4,A020,4,145.78,-2.2843106,0.3,26.0,-18.57,145.78,4.9889348671169165,Forgetting,118.93,4.78690823924363
A021_1,A021,1,1.0,1.366235,0.3,28.0,-16.57,1.0,0.6931471805599453,Practice,0.0,0.0
A021_2,A021,2,30.21,0.648662,0.3,28.0,-16.57,30.21,3.440738556282688,Practice,29.21,3.4081729953985804
A021_3,A021,3,74.19,0.3772473,0.3,28.0,-16.57,74.19,4.320018243389936,Forgetting,43.98,3.8062179465311696
A021_4,A021,4,140.39,0.77024406,0.3,28.0,-16.57,140.39,4.951522029603749,Forgetting,110.17999999999998,4.711150509525323
A022_1,A022,1,1.0,0.1020859,0.3,28.0,-16.57,1.0,0.6931471805599453,Practice,0.0,0.0
A022_2,A022,2,24.15,0.4643598,0.3,28.0,-16.57,24.15,3.224857896545748,Practice,23.15,3.184284380098582
A022_3,A022,3,74.46,-0.11233316,0.3,28.0,-16.57,74.46,4.323602714536165,Forgetting,50.309999999999995,3.9378856649538734
A022_4,A022,4,141.71,0.0056279004,0.3,28.0,-16.57,141.71,4.9608145991123,Forgetting,117.56,4.775419161547776
A023_1,A023,1,1.0,0.8812526,0.3,26.0,-18.57,1.0,0.6931471805599453,Practice,0.0,0.0
A023_2,A023,2,25.63,-0.48242265,0.3,26.0,-18.57,25.63,3.282038399825841,Practice,24.63,3.24376354037598
A023_3,A023,3,72.2,0.13040453,0.3,26.0,-18.57,72.2,4.293195420967266,Forgetting,46.57000000000001,3.8622023104441903
A023_4,A023,4,145.07,0.004668119,0.3,26.0,-18.57,145.07,4.984085958862719,Forgetting,119.44,4.791151703613533
A024_1,A024,1,1.0,0.33348504,0.3,29.0,-15.57,1.0,0.6931471805599453,Practice,0.0,0.0
A024_2,A024,2,29.57,0.10314593,0.3,29.0,-15.57,29.57,3.420019135902743,Practice,28.57,3.3867603338643857
A024_3,A024,3,91.47,0.1529355,0.3,29.0,-15.57,91.47,4.526884267589547,Forgetting,61.9,4.141546163706395
A024_4,A024,4,145.65,-0.7700928,0.3,29.0,-15.57,145.65,4.9880487954234605,Forgetting,116.08000000000001,4.762857461823685
A025_1,A025,1,1.0,0.99917114,0.3,26.0,-18.57,1.0,0.6931471805599453,Practice,0.0,0.0
A025_2,A025,2,23.33,1.6789465,0.3,26.0,-18.57,23.33,3.191710156795432,Practice,22.33,3.1497400860333387
A025_3,A025,3,72.94,-0.15189764,0.3,26.0,-18.57,72.94,4.303253953508486,Forgetting,49.61,3.9241491852259864
A025_4,A025,4,137.74,-1.1388493,0.3,26.0,-18.57,137.74,4.932601677957155,Forgetting,114.41000000000001,4.748491005432314
A026_1,A026,1,1.0,1.0569059,0.3,29.0,-15.57,1.0,0.6931471805599453,Practice,0.0,0.0
A026_2,A026,2,26.48,0.062489662,0.3,29.0,-15.57,26.48,3.3134584673541485,Practice,25.48,3.2763897310688073
A026_3,A026,3,75.46,0.7757372,0.3,29.0,-15.57,75.46,4.336767728268267,Forgetting,48.97999999999999,3.9116229254068062
A026_4,A026,4,147.65,-0.26765063,0.3,29.0,-15.57,147.65,5.001594549444107,Forgetting,121.17,4.8054135174159684
A027_1,A027,1,1.0,0.9770042,0.3,28.0,-16.57,1.0,0.6931471805599453,Practice,0.0,0.0
A027_2,A027,2,28.26,0.3337341,0.3,28.0,-16.57,28.26,3.3762213955919784,Practice,27.26,3.3414473772563813
A027_3,A027,3,74.58,-0.7031997,0.3,28.0,-16.57,74.58,4.325191697921343,Forgetting,46.31999999999999,3.856933039110186
A027_4,A027,4,145.92,-0.8390413,0.3,28.0,-16.57,145.92,4.989888220951467,Forgetting,117.65999999999998,4.776262260830497
A028_1,A028,1,1.0,1.5710772,0.3,26.0,-18.57,1.0,0.6931471805599453,Practice,0.0,0.0
A028_2,A028,2,22.82,-0.19436406,0.3,26.0,-18.57,22.82,3.170525563927154,Practice,21.82,3.1276373444339294
A028_3,A028,3,72.26,-0.0985842,0.3,26.0,-18.57,72.26,4.294014757350668,Forgetting,49.440000000000005,3.920784511096719
A028_4,A028,4,138.91,-0.7637951,0.3,26.0,-18.57,138.91,4.940999358745194,Forgetting,116.09,4.762942869860633
A029_1,A029,1,1.0,1.7016916,0.3,25.0,-19.57,1.0,0.6931471805599453,Practice,0.0,0.0
A029_2,A029,2,28.43,0.3401657,0.3,25.0,-19.57,28.43,3.382014562245381,Practice,27.43,3.3474449256629084
A029_3,A029,3,93.26,1.2822845,0.3,25.0,-19.57,93.26,4.546056921495585,Forgetting,64.83000000000001,4.187075661479786
A029_4,A029,4,143.14,0.7683035,0.3,25.0,-19.57,143.14,4.970785049496295,Forgetting,114.70999999999998,4.751087060888246
A030_1,A030,1,1.0,0.33380765,0.3,31.0,-13.57,1.0,0.6931471805599453,Practice,0.0,0.0
A030_2,A030,2,32.95,1.2043047,0.3,31.0,-13.57,32.95,3.5248888540047054,Practice,31.950000000000003,3.4949912609485163
A030_3,A030,3,71.93,-0.12868379,0.3,31.0,-13.57,71.93,4.289500076996142,Forgetting,38.980000000000004,3.688379329072254
A030_4,A030,4,150.46,0.33196774,0.3,31.0,-13.57,150.46,5.020321563685677,Forgetting,117.51,4.774997345200357
A031_1,A031,1,1.0,2.2557483,0.3,32.0,-12.57,1.0,0.6931471805599453,Practice,0.0,0.0
A031_2,A031,2,32.41,0.018638758,0.3,32.0,-12.57,32.41,3.508855256368665,Practice,31.409999999999997,3.4784670171534557
A031_3,A031,3,71.56,-0.04251805,0.3,32.0,-12.57,71.56,4.2844138058068815,Forgetting,39.150000000000006,3.6926224403927708
A031_4,A031,4,143.85,-0.57443035,0.3,32.0,-12.57,143.85,4.975698724215359,Forgetting,111.44,4.722419746038331
A032_1,A032,1,1.0,0.8067235,0.3,33.0,-11.57,1.0,0.6931471805599453,Practice,0.0,0.0
A032_2,A032,2,57.18,-0.12246857,0.3,33.0,-11.57,57.18,4.063541653067055,Practice,56.18,4.046204186894165
A032_3,A032,3,80.16,0.6580906,0.3,33.0,-11.57,80.16,4.396422514957614,Forgetting,22.979999999999997,3.177220149599368
A032_4,A032,4,144.51,1.5530372,0.3,33.0,-11.57,144.51,4.980244812772187,Forgetting,87.32999999999998,4.4810798007570405
A033_1,A033,1,1.0,0.43369794,0.3,32.0,-12.57,1.0,0.6931471805599453,Practice,0.0,0.0
A033_2,A033,2,29.16,0.5100616,0.3,32.0,-12.57,29.16,3.4065165431397557,Practice,28.16,3.3727979071404572
A033_3,A033,3,72.6,0.9657034,0.3,32.0,-12.57,72.6,4.298645025734831,Forgetting,43.44,3.7941399647714293
A033_4,A033,4,168.33,-0.40873924,0.3,32.0,-12.57,168.33,5.131849473677249,Forgetting,139.17000000000002,4.942855971674966
A034_1,A034,1,1.0,2.0359054,0.3,33.0,-11.57,1.0,0.6931471805599453,Practice,0.0,0.0
A034_2,A034,2,26.08,0.65717703,0.3,33.0,-11.57,26.08,3.298795448044074,Practice,25.08,3.261168737058452
A034_3,A034,3,74.28,-0.10081277,0.3,33.0,-11.57,74.28,4.3212144952771245,Forgetting,48.2,3.8958936234982624
A034_4,A034,4,145.38,-0.1552254,0.3,33.0,-11.57,145.38,4.986205980173081,Forgetting,119.3,4.789988622980633
A035_1,A035,1,1.0,-0.06479133,0.3,34.0,-10.57,1.0,0.6931471805599453,Practice,0.0,0.0
A035_2,A035,2,44.76,0.7425775,0.3,34.0,-10.57,44.76,3.823410347071543,Practice,43.76,3.8013148834437245
A035_3,A035,3,79.98,-0.4961729,0.3,34.0,-10.57,79.98,4.394202210604015,Forgetting,35.220000000000006,3.5896114524552676
A035_4,A035,4,152.47,-0.98961914,0.3,34.0,-10.57,152.47,5.033505108187003,Forgetting,107.71000000000001,4.688683786215909
A036_1,A036,1,1.0,1.3283472,0.3,30.0,-14.57,1.0,0.6931471805599453,Practice,0.0,0.0
A036_2,A036,2,21.63,-0.15242939,0.3,30.0,-14.57,21.63,3.119276459645446,Practice,20.63,3.0740812399649675
A036_3,A036,3,71.47,-0.39740184,0.3,30.0,-14.57,71.47,4.28317268312119,Forgetting,49.84,3.928683446321253
A036_4,A036,4,143.85,-1.0100961,0.3,30.0,-14.57,143.85,4.975698724215359,Forgetting,122.22,4.813971375586425
A037_1,A037,1,1.0,1.1801162,0.3,31.0,-13.57,1.0,0.6931471805599453,Practice,0.0,0.0
A037_2,A037,2,23.7,1.2522094,0.3,31.0,-13.57,23.7,3.2068032436339315,Practice,22.7,3.1654750481410856
A037_3,A037,3,72.08,0.29365978,0.3,31.0,-13.57,72.08,4.291554731509806,Forgetting,48.379999999999995,3.8995454839170334
A037_4,A037,4,143.66,-0.16601759,0.3,31.0,-13.57,143.66,4.974386161421135,Forgetting,119.96,4.795459912431223
A038_1,A038,1,1.0,1.2059275,0.3,32.0,-12.57,1.0,0.6931471805599453,Practice,0.0,0.0
A038_2,A038,2,71.85,-0.16850944,0.3,32.0,-12.57,71.85,4.288402532641213,Practice,70.85,4.274580612525034
A038_3,A038,3,72.86,0.9667946,0.3,32.0,-12.57,72.86,4.3021714094244174,Forgetting,1.0100000000000051,0.6981347220709869
A038_4,A038,4,152.89,-0.017467948,0.3,32.0,-12.57,152.89,5.0362380614757605,Forgetting,81.03999999999999,4.40720693320418
A039_1,A039,1,1.0,2.174663,0.3,31.0,-13.57,1.0,0.6931471805599453,Practice,0.0,0.0
A039_2,A039,2,28.65,1.3026897,0.3,31.0,-13.57,28.65,3.3894621254437345,Practice,27.65,3.3551534431607486
A039_3,A039,3,98.84,0.567675,0.3,31.0,-13.57,98.84,4.603568904621118,Forgetting,70.19,4.265352359115782
A039_4,A039,4,246.24,0.72307914,0.3,31.0,-13.57,246.24,5.510359524791073,Forgetting,217.59,5.387197829041911
A040_1,A040,1,1.0,-0.5069201,0.3,38.0,-6.57,1.0,0.6931471805599453,Practice,0.0,0.0
A040_2,A040,2,26.26,0.14172223,0.3,38.0,-6.57,26.26,3.3054204262683866,Practice,25.26,3.26804686887465
A040_3,A040,3,71.28,-1.6828778,0.3,38.0,-6.57,71.28,4.280547465724028,Forgetting,45.019999999999996,3.8290760846072196
A040_4,A040,4,143.53,-1.6119773,0.3,38.0,-6.57,143.53,4.97348709846075,Forgetting,117.27,4.772970146263026
A041_1,A041,1,1.0,1.1962991,0.3,35.0,-9.57,1.0,0.6931471805599453,Practice,0.0,0.0
A041_2,A041,2,31.78,-1.1736511,0.3,35.0,-9.57,31.78,3.4898185733156835,Practice,30.78,3.45883716110857
A041_3,A041,3,75.74,0.2872409,0.3,35.0,-9.57,75.74,4.340423084818807,Forgetting,43.959999999999994,3.8057732055854356
A041_4,A041,4,141.84,0.1290578,0.3,35.0,-9.57,141.84,4.961725122726247,Forgetting,110.06,4.710070595813461
A042_1,A042,1,1.0,-0.8806226,0.3,38.0,-6.57,1.0,0.6931471805599453,Practice,0.0,0.0
A042_2,A042,2,28.93,-0.99250966,0.3,38.0,-6.57,28.93,3.3988613218646075,Practice,27.93,3.3648791189880436
A042_3,A042,3,72.17,-0.17139933,0.3,38.0,-6.57,72.17,4.292785500895938,Forgetting,43.24,3.7896293572140793
A042_4,A042,4,146.02,-1.260689,0.3,38.0,-6.57,146.02,4.9905686319459415,Forgetting,117.09,4.77144704561319
A043_1,A043,1,1.0,1.0349586,0.3,38.0,-6.57,1.0,0.6931471805599453,Practice,0.0,0.0
A043_2,A043,2,25.62,0.5667534,0.3,38.0,-6.57,25.62,3.2816628129669656,Practice,24.62,3.2433732964685884
A043_3,A043,3,64.94,0.56906503,0.3,38.0,-6.57,64.94,4.188745237643585,Forgetting,39.31999999999999,3.696847623763113
A043_4,A043,4,149.33,-0.36708274,0.3,38.0,-6.57,149.33,5.012832877639743,Forgetting,123.71000000000001,4.825991041932656
A044_1,A044,1,1.0,-0.0888245,0.3,38.0,-6.57,1.0,0.6931471805599453,Practice,0.0,0.0
A044_2,A044,2,47.66,-0.37333766,0.3,38.0,-6.57,47.66,3.884857337355376,Practice,46.66,3.8640924716705958
A044_3,A044,3,91.63,-1.308094,0.3,38.0,-6.57,91.63,4.5286130632659365,Forgetting,43.97,3.805995600782616
A044_4,A044,4,155.27,-1.7971689,0.3,38.0,-6.57,155.27,5.0515852804252095,Forgetting,107.61000000000001,4.687763484291945
A045_1,A045,1,1.0,-0.9017756,0.3,37.0,-7.57,1.0,0.6931471805599453,Practice,0.0,0.0
A045_2,A045,2,24.66,-1.0143217,0.3,37.0,-7.57,24.66,3.2449333591874905,Practice,23.66,3.2051824977361982
A045_3,A045,3,72.23,-1.1242429,0.3,37.0,-7.57,72.23,4.2936051730729785,Forgetting,47.57000000000001,3.8830060563576536
A045_4,A045,4,151.52,-1.2476392,0.3,37.0,-7.57,151.52,5.027295734989363,Forgetting,126.86000000000001,4.850935915338581
A046_1,A046,1,1.0,-0.7687857,0.3,38.0,-6.57,1.0,0.6931471805599453,Practice,0.0,0.0
A046_2,A046,2,24.32,-1.3034526,0.3,38.0,-6.57,24.32,3.231594597275976,Practice,23.32,3.1912990570979662
A046_3,A046,3,73.05,-1.624248,0.3,38.0,-6.57,73.05,4.304740540713808,Forgetting,48.73,3.906608372726647
