age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
Young,1.0,0.9882041707575757,0.14460149335656594,0.7047852437787065,1.2716230977364449,0.9583664706544739
Young,16.9,,,,,
Young,17.16,,,,,
Young,20.61,1.2353034,,,,0.4332744032072395
Young,21.63,-0.15242939,,,,0.0989223344153389
Young,21.9,0.4830945,,,,0.9787805983990225
Young,21.98,,,,,
Young,22.09,,,,,
Young,22.2,,,,,
Young,22.6,,,,,
Young,22.64,,,,,
Young,22.77,,,,,
Young,22.82,-0.19436406,,,,0.24856683447664518
Young,22.83,,,,,
Young,22.96,,,,,
Young,22.98,,,,,
Young,23.24,,,,,
Young,23.33,1.6789465,,,,0.425275939577133
Young,23.35,,,,,
Young,23.46,-0.5145792,,,,-0.7283646838680484
Young,23.47,,,,,
Young,23.54,,,,,
Young,23.69,1.9530646,,,,1.4389581116992223
Young,23.7,1.2522094,,,,0.6579966095087055
Young,23.91,,,,,
Young,24.15,0.4643598,,,,0.22540234643193832
Young,24.25,,,,,
Young,24.32,,,,,
Young,24.37,,,,,
Young,24.49,,,,,
Young,24.51,,,,,
Young,24.57,0.40040046,,,,0.20511063976678873
Young,24.65,,,,,
Young,24.66,,,,,
Young,24.73,,,,,
Young,24.77,-0.576954,,,,0.010469869949183142
Young,24.78,,,,,
Young,24.87,,,,,
Young,24.96,,,,,
Young,25.15,,,,,
Young,25.6,-0.3742091,,,,0.5267438107552507
Young,25.62,,,,,
Young,25.63,-0.48242265,,,,0.23305043997696306
Young,25.66,1.7351536,,,,0.6442034261380523
Young,25.77,,,,,
Young,26.08,0.65717703,,,,0.6126552665549115
Young,26.11,,,,,
Young,26.17,,,,,
Young,26.22,,,,,
Young,26.26,,,,,
Young,26.48,0.062489662,,,,0.45252365520619214
Young,26.85,-0.4131784,,,,-0.6377366671677577
Young,27.12,-0.5321013,,,,0.5562179220328329
Young,27.25,,,,,
Young,27.26,,,,,
Young,27.3,,,,,
Young,27.61,,,,,
Young,27.97,,,,,
Young,28.26,0.3337341,,,,0.053078775783498955
Young,28.43,0.3401657,,,,0.9712066743705738
Young,28.65,1.3026897,,,,1.1709411327083938
Young,28.68,,,,,
Young,28.69,-1.233944,,,,-0.807302554380881
Young,28.75,,,,,
Young,28.93,,,,,
Young,29.03,,,,,
Young,29.12,,,,,
Young,29.13,,,,,
Young,29.16,0.5100616,,,,0.41204365439350277
Young,29.33,,,,,
Young,29.57,0.10314593,,,,0.0684063331850148
Young,29.71,,,,,
Young,29.91,,,,,
Young,30.21,0.648662,,,,0.7383947678852152
Young,30.4,,,,,
Young,30.49,,,,,
Young,30.92,,,,,
Young,31.07,,,,,
Young,31.14,,,,,
Young,31.39,,,,,
Young,31.76,,,,,
Young,31.78,-1.1736511,,,,0.15134604632264972
Young,32.14,,,,,
Young,32.31,,,,,
Young,32.41,0.018638758,,,,0.4029853938663566
Young,32.71,,,,,
Young,32.85,0.23833106,,,,0.18612072212690167
Young,32.95,1.2043047,,,,0.42412591226448026
Young,33.61,,,,,
Young,33.76,,,,,
Young,34.03,-0.10368377,,,,-0.003762483460283017
Young,35.16,,,,,
Young,37.65,,,,,
Young,44.69,,,,,
Young,44.76,0.7425775,,,,-0.17089040559911745
Young,47.66,,,,,
Young,53.88,,,,,
Young,57.18,-0.12246857,,,,0.5360764077096094
Young,61.28,0.18662216,,,,0.11356630343656009
Young,64.94,,,,,
Young,65.63,,,,,
Young,66.08,,,,,
Young,66.28,,,,,
Young,66.66,,,,,
Young,66.9,,,,,
Young,68.96,,,,,
Young,69.46,,,,,
Young,69.99,,,,,
Young,70.22,,,,,
Young,70.56,0.37096328,,,,0.32392087099085476
Young,70.59,1.7458305,,,,1.1053535650823731
Young,70.83,,,,,
Young,71.17,,,,,
Young,71.19,,,,,
Young,71.28,,,,,
Young,71.31,,,,,
Young,71.37,,,,,
Young,71.4,,,,,
Young,71.45,,,,,
Young,71.46,,,,,
Young,71.47,-0.39740184,,,,-0.2613408125002278
Young,71.56,-0.04251805,,,,0.15216464396971724
Young,71.85,-0.16850944,,,,0.2825045947859347
Young,71.93,-0.12868379,,,,0.17967315056481553
Young,72.08,0.29365978,,,,0.3235825600522318
Young,72.17,,,,,
Young,72.2,0.13040453,,,,-0.08802085966294365
Young,72.23,,,,,
Young,72.26,-0.0985842,,,,-0.10729835472806566
Young,72.3,,,,,
Young,72.55,-0.62277347,,,,-0.13963548514783802
Young,72.6,0.9657034,,,,0.1311992799292008
Young,72.62,,,,,
Young,72.8,,,,,
Young,72.83,,,,,
Young,72.86,0.9667946,,,,0.27741955913976085
Young,72.87,,,,,
Young,72.94,-0.15189764,,,,0.07010822952311285
Young,73.02,,,,,
Young,73.05,,,,,
Young,73.19,,,,,
Young,73.64,,,,,
Young,73.79,,,,,
Young,73.83,,,,,
Young,74.0,,,,,
Young,74.19,0.3772473,,,,0.45617832118474966
Young,74.28,-0.10081277,,,,0.2931978034590279
Young,74.3,,,,,
Young,74.46,-0.11233316,,,,-0.11948323585616692
Young,74.48,,,,,
Young,74.58,-0.7031997,,,,-0.25633900666525056
Young,74.88,,,,,
Young,74.91,,,,,
Young,75.21,,,,,
Young,75.27,,,,,
Young,75.34,,,,,
Young,75.46,0.7757372,,,,0.1274203108312394
Young,75.71,,,,,
Young,75.74,0.2872409,,,,-0.11810042427349134
Young,76.21,,,,,
Young,76.85,-1.2429395,,,,-1.0875194296661426
Young,78.25,-0.9177355,,,,-0.9880210181927601
Young,78.28,,,,,
Young,78.36,,,,,
Young,78.57,,,,,
Young,78.76,,,,,
Young,78.84,,,,,
Young,79.34,,,,,
Young,79.66,0.15941933,,,,-0.36508444217304625
Young,79.75,,,,,
Young,79.78,,,,,
Young,79.96,,,,,
Young,79.98,-0.4961729,,,,-0.3678329141450208
Young,80.13,,,,,
Young,80.16,0.6580906,,,,0.41998968366537154
Young,80.24,,,,,
Young,80.64,-0.063229874,,,,-0.12242126693723238
Young,80.88,-0.063471645,,,,0.566937176218241
Young,80.98,,,,,
Young,81.15,,,,,
Young,81.92,,,,,
Young,82.55,,,,,
Young,82.98,,,,,
Young,82.99,,,,,
Young,83.54,,,,,
Young,83.64,-0.6740158,,,,-0.3092902097490917
Young,83.68,-1.1916012,,,,-1.17330694691994
Young,91.47,0.1529355,,,,-0.3059118458139872
Young,91.63,,,,,
Young,91.97,,,,,
Young,92.72,,,,,
Young,93.26,1.2822845,,,,0.5799142331569682
Young,93.39,,,,,
Young,94.68,,,,,
Young,95.42,,,,,
Young,98.84,0.567675,,,,0.7694273499664097
Young,106.41,,,,,
Young,111.38,0.37812865,,,,0.09008696707809521
Young,136.83,,,,,
Young,137.74,-1.1388493,,,,-0.21990812612769678
Young,138.91,-0.7637951,,,,-0.4036154008548383
Young,140.08,,,,,
Young,140.12,,,,,
Young,140.22,,,,,
Young,140.39,0.77024406,,,,0.17668827352326388
Young,140.49,0.04002261,,,,-0.24496528227032535
Young,140.95,,,,,
Young,141.09,,,,,
Young,141.71,0.0056279004,,,,-0.40589728750014586
Young,141.84,0.1290578,,,,-0.3884517751522827
Young,142.61,,,,,
Young,143.14,0.7683035,,,,0.37874637860216465
Young,143.48,,,,,
Young,143.51,,,,,
Young,143.53,,,,,
Young,143.66,-0.16601759,,,,0.020442121404533276
Young,143.85,-0.7922632249999999,0.21783287499999998,-1.21921566,-0.36531078999999994,-0.3670045813848398
Young,143.91,,,,,
Young,144.07,,,,,
Young,144.19,,,,,
Young,144.2,,,,,
Young,144.22,-1.600209,,,,-1.3696834832747173
Young,144.51,1.5530372,,,,0.16680904367481447
Young,144.85,,,,,
Young,144.91,,,,,
Young,145.06,,,,,
Young,145.07,0.004668119,,,,-0.40197541504748846
Young,145.29,,,,,
Young,145.31,0.7356485,,,,0.2909087703160703
Young,145.38,-0.1552254,,,,-0.004009518320400696
Young,145.65,-0.7700928,,,,-0.5273121401906837
Young,145.77,,,,,
Young,145.78,-2.2843106,,,,-1.288053466605118
Young,145.92,-0.8390413,,,,-0.5655631086529327
Young,145.95,,,,,
Young,146.02,,,,,
Young,146.16,,,,,
Young,146.2,,,,,
Young,146.29,,,,,
Young,146.3,,,,,
Young,146.54,0.74841046,,,,0.7788576090154598
Young,146.56,,,,,
Young,146.8,,,,,
Young,146.96,,,,,
Young,146.99,,,,,
Young,147.13,-0.50066453,,,,-0.6564150769345176
Young,147.21,,,,,
Young,147.65,-0.26765063,,,,-0.17524667042353878
Young,147.84,,,,,
Young,147.94,,,,,
Young,148.69,,,,,
Young,148.79,,,,,
Young,148.85,-0.48618072,,,,-0.47963077667066056
Young,148.87,-0.60555935,,,,-0.024069331442259978
Young,148.9,,,,,
Young,149.18,,,,,
Young,149.2,,,,,
Young,149.21,,,,,
Young,149.28,,,,,
Young,149.33,,,,,
Young,149.72,,,,,
Young,149.75,,,,,
Young,149.87,,,,,
Young,149.93,,,,,
Young,149.99,,,,,
Young,150.22,,,,,
Young,150.41,,,,,
Young,150.46,0.33196774,,,,-0.14455354241561935
Young,150.8,-1.1086501,,,,-0.43085245010923345
Young,150.87,0.015628511,,,,-0.5928572657311539
Young,151.52,,,,,
Young,151.93,,,,,
Young,152.12,,,,,
Young,152.47,-0.98961914,,,,-0.6630422591796354
Young,152.89,-0.017467948,,,,-0.05157960340732903
Young,153.27,,,,,
Young,154.53,,,,,
Young,154.76,-1.652823,,,,-1.4856231635263564
Young,154.89,,,,,
Young,155.27,,,,,
Young,155.59,,,,,
Young,156.21,,,,,
Young,162.51,,,,,
Young,164.93,,,,,
Young,166.33,0.8594104,,,,-0.19699581348173384
Young,166.87,-0.57650775,,,,-0.19894839445652954
Young,168.33,-0.40873924,,,,-0.25309102466633265
Young,168.86,0.034191336,,,,-0.11885969975796318
Young,169.55,,,,,
Young,170.25,,,,,
Young,170.65,,,,,
Young,187.43,,,,,
Young,194.42,,,,,
Young,244.53,,,,,
Young,246.24,0.72307914,,,,0.2676724408514308
Middle,1.0,0.481937204,0.15726966500007328,0.17368866059985638,0.7901857474001437,0.527644662149137
Middle,16.9,1.1258696,,,,1.003544009054793
Middle,17.16,-0.30774206,,,,0.12867918634492143
Middle,20.61,,,,,
Middle,21.63,,,,,
Middle,21.9,,,,,
Middle,21.98,0.7186035,,,,0.35023783481684867
Middle,22.09,,,,,
Middle,22.2,,,,,
Middle,22.6,,,,,
Middle,22.64,,,,,
Middle,22.77,,,,,
Middle,22.82,,,,,
Middle,22.83,,,,,
Middle,22.96,-0.8427394,,,,-0.10655282203450264
Middle,22.98,,,,,
Middle,23.24,0.8647509,,,,0.1938281019811921
Middle,23.33,,,,,
Middle,23.35,-0.45289963,,,,-0.3446420589339487
Middle,23.46,,,,,
Middle,23.47,,,,,
Middle,23.54,,,,,
Middle,23.69,,,,,
Middle,23.7,,,,,
Middle,23.91,-0.06019045,,,,0.3809200438324888
Middle,24.15,,,,,
Middle,24.25,0.042192243,,,,-0.0845812173471844
Middle,24.32,-1.3034526,,,,-0.8961891163874084
Middle,24.37,,,,,
Middle,24.49,,,,,
Middle,24.51,,,,,
Middle,24.57,,,,,
Middle,24.65,,,,,
Middle,24.66,-1.0143217,,,,-0.7781284893986498
Middle,24.73,-0.71372736,,,,-0.53856010821846
Middle,24.77,,,,,
Middle,24.78,-0.77376056,,,,-0.32357437240511067
Middle,24.87,1.310061,,,,0.2966500299788439
Middle,24.96,-1.5067587,,,,-0.8896927249300202
Middle,25.15,,,,,
Middle,25.6,,,,,
Middle,25.62,0.5667534,,,,0.4672283956405209
Middle,25.63,,,,,
Middle,25.66,,,,,
Middle,25.77,,,,,
Middle,26.08,,,,,
Middle,26.11,-0.40158516,,,,-0.26283507089096525
Middle,26.17,0.07325087,,,,-0.34922612726336616
Middle,26.22,,,,,
Middle,26.26,0.14172223,,,,-0.6691275973053777
Middle,26.48,,,,,
Middle,26.85,,,,,
Middle,27.12,,,,,
Middle,27.25,,,,,
Middle,27.26,,,,,
Middle,27.3,,,,,
Middle,27.61,,,,,
Middle,27.97,,,,,
Middle,28.26,,,,,
Middle,28.43,,,,,
Middle,28.65,,,,,
Middle,28.68,,,,,
Middle,28.69,,,,,
Middle,28.75,,,,,
Middle,28.93,-0.99250966,,,,-0.612708058788026
Middle,29.03,,,,,
Middle,29.12,,,,,
Middle,29.13,,,,,
Middle,29.16,,,,,
Middle,29.33,,,,,
Middle,29.57,,,,,
Middle,29.71,,,,,
Middle,29.91,-1.312235,,,,-0.6384418442911907
Middle,30.21,,,,,
Middle,30.4,1.2424322,,,,0.8867342430657434
Middle,30.49,0.163223,,,,0.36828391271843924
Middle,30.92,0.40058818,,,,0.2116394996276784
Middle,31.07,,,,,
Middle,31.14,,,,,
Middle,31.39,,,,,
Middle,31.76,0.3844317,,,,0.11098634186816128
Middle,31.78,,,,,
Middle,32.14,,,,,
Middle,32.31,-0.9801161,,,,-1.5290392672211135
Middle,32.41,,,,,
Middle,32.71,0.97594434,,,,0.425205695917085
Middle,32.85,,,,,
Middle,32.95,,,,,
Middle,33.61,0.54977185,,,,-0.02453028581643866
Middle,33.76,0.37431285,,,,0.10013528969408789
Middle,34.03,,,,,
Middle,35.16,0.94611883,,,,0.7446001534625625
Middle,37.65,0.56187433,,,,0.27579763612992847
Middle,44.69,0.14121151,,,,0.05823946573228461
Middle,44.76,,,,,
Middle,47.66,-0.37333766,,,,-0.752902285649018
Middle,53.88,-0.15718071,,,,0.32768556248933833
Middle,57.18,,,,,
Middle,61.28,,,,,
Middle,64.94,0.56906503,,,,0.19869599170399765
Middle,65.63,-0.6520249,,,,-0.23756631295053338
Middle,66.08,,,,,
Middle,66.28,-0.121771336,,,,-0.40676607266638243
Middle,66.66,-0.48682293,,,,0.13663101311477935
Middle,66.9,-0.018863132,,,,0.13549660748934492
Middle,68.96,,,,,
Middle,69.46,,,,,
Middle,69.99,0.17484958,,,,0.02769550786931807
Middle,70.22,,,,,
Middle,70.56,,,,,
Middle,70.59,,,,,
Middle,70.83,,,,,
Middle,71.17,,,,,
Middle,71.19,,,,,
Middle,71.28,-1.6828778,,,,-0.9699744956861317
Middle,71.31,,,,,
Middle,71.37,,,,,
Middle,71.4,,,,,
Middle,71.45,,,,,
Middle,71.46,-0.4118956,,,,-0.2538147206990552
Middle,71.47,,,,,
Middle,71.56,,,,,
Middle,71.85,,,,,
Middle,71.93,,,,,
Middle,72.08,,,,,
Middle,72.17,-0.17139933,,,,-0.8891544347303727
Middle,72.2,,,,,
Middle,72.23,-1.1242429,,,,-1.0981148668181553
Middle,72.26,,,,,
Middle,72.3,-1.0537938,,,,-0.6367585763219
Middle,72.55,,,,,
Middle,72.6,,,,,
Middle,72.62,,,,,
Middle,72.8,,,,,
Middle,72.83,1.191061,,,,0.6142781300085353
Middle,72.86,,,,,
Middle,72.87,,,,,
Middle,72.94,,,,,
Middle,73.02,,,,,
Middle,73.05,-1.624248,,,,-1.2227622752100558
Middle,73.19,-1.4752139,,,,-0.9014081440687657
Middle,73.64,,,,,
Middle,73.79,-0.92944336,,,,-0.6718837028511309
Middle,73.83,-0.68134856,,,,-0.6461556822333516
Middle,74.0,-0.94553256,,,,-0.5576346667168925
Middle,74.19,,,,,
Middle,74.28,,,,,
Middle,74.3,,,,,
Middle,74.46,,,,,
Middle,74.48,-0.119812906,,,,-0.13849490501736178
Middle,74.58,,,,,
Middle,74.88,,,,,
Middle,74.91,,,,,
Middle,75.21,,,,,
Middle,75.27,,,,,
Middle,75.34,,,,,
Middle,75.46,,,,,
Middle,75.71,,,,,
Middle,75.74,,,,,
Middle,76.21,,,,,
Middle,76.85,,,,,
