model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
PowerLaw_04,871.2922197011644,895.2410069838123,-429.6461098505822,5.0,False,0.0,0.05695898571674363,0.05695898571674363
PowerLaw_05,871.4291300015798,895.3779172842277,-429.7145650007899,5.0,False,0.13691030041536578,0.0531903138774604,0.11014929959420403
PowerLaw_03,871.5167590260039,895.4655463086518,-429.75837951300196,5.0,True,0.22453932483949757,0.050910123694751265,0.16105942328895528
LogLog,871.5780117005434,895.5267989831913,-429.7890058502717,5.0,True,0.28579199937894373,0.04937456733347246,0.21043399062242774
Root_033,871.7354424226605,895.6842297053084,-429.86772121133026,5.0,False,0.4432227214961131,0.0456370597041277,0.2560710503265554
CubeRoot,871.7374528935643,895.6862401762122,-429.86872644678215,5.0,False,0.4452331923998827,0.045591206764154936,0.3016622570907104
PowerLaw_06,871.8994999252664,895.8482872079143,-429.9497499626332,5.0,False,0.6072802241019417,0.04204293457623923,0.34370519166694957
FourthRoot,871.9869802355665,895.9357675182144,-429.99349011778327,5.0,False,0.6947605344021213,0.0402436083623939,0.38394880002934345
PowerLaw_02,872.1290397930661,896.077827075714,-430.06451989653306,5.0,False,0.8368200919016999,0.03748427133991974,0.42143307136926317
PowerLaw_07,872.6716504471874,896.6204377298353,-430.3358252235937,5.0,False,1.3794307460229902,0.02857739689475765,0.4500104682640208
SquareRoot+Recip,872.8763234331359,900.8165752628918,-429.43816171656795,6.0,True,1.5841037319714815,0.02579755175015963,0.47580802001418043
SquareRoot+PowerLaw,872.9802743752707,900.9205262050266,-429.49013718763536,6.0,False,1.6880546741062972,0.024490961300071033,0.5002989813142514
Root_Multi,873.0707208330646,901.0109726628204,-429.5353604165323,6.0,True,1.778501131900157,0.023408071389315475,0.5237070527035669
PowerLaw_01,873.164283971535,897.113071254183,-430.5821419857675,5.0,False,1.872064270370629,0.022338224737092533,0.5460452774406594
SquareRoot+Lin,873.1750368412086,901.1152886709644,-429.5875184206043,6.0,True,1.8828171400441533,0.02221844700453657,0.568263724445196
Recip+PowerLaw,873.2924224698645,901.2326742996204,-429.64621123493225,6.0,False,2.000202768700092,0.0209519155311457,0.5892156399763417
Recip+PowerLaw05,873.2924224698645,901.2326742996204,-429.64621123493225,6.0,False,2.000202768700092,0.0209519155311457,0.6101675555074875
Exp+Log,873.2928407998897,901.2330926296456,-429.6464203999449,6.0,False,2.0006210987253326,0.020947533581760432,0.6311150890892478
Lin+Log,873.2928407998897,901.2330926296456,-429.6464203999449,6.0,False,2.0006210987253326,0.020947533581760432,0.6520626226710082
PowerLaw_Log,873.3056709262391,901.245922755995,-429.6528354631196,6.0,False,2.013451225074732,0.020813583937563395,0.6728762066085716
Log+PowerLaw05,873.3056709262546,901.2459227560105,-429.6528354631273,6.0,False,2.0134512250901935,0.020813583937402493,0.6936897905459741
Log+LogLog,873.3209872996904,901.2612391294463,-429.6604936498452,6.0,False,2.028767598525974,0.020654798405999902,0.7143445889519741
Exp+PowerLaw,873.3224415625086,901.2626933922645,-429.6612207812543,6.0,True,2.0302218613442164,0.020639785112310016,0.7349843740642841
PowerLaw_Lin,873.3224415625164,901.2626933922722,-429.6612207812582,6.0,False,2.030221861351947,0.020639785112230236,0.7556241591765143
Recip+Log,873.3380900658553,901.2783418956112,-429.66904503292767,6.0,False,2.045870364690927,0.020478924367226786,0.776103083543741
Log+Recip,873.3380900658744,901.2783418956303,-429.6690450329372,6.0,True,2.0458703647100265,0.020478924367031217,0.7965820079107723
Exp+Recip,873.6916280000023,901.6318798297582,-429.84581400000116,6.0,False,2.3994082988378977,0.017160793093933945,0.8137428010047062
Recip+Lin,873.6916280000191,901.631879829775,-429.84581400000957,6.0,True,2.3994082988547234,0.017160793093789574,0.8309035940984958
PowerLaw_08,873.7105384774864,897.6593257601343,-430.8552692387432,5.0,True,2.4183187763219394,0.01699929838688822,0.847902892485384
CubeRoot+Log,873.795505916486,901.7357577462419,-429.897752958243,6.0,False,2.503286215321623,0.016292230738045237,0.8641951232234292
Tanh+Log,873.9249321488956,901.8651839786514,-429.9624660744478,6.0,False,2.632712447731137,0.01527129979053006,0.8794664230139593
Sin+Log,873.9637250120691,901.9039768418249,-429.98186250603453,6.0,False,2.6715053109046494,0.014977945281369214,0.8944443682953285
Recip+Quad,874.9016301557194,906.8333465325833,-429.4508150778597,7.0,False,3.609410454555018,0.009371060148769822,0.9038154284440983
PowerLaw_09,874.9787437070468,898.9275309896947,-431.4893718535234,5.0,True,3.6865240058823474,0.009016619243095911,0.9128320476871943
Lin+Log+PowerLaw,875.2457717901616,907.1774881670254,-429.6228858950808,7.0,False,3.953552088997185,0.007889678730866384,0.9207217264180607
Quad+Log,875.2889590878272,907.220675464691,-429.6444795439136,7.0,False,3.996739386662739,0.0077211380322372266,0.9284428644502979
Lin+Quad+Log,875.2889590878272,907.220675464691,-429.6444795439136,7.0,False,3.996739386662739,0.0077211380322372266,0.9361640024825351
Log,875.5982364214351,899.547023704083,-431.79911821071755,5.0,False,4.306016720270691,0.006614889545661269,0.9427788920281963
Log2,875.5982364214356,899.5470237040835,-431.7991182107178,5.0,True,4.3060167202711455,0.006614889545659764,0.9493937815738561
Log10,875.5983891082219,899.5471763908698,-431.79919455411095,5.0,True,4.306169407057496,0.006614384561822706,0.9560081661356788
