model_name,var_intercept,var_slope,cov_intercept_slope,var_residual,icc_intercept,icc_slope_simple
PowerLaw_04,0.439699680262755,0.1516660519802322,-0.09748136747836478,0.31737033363944006,0.5807913035630536,0.32335668751979024
PowerLaw_05,0.42982654958230326,0.14890033769764094,-0.08803948813471307,0.31513572380797095,0.5769776066997204,0.32088096173930697
PowerLaw_03,0.4510198175171816,0.15147186584818528,-0.10652249689453992,0.32029014942469575,0.5847452215681903,0.3210768585524409
LogLog,0.3958282327523935,0.032945503019998545,-0.025809288243994605,0.3188819030902908,0.5538304452415374,0.09364109346749108
Root_033,0.39333852162831384,0.011443773296873178,-0.013523862703775537,0.32099828732892294,0.5506345419921665,0.03442336169897146
CubeRoot,0.38797533837179443,0.008668311076845417,-0.011644391252741922,0.3231338706342873,0.5455917789534297,0.02612493694930571
PowerLaw_06,0.42223312656229994,0.14582473218011366,-0.08001415426561342,0.31356882013697723,0.5738407304525208,0.31742877418414417
FourthRoot,0.4197005092983303,0.03230884562874604,-0.03805163084579807,0.31893123768024983,0.568213471753877,0.0919850756336458
PowerLaw_02,0.4644694425132934,0.1534863004516334,-0.11677237591696732,0.3232923786476045,0.589606439455038,0.32192358253437414
PowerLaw_07,0.4162220571135998,0.1415614632885177,-0.07279091122543854,0.31273412669153844,0.5709836425845627,0.31160650997015477
