model_name,AIC_with_slopes,AIC_intercepts_only,delta_AIC,slopes_improve_fit
PowerLaw_04,871.2922197011644,866.6128837715473,-4.679335929617082,False
PowerLaw_05,871.4291300015798,866.7416093576749,-4.687520643904918,False
PowerLaw_03,871.5167590260039,866.8311118261154,-4.685647199888535,False
LogLog,871.5780117005434,866.8917991903559,-4.686212510187488,False
Root_033,871.7354424226605,867.0875696475973,-4.647872775063206,False
CubeRoot,871.7374528935643,867.0895568805477,-4.647896013016634,False
PowerLaw_06,871.8994999252664,867.1927198403409,-4.706780084925413,False
FourthRoot,871.9869802355665,867.3228426879605,-4.66413754760606,False
PowerLaw_02,872.1290397930661,867.4144360748091,-4.714603718256967,False
PowerLaw_07,872.6716504471874,867.9365872501985,-4.735063196988904,False
