model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Recip+Log,2532.4223025348474,2578.232994056832,-1257.2111512674237,8.0,True,0.0,0.0889915705685176,0.0889915705685176
PowerLaw_Log,2532.6048315834196,2578.415523105404,-1257.3024157917098,8.0,True,0.182529048572178,0.0812293900611964,0.17022096062971398
CubeRoot+Log,2532.772371537496,2578.5830630594805,-1257.386185768748,8.0,True,0.3500690026485245,0.0747020213398982,0.24492298196961218
Tanh+Log,2533.363649807863,2579.1743413298477,-1257.6818249039316,8.0,True,0.9413472730157082,0.05558247846256255,0.30050546043217474
SquareRoot+Lin,2533.696872462866,2579.5075639848505,-1257.848436231433,8.0,True,1.2745699280185363,0.04705215599767612,0.34755761642985084
Lin+Log,2533.703322285528,2579.5140138075126,-1257.851661142764,8.0,True,1.2810197506805707,0.04690066137630693,0.3944582778061578
Exp+Log,2533.703322285528,2579.5140138075126,-1257.851661142764,8.0,True,1.2810197506805707,0.04690066137630693,0.4413589391824647
Recip+Lin,2534.0630713475566,2579.873762869541,-1258.0315356737783,8.0,True,1.6407688127092115,0.03917964086453574,0.48053858004700045
PowerLaw+Recip+Log,2534.3446183506967,2585.2453867084578,-1257.1723091753483,9.0,True,1.922315815849288,0.03403480728446337,0.5145733873314638
PowerLaw_Lin,2534.3645936297926,2580.175285151777,-1258.1822968148963,8.0,True,1.9422910949451762,0.033696571795953985,0.5482699591274178
Root_Multi,2534.425760003909,2580.2364515258937,-1258.2128800019545,8.0,True,2.0034574690616864,0.03268162253726646,0.5809515816646843
LogLog,2534.7249212940096,2575.445535980218,-1259.3624606470048,7.0,True,2.3026187591622147,0.0281411318491865,0.6090927135138708
PowerLaw_05,2534.810543213469,2575.5311578996775,-1259.4052716067345,7.0,True,2.3882406786215142,0.026961807113293424,0.6360545206271643
FourthRoot,2534.853430946285,2575.5740456324934,-1259.4267154731424,7.0,True,2.431128411437385,0.02638979670012417,0.6624443173272885
PowerLaw_06,2534.9756189077616,2575.69623359397,-1259.4878094538808,7.0,True,2.553316372914196,0.02482580077171416,0.6872701180990026
PowerLaw_04,2535.1039140027497,2575.8245286889583,-1259.5519570013748,7.0,True,2.6816114679022576,0.0232832895967348,0.7105534076957374
Lin+Quad+Log,2535.248661137839,2586.1494294956,-1257.6243305689195,9.0,True,2.826358602991604,0.02165772819015263,0.73221113588589
Quad+Log,2535.248661137839,2586.1494294956,-1257.6243305689195,9.0,True,2.826358602991604,0.02165772819015263,0.7538688640760427
Root_033,2535.550647115342,2576.2712618015507,-1259.775323557671,7.0,True,3.1283445804947405,0.01862247830885346,0.7724913423848961
Quad+Log+SquareRoot,2535.554221079703,2591.54506627324,-1256.7771105398515,10.0,True,3.13191854485558,0.018589229987886504,0.7910805723727826
CubeRoot,2535.5575226573346,2576.278137343543,-1259.7787613286673,7.0,True,3.135220122487226,0.018558568409785838,0.8096391407825685
PowerLaw_07,2535.5623091315447,2576.2829238177533,-1259.7811545657723,7.0,True,3.140006596697276,0.018514206460756525,0.828153347243325
Recip+PowerLaw05,2535.6985615099456,2581.5092530319303,-1258.8492807549728,8.0,True,3.2762589750982443,0.017294908727522543,0.8454482559708476
Recip+PowerLaw,2535.6985615099456,2581.5092530319303,-1258.8492807549728,8.0,True,3.2762589750982443,0.017294908727522543,0.8627431646983702
Log+PowerLaw05,2535.829938534227,2581.6406300562116,-1258.9149692671135,8.0,True,3.407635999379636,0.016195341721671516,0.8789385064200417
PowerLaw_03,2535.885938291818,2576.6065529780267,-1259.942969145909,7.0,True,3.463635756970689,0.015748163795272045,0.8946866702153137
Exp+PowerLaw,2535.946327476542,2581.7570189985267,-1258.973163738271,8.0,True,3.5240249416947336,0.015279761602498788,0.9099664318178124
Log+LogLog,2535.985958950785,2581.7966504727697,-1258.9929794753925,8.0,True,3.5636564159376576,0.014979962047849868,0.9249463938656624
SquareRoot+PowerLaw,2536.1003071968753,2581.91099871886,-1259.0501535984376,8.0,True,3.678004662027888,0.014147519686045417,0.9390939135517078
PowerLaw_08,2536.5288819258476,2577.249496612056,-1260.2644409629238,7.0,True,4.106579391000196,0.0114186953715637,0.9505126089232715
Sin+Log,2536.7555407353957,2582.5662322573803,-1259.3777703676978,8.0,True,4.333238200548294,0.010195256389456812,0.9607078653127283
PowerLaw_02,2537.178640416314,2577.8992551025226,-1260.589320208157,7.0,True,4.756337881466607,0.008251316074452475,0.9689591813871808
Lin+Log+PowerLaw,2537.756697980867,2588.657466338628,-1258.8783489904336,9.0,True,5.334395446019698,0.006180158568807213,0.975139339955988
PowerLaw_09,2537.8304663575836,2578.5510810437922,-1260.9152331787918,7.0,True,5.408163822736242,0.005956361101447541,0.9810957010574356
PowerLaw_01,2538.9946046660534,2579.715219352262,-1261.4973023330267,7.0,True,6.5723021312060155,0.00332806344550142,0.984423764502937
Reciprocal,2539.4207344034257,2580.1413490896343,-1261.7103672017129,7.0,True,6.998431868578336,0.0026894204336991665,0.9871131849366361
PowerLaw_10,2539.4207344034257,2580.1413490896343,-1261.7103672017129,7.0,True,6.998431868578336,0.0026894204336991665,0.9898026053703353
SquareRoot+Recip,2540.317216420872,2586.1279079428564,-1261.158608210436,8.0,True,7.894913886024369,0.001717869241054048,0.9915204746113893
Exp+Recip,2540.3792232778633,2586.189914799848,-1261.1896116389316,8.0,True,7.956920743015871,0.0016654265570228886,0.9931859011684121
Log+Recip,2540.3819824971433,2586.192674019128,-1261.1909912485717,8.0,True,7.9596799622959225,0.001663130502683593,0.9948490316710957
Log2,2541.3361370666844,2582.056751752893,-1262.6680685333422,7.0,True,8.913834531836983,0.001032129750737166,0.9958811614218329
Log10,2541.3361370666844,2582.056751752893,-1262.6680685333422,7.0,True,8.913834531836983,0.001032129750737166,0.9969132911725701
Log,2541.3361370666844,2582.056751752893,-1262.6680685333422,7.0,True,8.913834531836983,0.001032129750737166,0.9979454209233073
SquareRoot,2542.720338472629,2583.4409531588376,-1263.3601692363145,7.0,True,10.298035937781606,0.0005166052083682977,0.9984620261316756
Exp_slow,2542.720338472629,2583.4409531588376,-1263.3601692363145,7.0,True,10.298035937781606,0.0005166052083682977,0.9989786313400438
SquareRoot+Log,2542.898436939926,2588.7091284619105,-1262.449218469963,8.0,True,10.476134405078483,0.00047259072022309183,0.9994512220602669
Log+SquareRoot,2543.091478060076,2588.9021695820607,-1262.545739030038,8.0,True,10.669175525228638,0.000429108228888263,0.9998803302891552
Ultimate,2546.0785668727094,2612.2495657377985,-1260.0392834363547,12.0,True,13.656264337862012,9.636709089585673e-05,0.9999766973800511
Recip+Quad,2548.9989214733014,2599.8996898310625,-1264.4994607366507,9.0,True,16.576618938453976,2.2375966578981034e-05,0.9999990733466301
Root_067,2555.632554411499,2596.3531690977075,-1269.8162772057494,7.0,True,23.210251876651455,8.115339905656225e-07,0.9999998848806206
Quadratic,2560.1641667353215,2605.974858257306,-1271.0820833676607,8.0,True,27.741864200474083,8.419370115044795e-08,0.9999999690743218
Recip_sq,2562.2624120482615,2602.98302673447,-1273.1312060241307,7.0,True,29.840109513414063,2.9488414393738708e-08,0.9999999985627361
Cubic,2568.3727429476767,2619.2735113054378,-1274.1863714738383,9.0,True,35.950440412829266,1.3893444317891387e-09,0.9999999999520806
Tanh,2575.822143940073,2616.5427586262817,-1279.9110719700366,7.0,True,43.39984140522574,3.351143711110733e-11,0.999999999985592
Quartic,2577.873719760053,2633.86456495359,-1277.9368598800265,10.0,True,45.45141722520566,1.2014315256889714e-11,0.9999999999976062
Sin+Cos,2581.5616359580054,2627.37232747999,-1281.7808179790027,8.0,True,49.13933342315795,1.9005451724828895e-12,0.9999999999995068
Cos,2585.193654195442,2625.9142688816505,-1284.596827097721,7.0,True,52.77135166059452,3.091686553416204e-13,0.999999999999816
Linear,2587.6415606964583,2628.362175382667,-1285.8207803482292,7.0,True,55.219258161610924,9.091578947156258e-14,0.999999999999907
Exponential_proxy,2587.6415606964583,2628.362175382667,-1285.8207803482292,7.0,True,55.219258161610924,9.091578947156258e-14,0.9999999999999979
Sinh,2595.0259378261308,2635.7465525123393,-1289.5129689130654,7.0,True,62.603635291283354,2.2653859070713502e-15,1.0000000000000002
Arctanh,2641.6949838748897,2682.4155985610982,-1312.8474919374448,7.0,True,109.27268134004225,1.6637482325228073e-25,1.0000000000000002
Exp_fast,2664.2560187381514,2704.97663342436,-1324.1280093690757,7.0,True,131.833716203304,2.0990420242521303e-30,1.0000000000000002
Quadratic_pure,2664.2560187381514,2704.97663342436,-1324.1280093690757,7.0,True,131.833716203304,2.0990420242521303e-30,1.0000000000000002
Cubic_pure,2714.832718636084,2755.5533333222925,-1349.416359318042,7.0,True,182.41041610123648,2.1848936086939344e-41,1.0000000000000002
Sin,2818.8043421431703,2859.524956829379,-1401.4021710715851,7.0,True,286.3820396083229,5.7846769767189455e-64,1.0000000000000002
