composite_ID,theta_what,theta_where,theta_when
A010_1,2.8913608,1.5705827,1.6043813
A010_2,-0.08650029,0.7157415,0.4999859
A010_3,-0.49660814,0.047704622,0.32692242
A010_4,1.1410702,-0.32307118,1.5188254
A011_1,1.4147508,0.4127478,1.3339385
A011_2,0.29618344,-0.18926316,2.3482456
A011_3,0.31595188,-0.31651068,-0.37045893
A011_4,0.026287377,-0.60199803,-0.6153848
A012_1,2.1713092,1.0162325,0.3026209
A012_2,-0.1771427,-0.6540871,-0.4834466
A012_3,0.5248277,0.89837563,-0.43696582
A012_4,-0.28679764,-1.1043733,-1.4081311
A013_1,-0.14281887,-0.14989491,0.11603665
A013_2,0.02396974,-0.7699499,0.47764575
A013_3,-0.5310697,0.5557211,0.63089675
A013_4,-0.6606262,-0.748279,-1.1857727
A014_1,1.3085241,1.1174772,1.6154051
A014_2,1.8537118,0.047474504,1.1540043
A014_3,1.1719909,-0.53434575,-1.0119472
A014_4,-0.022797346,-0.7745877,-1.2725654
A015_1,2.2275548,1.1349413,2.0875099
A015_2,2.0409904,1.969222,0.23799333
A015_3,1.0030379,2.2713604,2.1749105
A015_4,1.7343738,0.63996315,-0.5809603
A016_1,0.83938146,1.7739366,0.48131758
A016_2,-0.99012876,0.46776178,-1.6167089
A016_3,0.087460026,-0.22468925,-0.9123885
A016_4,-1.4911025,-1.0268812,-0.67526853
A017_1,-1.401425,0.5785007,0.07430369
A017_2,0.9358346,1.4989223,1.0528532
A017_3,1.0344007,-0.4173451,1.7063377
A017_4,0.19273654,0.20313871,0.94829786
A018_1,0.08328605,0.6239563,0.56135297
A018_2,-0.42136604,0.5327531,1.2072613
A018_3,-0.5709747,-1.1040484,0.46586627
A018_4,0.76517284,0.26835686,0.42453018
A019_1,0.33599678,-0.6833524,-0.8450713
A019_2,-0.57780623,-0.26699305,-1.4070103
A019_3,-1.2989165,-1.4962243,-0.340801
A019_4,-1.1250399,-1.6406976,1.5401291
A020_1,-0.11224149,0.026934333,-0.2148335
A020_2,-0.3890144,-0.26634076,-0.9753555
A020_3,0.120045245,-1.8237756,0.28003392
A020_4,-2.0886824,-2.5567324,0.14209628
A021_1,0.098385096,0.5956378,0.39071667
A021_2,0.6720493,0.3477968,-0.60414225
A021_3,1.1478539,0.23513678,-0.37333134
A021_4,1.3842418,0.24228382,0.0727109
A022_1,0.26601598,-0.16590956,0.23421061
A022_2,0.26018694,0.3307237,0.47213036
A022_3,0.3576041,-0.49513465,-2.2056892
A022_4,0.7088907,-0.44526196,0.46067685
A023_1,0.09975594,1.0637988,0.5398583
A023_2,-0.5385421,-0.7903534,-1.2846363
A023_3,1.4091008,-0.11534785,0.7198155
A023_4,-0.8429909,0.22247608,-1.007435
A024_1,-0.30259877,-0.00018981099,0.9120538
A024_2,-0.92775905,0.27572027,0.00405775
A024_3,-0.20748138,0.78830785,-1.3269699
A024_4,-0.62015086,-1.5814784,-0.054499954
A025_1,1.2901027,0.9174815,3.2444842
A025_2,2.132418,0.82575977,-0.6780421
A025_3,-0.26613453,-0.40032637,0.4949194
A025_4,-1.9089613,0.03579569,-0.13988644
A026_1,0.8317098,0.60151964,1.0842705
A026_2,0.10096131,-0.062886655,0.620645
A026_3,1.5233539,0.18287003,0.31943208
A026_4,0.012424286,-0.631166,0.614869
A027_1,1.1781762,1.3616184,-0.92815256
A027_2,0.6274682,0.6295872,0.5306083
A027_3,-1.6495066,-0.5819009,-0.5786994
A027_4,-0.8692267,-0.5629302,-1.8945675
A028_1,2.1558337,0.87451816,1.4645894
A028_2,0.6994107,-0.7730826,-0.6657279
A028_3,-0.3436548,-0.02976162,0.62798494
A028_4,-0.21401797,-0.77116644,-0.090245694
A029_1,1.5204577,2.1793013,-0.88192713
A029_2,0.40737703,-0.33795083,-1.8865275
A029_3,1.4711797,0.8108649,-0.008336723
A029_4,1.5733508,0.79903275,0.1487445
A030_1,-0.2643656,0.27159786,-0.39597768
A030_2,0.9731933,0.66271937,-0.88329184
A030_3,-0.7004356,0.5436613,-0.83794636
A030_4,-0.5674534,0.3487618,-0.12724856
A031_1,2.6739964,1.7003566,0.42142805
A031_2,1.2772474,-0.16832681,-1.450169
A031_3,0.124681726,-0.4959864,1.3666214
A031_4,-0.3156237,-0.6484619,-0.10294667
A032_1,0.73936254,0.35690048,0.87740606
A032_2,-0.004716754,0.010205016,-0.45042214
A032_3,0.09013641,0.31918195,1.2181256
A032_4,0.8810518,2.6207204,-0.15229756
A033_1,1.0710131,0.049412698,0.023518052
A033_2,0.06285307,0.5636099,0.3860181
A033_3,0.7920216,1.2187513,-0.26784912
A033_4,-0.29099223,-0.4118394,1.5634116
A034_1,0.8572222,2.050934,2.7940276
A034_2,0.883318,0.5847813,0.06518535
A034_3,-0.080235794,0.16347253,1.096815
A034_4,-0.0134777725,-0.4106446,-0.51123434
A035_1,-0.15340823,-0.19531748,0.057762295
A035_2,-0.39780045,0.6293689,0.11574438
A035_3,0.39385486,-1.2158734,0.09523827
A035_4,-0.866604,-0.87943006,-0.63782454
A036_1,1.6848905,1.6800045,-0.9198064
A036_2,1.0793477,-0.41462237,1.1407437
A036_3,-0.36359817,-0.31178302,0.6553421
A036_4,-0.44389838,-1.6716434,-1.0087825
A037_1,1.2285929,1.8715029,0.76723385
A037_2,1.998071,0.5517356,1.283803
A037_3,0.05278489,0.57966006,-0.48784715
A037_4,-0.05645014,-1.0684185,-0.61082697
A038_1,2.2806633,0.79986954,0.2567451
A038_2,-0.32122308,0.5283595,-1.6631399
A038_3,0.20859241,2.0479789,0.9672928
A038_4,0.23838262,-0.31710896,0.78875
A039_1,3.0707784,2.390056,1.2822552
A039_2,0.70876193,2.1469126,-0.03910181
A039_3,1.3641913,-0.023470998,0.17685121
A039_4,1.0977235,0.5264406,0.7613579
A040_1,-0.0999808,-0.039823204,0.86195993
A040_2,-0.3869931,0.095663674,0.048918366
A040_3,-1.4107008,-1.3566558,2.4403017
A040_4,-2.173447,-1.6866457,-0.102564454
A041_1,0.76944244,0.31485027,0.52754205
A041_2,-1.6945968,-1.5274763,-0.8846729
A041_3,1.0139152,0.17739607,-0.5482468
A041_4,-0.6864001,-0.20312725,-1.2888178
A042_1,-0.7024993,-0.29665262,-0.17483757
A042_2,-1.1081132,-0.71853673,1.1936752
A042_3,0.3735933,-0.7489307,-0.41584533
A042_4,-1.2654289,-0.89425063,-1.2884473
A043_1,2.2180452,0.78697014,-0.76681054
A043_2,0.21994968,0.30678153,0.25743145
A043_3,0.46759808,0.4962105,0.68147844
A043_4,1.0040017,-0.68393576,1.4806161
A044_1,0.52487177,-0.23798385,-1.0748622
A044_2,-0.774018,-0.016961455,0.1548962
A044_3,-1.0044954,-1.0444207,-1.283398
A044_4,-1.9224458,-1.1251194,1.2756352
A045_1,-1.2307229,-0.769778,-0.9771547
A045_2,-0.43567508,-0.789208,-0.2886179
A045_3,-0.4887974,-1.6024777,0.52671057
A045_4,-0.87398744,-1.6423659,-0.71788615
A046_1,-0.3602648,-0.37269062,-0.37671298
A046_2,-0.8238376,-1.6885532,-0.35327232
A046_3,-2.3668396,-0.77737194,-1.0227108
A046_4,-1.6433659,-1.3684313,-1.1174622
A047_1,-0.009341776,-0.6446749,0.038902104
A047_2,-0.20557134,-0.7057062,1.0705264
A047_3,-1.0168517,-1.4397976,-1.6243508
A047_4,-1.415549,-1.0111151,0.19252872
A048_1,0.72257936,0.8130468,0.6660006
A048_2,-0.4441823,-0.2505525,-1.1669939
A048_3,-0.3956558,0.13094884,0.037394255
A048_4,0.6420553,0.18863809,1.095375
A049_1,2.450056,2.2337258,2.174277
A049_2,-0.92257464,-0.12757683,-0.836627
A049_3,-0.09764117,-0.022009283,0.45461407
A049_4,-0.12382896,-0.35890687,-0.30659527
A050_1,0.09483135,-0.907938,-1.3233008
A050_2,0.27707148,-0.89451796,2.0856133
A050_3,-1.7604964,-0.6763557,-0.4043808
A050_4,-0.6980526,-1.5455046,-1.5066707
A051_1,0.79582816,2.0131233,0.6522902
A051_2,-0.6889181,-0.018861715,-0.42168042
A051_3,-0.024253368,-1.0028687,-0.5485866
A051_4,-0.8926794,-0.07526997,0.29404533
A052_1,1.0595628,0.31489554,0.9803801
A052_2,0.33433598,0.28281763,0.40590513
A052_3,0.7444582,0.044636093,-0.7121777
A052_4,0.16168535,-0.867841,-1.5981979
A053_1,0.512762,0.92178565,0.55346495
A053_2,0.08765191,1.6388277,-0.28385627
A053_3,-1.0587484,-0.11060755,-0.21249516
A053_4,0.035588205,0.65986234,1.7490027
A054_1,0.5699283,1.4316313,0.57691026
A054_2,0.123353064,1.9127451,-0.0047733784
A054_3,1.7733543,0.25156695,-0.7731594
A054_4,0.63727486,1.5264075,0.32482374
A055_1,1.0649139,-0.35013592,-0.22500741
A055_2,0.7800118,0.56859976,-0.6249275
A055_3,-0.06100568,-0.28762984,-0.9687321
A055_4,-0.69352573,-1.2420309,-0.8863049
A056_1,0.32689682,-0.06295413,-1.0175066
A056_2,1.0069964,0.2616679,1.0961814
A056_3,-0.6350935,-0.38733956,0.8600175
A056_4,-0.73325545,-1.4020804,-0.8520017
A057_1,0.9826089,-0.34888506,-2.237086
A057_2,-0.2911225,-0.84788024,-1.5215507
A057_3,0.32230306,-1.600934,-0.7314936
A057_4,-0.7368877,-1.0194659,-0.108115286
A058_1,1.0082282,1.3889409,0.16207498
A058_2,-0.28605863,-0.88973856,-0.13146615
A058_3,-1.1315931,0.096722186,0.09282848
A058_4,-0.34124562,-0.97862947,-0.92608744
A059_1,1.4106033,0.86884,0.14032716
A059_2,1.98615,0.6638776,1.4075334
A059_3,1.6070946,0.65150285,-1.286766
A059_4,1.309689,0.15500197,-0.024331395
A060_1,1.0823122,-0.9213429,-0.54133993
A060_2,1.2492827,0.848397,0.92184967
A060_3,0.42360604,-1.2611945,-0.9087922
A060_4,1.4843326,0.4478816,-0.34990364
A061_1,2.7480264,1.5088699,2.9339523
A061_2,1.6826942,0.7527534,0.52831215
A061_3,0.24725243,-0.09035355,-1.6390991
