item_name,factor,a,b,exclusion_reason
TQ_ICR-N-i3,what,0.8717093467712402,-3.371197462081909,|b| > 3.0 on what (b=-3.37)
TQ_ICR-O-i3,when,0.1282328367233276,4.394155979156494,a < 0.4 on when
TQ_ICR-O-i4,when,0.377013236284256,2.625201940536499,a < 0.4 on when
TQ_ICR-O-i5,when,0.2948228120803833,3.101592302322388,a < 0.4 on when
TQ_IFR-D-i1,where,0.3735690414905548,1.727401852607727,a < 0.4 on where
TQ_IFR-D-i4,where,0.2926291823387146,2.569225788116455,a < 0.4 on where
TQ_IFR-D-i5,where,0.2134804278612136,3.2183496952056885,a < 0.4 on where
TQ_IFR-D-i6,where,0.2375320196151733,4.601586818695068,a < 0.4 on where
TQ_IFR-O-i2,when,0.375440239906311,2.87475061416626,a < 0.4 on when
TQ_IFR-O-i3,when,0.2206841558218002,1.9289579391479488,a < 0.4 on when
TQ_IFR-O-i4,when,0.295920729637146,2.3284449577331543,a < 0.4 on when
TQ_IFR-O-i5,when,0.1471609473228454,3.6950550079345694,a < 0.4 on when
TQ_IFR-O-i6,when,0.2571422159671783,3.5100996494293213,a < 0.4 on when
TQ_IRE-D-i5,where,0.3884393870830536,1.850995182991028,a < 0.4 on where
TQ_IRE-N-i2,what,0.448113203048706,-5.953276634216309,|b| > 3.0 on what (b=-5.95)
TQ_IRE-N-i3,what,0.5053231716156006,-4.242547035217285,|b| > 3.0 on what (b=-4.24)
TQ_IRE-N-i4,what,0.6507154703140259,-3.184778451919556,|b| > 3.0 on what (b=-3.18)
TQ_IRE-N-i5,what,0.416944682598114,-5.332666397094727,|b| > 3.0 on what (b=-5.33)
TQ_IRE-N-i6,what,0.7973647117614746,-3.680027961730957,|b| > 3.0 on what (b=-3.68)
TQ_IRE-O-i2,when,0.3623110353946686,5.263669967651367,a < 0.4 on when
TQ_IRE-O-i3,when,0.0964066609740257,5.571208477020264,a < 0.4 on when
TQ_IRE-O-i4,when,0.3341881334781647,3.129615068435669,a < 0.4 on when
TQ_IRE-O-i5,when,0.0826254412531852,11.6461820602417,a < 0.4 on when
TQ_RFR-N-OBJ1,what,0.9990432858467102,-4.4829816818237305,|b| > 3.0 on what (b=-4.48)
TQ_RFR-N-OBJ2,what,0.9866769313812256,-3.045273780822754,|b| > 3.0 on what (b=-3.05)
TQ_RFR-N-WEAT,what,0.3444889187812805,-0.9478760957717896,a < 0.4 on what
TQ_RFR-O-RORD,when,0.3377491533756256,-3.4711573123931885,a < 0.4 on when
TQ_RFR-O-TMOD,when,0.2539732456207275,-0.9069673418998718,a < 0.4 on when
TQ_RRE-N-STRA,what,0.2668500244617462,-5.467251777648926,a < 0.4 on what
TQ_TCR-O-TSK1,when,0.0726204290986061,16.4771671295166,a < 0.4 on when
TQ_TCR-O-TSK2,when,0.3860964477062225,2.0509250164031982,a < 0.4 on when
TQ_TCR-O-TSK3,when,0.148297905921936,8.602812767028809,a < 0.4 on when
TQ_TCR-O-TSK4,when,0.2464405000209808,5.387630939483643,a < 0.4 on when
TQ_TCR-O-TSK5,when,0.366323173046112,3.907822608947754,a < 0.4 on when
TQ_TCR-O-TSK6,when,0.1825765967369079,-20.789840698242188,a < 0.4 on when
