TSVR_hours,domain,probability,predicted_probability,UID
1.0,what,0.9661997393652236,0.8653633402925257,A010
1.0,what,0.9257106120907972,0.8653633402925257,A011
1.0,what,0.9352788364946675,0.8653633402925257,A012
1.0,what,0.7998799451073061,0.8653633402925257,A013
1.0,what,0.9112566693601077,0.8653633402925257,A014
1.0,what,0.9584942654199351,0.8653633402925257,A015
1.0,what,0.9182727626450781,0.8653633402925257,A016
1.0,what,0.7052166861103614,0.8653633402925257,A017
1.0,what,0.8370107822859959,0.8653633402925257,A018
1.0,what,0.7825031497471593,0.8653633402925257,A019
1.0,what,0.7820311823309026,0.8653633402925257,A020
1.0,what,0.9191248003516194,0.8653633402925257,A021
1.0,what,0.7714769102231763,0.8653633402925257,A022
1.0,what,0.8718246876736304,0.8653633402925257,A023
1.0,what,0.7989310406601013,0.8653633402925257,A024
1.0,what,0.9104904520588945,0.8653633402925257,A025
1.0,what,0.8989964279212286,0.8653633402925257,A026
1.0,what,0.8971640753335147,0.8653633402925257,A027
1.0,what,0.9396117373836629,0.8653633402925257,A028
1.0,what,0.9456843426178433,0.8653633402925257,A029
1.0,what,0.8306076163567028,0.8653633402925257,A030
1.0,what,0.9702296193641722,0.8653633402925257,A031
1.0,what,0.9054845982971502,0.8653633402925257,A032
1.0,what,0.8405970016555155,0.8653633402925257,A033
1.0,what,0.9528126364049385,0.8653633402925257,A034
1.0,what,0.7745318166607329,0.8653633402925257,A035
1.0,what,0.9102129693423473,0.8653633402925257,A036
1.0,what,0.9316208864595302,0.8653633402925257,A037
1.0,what,0.9276003518714213,0.8653633402925257,A038
1.0,what,0.9745308904156671,0.8653633402925257,A039
1.0,what,0.7132019580007297,0.8653633402925257,A040
1.0,what,0.9292095564344367,0.8653633402925257,A041
1.0,what,0.6018257085721176,0.8653633402925257,A042
1.0,what,0.8919288899832833,0.8653633402925257,A043
1.0,what,0.7633850638136096,0.8653633402925257,A044
1.0,what,0.5886177796761344,0.8653633402925257,A045
1.0,what,0.672485410138205,0.8653633402925257,A046
1.0,what,0.6988398975845314,0.8653633402925257,A047
1.0,what,0.9181210846422087,0.8653633402925257,A048
1.0,what,0.9694006140755701,0.8653633402925257,A049
1.0,what,0.6673617883221796,0.8653633402925257,A050
1.0,what,0.9316483894209686,0.8653633402925257,A051
1.0,what,0.910732141839849,0.8653633402925257,A052
1.0,what,0.9203299096625499,0.8653633402925257,A053
1.0,what,0.8648225945286716,0.8653633402925257,A054
1.0,what,0.8065961380616885,0.8653633402925257,A055
1.0,what,0.8263961517096464,0.8653633402925257,A056
1.0,what,0.8433827048506223,0.8653633402925257,A057
1.0,what,0.9000251869488529,0.8653633402925257,A058
1.0,what,0.9154348226701728,0.8653633402925257,A059
1.0,what,0.7983892933781858,0.8653633402925257,A060
1.0,what,0.9809113066663626,0.8653633402925257,A061
1.0,what,0.9302994372173484,0.8653633402925257,A062
1.0,what,0.8921983163807756,0.8653633402925257,A063
1.0,what,0.9156632713867472,0.8653633402925257,A064
1.0,what,0.27479048479738677,0.8653633402925257,A065
1.0,what,0.8709564129521692,0.8653633402925257,A066
1.0,what,0.9019440763450267,0.8653633402925257,A067
1.0,what,0.9498836923393624,0.8653633402925257,A068
1.0,what,0.7032789935985656,0.8653633402925257,A069
1.0,what,0.8630465237875916,0.8653633402925257,A070
