TSVR_hours,domain,theta,predicted_theta,UID
1.0,what,1.9723079,0.5408521538996676,A010
1.0,what,1.1758701,0.5408521538996676,A011
1.0,what,1.317989,0.5408521538996676,A012
1.0,what,0.085204296,0.5408521538996676,A013
1.0,what,0.990247,0.5408521538996676,A014
1.0,what,1.7676418,0.5408521538996676,A015
1.0,what,1.0766052,0.5408521538996676,A016
1.0,what,-0.40713716,0.5408521538996676,A017
1.0,what,0.32558995,0.5408521538996676,A018
1.0,what,-0.015733648,0.5408521538996676,A019
1.0,what,-0.01839159,0.5408521538996676,A020
1.0,what,1.0875474,0.5408521538996676,A021
1.0,what,-0.07678151,0.5408521538996676,A022
1.0,what,0.59516215,0.5408521538996676,A023
1.0,what,0.079528205,0.5408521538996676,A024
1.0,what,0.9811938,0.5408521538996676,A025
1.0,what,0.85312533,0.5408521538996676,A026
1.0,what,0.8339228,0.5408521538996676,A027
1.0,what,1.3888893,0.5408521538996676,A028
1.0,what,1.4967275,0.5408521538996676,A029
1.0,what,0.2812619,0.5408521538996676,A030
1.0,what,2.098076,0.5408521538996676,A031
1.0,what,0.9237079,0.5408521538996676,A032
1.0,what,0.35103184,0.5408521538996676,A033
1.0,what,1.638878,0.5408521538996676,A034
1.0,what,-0.060081527,0.5408521538996676,A035
1.0,what,0.97793245,0.5408521538996676,A036
1.0,what,1.2614937,0.5408521538996676,A037
1.0,what,1.2025418,0.5408521538996676,A038
1.0,what,2.252001,0.5408521538996676,A039
1.0,what,-0.36999494,0.5408521538996676,A040
1.0,what,1.2257649,0.5408521538996676,A041
1.0,what,-0.8475921,0.5408521538996676,A042
1.0,what,0.78068006,0.5408521538996676,A043
1.0,what,-0.12027291,0.5408521538996676,A044
1.0,what,-0.90017945,0.5408521538996676,A045
1.0,what,-0.55372006,0.5408521538996676,A046
1.0,what,-0.4363785,0.5408521538996676,A047
1.0,what,1.0746682,0.5408521538996676,A048
1.0,what,2.0709105,0.5408521538996676,A049
1.0,what,-0.5759458,0.5408521538996676,A050
1.0,what,1.2619079,0.5408521538996676,A051
1.0,what,0.9840419,0.5408521538996676,A052
1.0,what,1.1032048,0.5408521538996676,A053
1.0,what,0.5364078,0.5408521538996676,A054
1.0,what,0.12596902,0.5408521538996676,A055
1.0,what,0.25282967,0.5408521538996676,A056
1.0,what,0.37111652,0.5408521538996676,A057
1.0,what,0.86404234,0.5408521538996676,A058
1.0,what,1.0408934,0.5408521538996676,A059
1.0,what,0.076296605,0.5408521538996676,A060
1.0,what,2.5348673,0.5408521538996676,A061
1.0,what,1.241772,0.5408521538996676,A062
1.0,what,0.7833641,0.5408521538996676,A063
1.0,what,1.0437275,0.5408521538996676,A064
1.0,what,-2.1746836,0.5408521538996676,A065
1.0,what,0.5877305,0.5408521538996676,A066
1.0,what,0.88467497,0.5408521538996676,A067
1.0,what,1.5781611,0.5408521538996676,A068
1.0,what,-0.41606086,0.5408521538996676,A069
1.0,what,0.5219151,0.5408521538996676,A070
1.0,what,0.8269955,0.5408521538996676,A071
1.0,what,0.81125784,0.5408521538996676,A072
1.0,what,0.6544795,0.5408521538996676,A073
1.0,what,0.9347626,0.5408521538996676,A074
1.0,what,0.25188833,0.5408521538996676,A075
1.0,what,-0.48276085,0.5408521538996676,A076
1.0,what,1.3145027,0.5408521538996676,A077
1.0,what,0.023597341,0.5408521538996676,A078
1.0,what,0.13202901,0.5408521538996676,A079
1.0,what,0.43105462,0.5408521538996676,A080
1.0,what,0.41316152,0.5408521538996676,A081
1.0,what,0.70349485,0.5408521538996676,A082
1.0,what,1.716006,0.5408521538996676,A083
1.0,what,0.27613997,0.5408521538996676,A084
1.0,what,0.11177244,0.5408521538996676,A085
1.0,what,0.67570555,0.5408521538996676,A086
1.0,what,1.2110579,0.5408521538996676,A087
1.0,what,1.4964592,0.5408521538996676,A088
1.0,what,1.3879722,0.5408521538996676,A089
1.0,what,0.5685513,0.5408521538996676,A090
1.0,what,0.6446007,0.5408521538996676,A091
1.0,what,-0.45725018,0.5408521538996676,A092
1.0,what,0.40196308,0.5408521538996676,A093
1.0,what,-0.4338472,0.5408521538996676,A094
1.0,what,1.5629785,0.5408521538996676,A095
1.0,what,-0.5876299,0.5408521538996676,A096
1.0,what,0.30110675,0.5408521538996676,A097
1.0,what,0.63542306,0.5408521538996676,A098
1.0,what,0.8915915,0.5408521538996676,A099
1.0,what,0.07399175,0.5408521538996676,A100
1.0,what,-1.1400971,0.5408521538996676,A101
