model_name,aic_intercepts,aic_slopes,delta_aic,slopes_improve_fit,slope_variance,converged_intercepts,converged_slopes,interpretation
Recip+Log,2589.201355165591,2575.0144294578877,14.186925707703267,True,0.048488828402201554,True,True,SLOPES_WIN
PowerLaw_Log,2589.376052375641,2575.160353903606,14.215698472035001,True,0.04852982184857822,True,True,SLOPES_WIN
CubeRoot+Log,2589.523464357175,2575.5267792477644,13.996685109410464,True,0.04824059314910659,True,True,SLOPES_WIN
Tanh+Log,2589.537814940257,2575.356733900824,14.181081039432684,True,0.048503423693948236,True,True,SLOPES_WIN
SquareRoot+Lin,2588.8500839619956,2583.7660587235823,5.084025238413233,True,0.0033265196260774395,True,True,SLOPES_WIN
Lin+Log,2590.419705119146,2585.2805304260637,5.139174693082168,True,0.0033336810730604386,True,True,SLOPES_WIN
Exp+Log,2590.419705119146,2576.0618624400304,14.357842679115493,True,0.04873131185247697,True,True,SLOPES_WIN
Recip+Lin,2589.1979152310996,2584.1146345619545,5.083280669145097,True,0.003351678421525363,True,True,SLOPES_WIN
PowerLaw+Recip+Log,2591.125534387231,2576.972452484055,14.153081903175917,True,0.04845074765468341,True,True,SLOPES_WIN
PowerLaw_Lin,2589.487262322913,2584.4027325834577,5.08452973945532,True,0.0033296429329268784,True,True,SLOPES_WIN
