composite_ID,domain,test,theta
A010_1,What,1,1.9723079
A010_2,What,2,0.5321417
A010_3,What,3,-0.24620515
A010_4,What,4,0.76564074
A011_1,What,1,1.1758701
A011_2,What,2,0.58703774
A011_3,What,3,-0.32275462
A011_4,What,4,-0.6501544
A012_1,What,1,1.317989
A012_2,What,2,-0.16549101
A012_3,What,3,0.5725235
A012_4,What,4,-0.5827313
A013_1,What,1,0.085204296
A013_2,What,2,-0.30207354
A013_3,What,3,0.38999763
A013_4,What,4,-0.5718052
A014_1,What,1,0.990247
A014_2,What,2,2.0772517
A014_3,What,3,0.39994225
A014_4,What,4,-0.48348227
A015_1,What,1,1.7676418
A015_2,What,2,1.9235327
A015_3,What,3,1.7069992
A015_4,What,4,0.48828286
A016_1,What,1,1.0766052
A016_2,What,2,-0.39004326
A016_3,What,3,0.09681583
A016_4,What,4,-1.1568888
A017_1,What,1,-0.40713716
A017_2,What,2,1.0619187
A017_3,What,3,0.66992927
A017_4,What,4,0.20140322
A018_1,What,1,0.32558995
A018_2,What,2,-0.36246425
A018_3,What,3,-0.91410375
A018_4,What,4,0.16954863
A019_1,What,1,-0.015733648
A019_2,What,2,-1.1935377
A019_3,What,3,-0.94285613
A019_4,What,4,-1.264995
A020_1,What,1,-0.01839159
A020_2,What,2,-0.5171829
A020_3,What,3,-0.46821594
A020_4,What,4,-2.2787354
A021_1,What,1,1.0875474
A021_2,What,2,0.8355286
A021_3,What,3,0.29306138
A021_4,What,4,0.7857295
A022_1,What,1,-0.07678151
A022_2,What,2,0.13877183
A022_3,What,3,-0.30076003
A022_4,What,4,0.26840943
A023_1,What,1,0.59516215
A023_2,What,2,-0.49034083
A023_3,What,3,0.32838494
A023_4,What,4,-0.06907465
A024_1,What,1,0.079528205
A024_2,What,2,-0.0904471
A024_3,What,3,0.3260986
A024_4,What,4,-0.4476697
A025_1,What,1,0.9811938
A025_2,What,2,1.7059261
A025_3,What,3,-0.524388
A025_4,What,4,-1.4041344
A026_1,What,1,0.85312533
A026_2,What,2,0.00019577265
A026_3,What,3,0.3868858
A026_4,What,4,-0.0556293
A027_1,What,1,0.8339228
A027_2,What,2,0.33739686
A027_3,What,3,-0.7617411
A027_4,What,4,-0.9249458
A028_1,What,1,1.3888893
A028_2,What,2,0.3311532
A028_3,What,3,-0.43044564
A028_4,What,4,-0.40401626
A029_1,What,1,1.4967275
A029_2,What,2,-0.0183022
A029_3,What,3,1.1595125
A029_4,What,4,1.0474995
A030_1,What,1,0.2812619
A030_2,What,2,0.8832621
A030_3,What,3,-0.18143387
A030_4,What,4,-0.0007534161
A031_1,What,1,2.098076
A031_2,What,2,-0.3397794
A031_3,What,3,0.16093041
A031_4,What,4,-0.412024
A032_1,What,1,0.9237079
A032_2,What,2,-0.077504
A032_3,What,3,0.7994235
A032_4,What,4,1.3869435
A033_1,What,1,0.35103184
A033_2,What,2,0.24968037
A033_3,What,3,0.9273771
A033_4,What,4,-0.04748927
A034_1,What,1,1.638878
A034_2,What,2,0.35502133
A034_3,What,3,0.20019667
A034_4,What,4,-0.25343332
A035_1,What,1,-0.060081527
A035_2,What,2,0.87888414
A035_3,What,3,-0.35612592
A035_4,What,4,-0.88171935
A036_1,What,1,0.97793245
A036_2,What,2,0.026050432
A036_3,What,3,-0.35021576
A036_4,What,4,-0.5848764
A037_1,What,1,1.2614937
A037_2,What,2,1.157818
A037_3,What,3,0.059776444
A037_4,What,4,-0.13570116
A038_1,What,1,1.2025418
A038_2,What,2,0.007853324
A038_3,What,3,0.70266676
A038_4,What,4,0.056318834
A039_1,What,1,2.252001
A039_2,What,2,0.92305565
A039_3,What,3,0.31220362
A039_4,What,4,0.6324969
A040_1,What,1,-0.36999494
A040_2,What,2,0.056224108
A040_3,What,3,-1.5265014
A040_4,What,4,-1.7589025
A041_1,What,1,1.2257649
A041_2,What,2,-1.0088389
A041_3,What,3,0.059980888
