UID,composite_ID,test,domain,theta,TSVR_hours,log_TSVR,age,Age_c,mean_age
A010,A010_1,1,What,1.9723079,1.0,0.6931471805599453,22.0,-22.57,44.57
A010,A010_2,2,What,0.5321417,21.9,3.131136910560194,22.0,-22.57,44.57
A010,A010_3,3,What,-0.24620515,80.88,4.405254760793088,22.0,-22.57,44.57
A010,A010_4,4,What,0.76564074,145.31,4.985727658390071,22.0,-22.57,44.57
A011,A011_1,1,What,1.1758701,1.0,0.6931471805599453,21.0,-23.57,44.57
A011,A011_2,2,What,0.58703774,24.57,3.2414197893030954,21.0,-23.57,44.57
A011,A011_3,3,What,-0.32275462,72.55,4.297965447047447,21.0,-23.57,44.57
A011,A011_4,4,What,-0.6501544,148.85,5.009634793762673,21.0,-23.57,44.57
A012,A012_1,1,What,1.317989,1.0,0.6931471805599453,21.0,-23.57,44.57
A012,A012_2,2,What,-0.16549101,25.6,3.2809112157876537,21.0,-23.57,44.57
A012,A012_3,3,What,0.5725235,166.33,5.119967910506483,21.0,-23.57,44.57
A012,A012_4,4,What,-0.5827313,166.87,5.123189870334323,21.0,-23.57,44.57
A013,A013_1,1,What,0.085204296,1.0,0.6931471805599453,22.0,-22.57,44.57
A013,A013_2,2,What,-0.30207354,24.77,3.2492110246642736,22.0,-22.57,44.57
A013,A013_3,3,What,0.38999763,79.66,4.390242789445222,22.0,-22.57,44.57
A013,A013_4,4,What,-0.5718052,147.13,4.998090266593961,22.0,-22.57,44.57
A014,A014_1,1,What,0.990247,1.0,0.6931471805599453,22.0,-22.57,44.57
A014,A014_2,2,What,2.0772517,25.66,3.2831643147505627,22.0,-22.57,44.57
A014,A014_3,3,What,0.39994225,70.56,4.270536258640519,22.0,-22.57,44.57
A014,A014_4,4,What,-0.48348227,148.87,5.009768251656904,22.0,-22.57,44.57
A015,A015_1,1,What,1.7676418,1.0,0.6931471805599453,23.0,-21.57,44.57
A015,A015_2,2,What,1.9235327,23.69,3.206398303357088,23.0,-21.57,44.57
A015,A015_3,3,What,1.7069992,70.59,4.270955399408094,23.0,-21.57,44.57
A015,A015_4,4,What,0.48828286,146.54,4.9940993254561565,23.0,-21.57,44.57
A016,A016_1,1,What,1.0766052,1.0,0.6931471805599453,21.0,-23.57,44.57
A016,A016_2,2,What,-0.39004326,32.85,3.521938999358284,21.0,-23.57,44.57
A016,A016_3,3,What,0.09681583,80.64,4.402319337941644,21.0,-23.57,44.57
A016,A016_4,4,What,-1.1568888,150.8,5.02256386496153,21.0,-23.57,44.57
A017,A017_1,1,What,-0.40713716,1.0,0.6931471805599453,24.0,-20.57,44.57
A017,A017_2,2,What,1.0619187,20.61,3.0731561705187946,24.0,-20.57,44.57
A017,A017_3,3,What,0.66992927,61.28,4.131640346965797,24.0,-20.57,44.57
A017,A017_4,4,What,0.20140322,140.49,4.952229043207861,24.0,-20.57,44.57
A018,A018_1,1,What,0.32558995,1.0,0.6931471805599453,23.0,-21.57,44.57
A018,A018_2,2,What,-0.36246425,34.03,3.5562048372093953,23.0,-21.57,44.57
A018,A018_3,3,What,-0.91410375,83.64,4.438406968109989,23.0,-21.57,44.57
A018,A018_4,4,What,0.16954863,150.87,5.023024891742178,23.0,-21.57,44.57
A019,A019_1,1,What,-0.015733648,1.0,0.6931471805599453,20.0,-24.57,44.57
A019,A019_2,2,What,-1.1935377,28.69,3.3908102887756684,20.0,-24.57,44.57
A019,A019_3,3,What,-0.94285613,83.68,4.4388794462666645,20.0,-24.57,44.57
A019,A019_4,4,What,-1.264995,154.76,5.048316361063944,20.0,-24.57,44.57
A020,A020_1,1,What,-0.01839159,1.0,0.6931471805599453,26.0,-18.57,44.57
A020,A020_2,2,What,-0.5171829,26.85,3.326832966373293,26.0,-18.57,44.57
A020,A020_3,3,What,-0.46821594,78.25,4.37260741275739,26.0,-18.57,44.57
A020,A020_4,4,What,-2.2787354,145.78,4.9889348671169165,26.0,-18.57,44.57
A021,A021_1,1,What,1.0875474,1.0,0.6931471805599453,28.0,-16.57,44.57
A021,A021_2,2,What,0.8355286,30.21,3.440738556282688,28.0,-16.57,44.57
A021,A021_3,3,What,0.29306138,74.19,4.320018243389936,28.0,-16.57,44.57
A021,A021_4,4,What,0.7857295,140.39,4.951522029603749,28.0,-16.57,44.57
A022,A022_1,1,What,-0.07678151,1.0,0.6931471805599453,28.0,-16.57,44.57
A022,A022_2,2,What,0.13877183,24.15,3.224857896545748,28.0,-16.57,44.57
A022,A022_3,3,What,-0.30076003,74.46,4.323602714536165,28.0,-16.57,44.57
A022,A022_4,4,What,0.26840943,141.71,4.9608145991123,28.0,-16.57,44.57
A023,A023_1,1,What,0.59516215,1.0,0.6931471805599453,26.0,-18.57,44.57
A023,A023_2,2,What,-0.49034083,25.63,3.282038399825841,26.0,-18.57,44.57
A023,A023_3,3,What,0.32838494,72.2,4.293195420967266,26.0,-18.57,44.57
A023,A023_4,4,What,-0.06907465,145.07,4.984085958862719,26.0,-18.57,44.57
A024,A024_1,1,What,0.079528205,1.0,0.6931471805599453,29.0,-15.57,44.57
A024,A024_2,2,What,-0.0904471,29.57,3.420019135902743,29.0,-15.57,44.57
A024,A024_3,3,What,0.3260986,91.47,4.526884267589547,29.0,-15.57,44.57
A024,A024_4,4,What,-0.4476697,145.65,4.9880487954234605,29.0,-15.57,44.57
A025,A025_1,1,What,0.9811938,1.0,0.6931471805599453,26.0,-18.57,44.57
A025,A025_2,2,What,1.7059261,23.33,3.1917101567954314,26.0,-18.57,44.57
A025,A025_3,3,What,-0.524388,72.94,4.303253953508486,26.0,-18.57,44.57
A025,A025_4,4,What,-1.4041344,137.74,4.932601677957155,26.0,-18.57,44.57
A026,A026_1,1,What,0.85312533,1.0,0.6931471805599453,29.0,-15.57,44.57
A026,A026_2,2,What,0.00019577265,26.48,3.3134584673541485,29.0,-15.57,44.57
A026,A026_3,3,What,0.3868858,75.46,4.336767728268267,29.0,-15.57,44.57
A026,A026_4,4,What,-0.0556293,147.65,5.001594549444107,29.0,-15.57,44.57
A027,A027_1,1,What,0.8339228,1.0,0.6931471805599453,28.0,-16.57,44.57
A027,A027_2,2,What,0.33739686,28.26,3.3762213955919784,28.0,-16.57,44.57
A027,A027_3,3,What,-0.7617411,74.58,4.325191697921343,28.0,-16.57,44.57
A027,A027_4,4,What,-0.9249458,145.92,4.989888220951467,28.0,-16.57,44.57
A028,A028_1,1,What,1.3888893,1.0,0.6931471805599453,26.0,-18.57,44.57
A028,A028_2,2,What,0.3311532,22.82,3.170525563927154,26.0,-18.57,44.57
A028,A028_3,3,What,-0.43044564,72.26,4.294014757350668,26.0,-18.57,44.57
A028,A028_4,4,What,-0.40401626,138.91,4.940999358745194,26.0,-18.57,44.57
A029,A029_1,1,What,1.4967275,1.0,0.6931471805599453,25.0,-19.57,44.57
