TSVR_hours,domain,model,mean_score,CI_lower,CI_upper,n
1.0,What,CTT,0.8042105263157895,0.7787691369514212,0.8296519156801577,100
16.9,What,CTT,0.7894736842105263,,,1
17.16,What,CTT,0.5789473684210527,,,1
20.61,What,CTT,0.8421052631578947,,,1
21.63,What,CTT,0.6842105263157895,,,1
21.9,What,CTT,0.7894736842105263,,,1
21.98,What,CTT,0.6842105263157895,,,1
22.09,What,CTT,0.8421052631578947,,,1
22.2,What,CTT,0.6842105263157895,,,1
22.6,What,CTT,0.631578947368421,,,1
22.64,What,CTT,0.7368421052631579,,,1
22.77,What,CTT,0.7368421052631579,,,1
22.82,What,CTT,0.8421052631578947,,,1
22.83,What,CTT,0.631578947368421,,,1
22.96,What,CTT,0.631578947368421,,,1
22.98,What,CTT,0.6842105263157895,,,1
23.24,What,CTT,0.7368421052631579,,,1
23.33,What,CTT,0.9473684210526316,,,1
23.35,What,CTT,0.7894736842105263,,,1
23.46,What,CTT,0.631578947368421,,,1
23.47,What,CTT,0.4736842105263157,,,1
23.54,What,CTT,0.5263157894736842,,,1
23.69,What,CTT,0.9473684210526316,,,1
23.7,What,CTT,0.9473684210526316,,,1
23.91,What,CTT,0.631578947368421,,,1
24.15,What,CTT,0.7368421052631579,,,1
24.25,What,CTT,0.8947368421052632,0.7915789473684209,0.9978947368421054,2
24.32,What,CTT,0.5789473684210527,,,1
24.37,What,CTT,0.631578947368421,,,1
24.49,What,CTT,0.2105263157894736,,,1
24.51,What,CTT,0.8421052631578947,,,1
24.57,What,CTT,0.8421052631578947,,,1
24.65,What,CTT,0.5263157894736842,,,1
24.66,What,CTT,0.6842105263157895,,,1
24.73,What,CTT,0.5789473684210527,,,1
24.77,What,CTT,0.7368421052631579,,,1
24.78,What,CTT,0.7894736842105263,,,1
24.87,What,CTT,0.8947368421052632,,,1
24.96,What,CTT,0.5263157894736842,,,1
25.15,What,CTT,0.8421052631578947,,,1
25.6,What,CTT,0.6842105263157895,,,1
25.62,What,CTT,0.7894736842105263,,,1
25.63,What,CTT,0.5789473684210527,,,1
25.66,What,CTT,0.9473684210526316,,,1
25.77,What,CTT,0.7368421052631579,,,1
26.08,What,CTT,0.7368421052631579,,,1
26.11,What,CTT,0.5789473684210527,,,1
26.17,What,CTT,0.7368421052631579,,,1
26.22,What,CTT,0.4736842105263157,,,1
26.26,What,CTT,0.7368421052631579,,,1
26.48,What,CTT,0.6842105263157895,,,1
26.85,What,CTT,0.5789473684210527,,,1
27.12,What,CTT,0.8421052631578947,,,1
27.25,What,CTT,0.4736842105263157,,,1
27.26,What,CTT,0.6842105263157895,,,1
27.3,What,CTT,0.6842105263157895,,,1
27.61,What,CTT,0.4736842105263157,,,1
27.97,What,CTT,0.8947368421052632,,,1
28.26,What,CTT,0.7894736842105263,,,1
28.43,What,CTT,0.6842105263157895,,,1
28.65,What,CTT,0.8947368421052632,,,1
28.68,What,CTT,0.7368421052631579,,,1
28.69,What,CTT,0.5263157894736842,,,1
28.75,What,CTT,0.8421052631578947,,,1
28.93,What,CTT,0.7894736842105263,,,1
29.03,What,CTT,0.8421052631578947,,,1
29.12,What,CTT,0.4736842105263157,,,1
29.13,What,CTT,0.8947368421052632,,,1
29.16,What,CTT,0.7368421052631579,,,1
29.33,What,CTT,0.5263157894736842,,,1
29.57,What,CTT,0.7368421052631579,,,1
29.71,What,CTT,0.631578947368421,,,1
29.91,What,CTT,0.5263157894736842,,,1
30.21,What,CTT,0.8947368421052632,,,1
30.4,What,CTT,0.8947368421052632,,,1
30.49,What,CTT,0.7368421052631579,,,1
30.92,What,CTT,0.8421052631578947,,,1
31.07,What,CTT,0.8421052631578947,,,1
31.14,What,CTT,1.0,,,1
