item_name,factor,a,b
TQ_ICR-D-i1,where,0.4410852193832397,1.0149093866348269
TQ_ICR-D-i2,where,0.59486323595047,1.5401525497436523
TQ_ICR-D-i3,where,0.6634202003479004,0.795423686504364
TQ_ICR-D-i4,where,0.7230761647224426,1.3811159133911133
TQ_ICR-D-i5,where,0.4377232491970062,2.881035327911377
TQ_ICR-D-i6,where,0.9916571974754332,1.0696836709976196
TQ_ICR-N-i1,what,1.6851476430892944,-1.7355811595916748
TQ_ICR-N-i2,what,0.621972918510437,-2.592111587524414
TQ_ICR-N-i4,what,1.2771204710006714,-2.258845090866089
TQ_ICR-N-i5,what,1.1770386695861816,-2.030174970626831
TQ_ICR-N-i6,what,1.0715776681900024,-2.2142348289489746
TQ_ICR-U-i1,where,1.3600260019302368,-0.2858442664146423
TQ_ICR-U-i2,where,0.8995647430419922,-0.99423485994339
TQ_ICR-U-i3,where,1.1655917167663574,-0.6763352155685425
TQ_ICR-U-i4,where,0.7945204377174377,-0.7152175903320312
TQ_ICR-U-i5,where,1.4402499198913574,-0.1121026873588562
TQ_ICR-U-i6,where,0.9983684420585632,-0.5299938917160034
TQ_IFR-D-i2,where,0.4533372521400451,2.0162160396575928
TQ_IFR-D-i3,where,0.4883540272712707,1.2003649473190308
TQ_IFR-N-i1,what,0.9707146286964417,-0.3992297351360321
TQ_IFR-N-i2,what,0.6270307898521423,-0.1715602427721023
TQ_IFR-N-i3,what,0.5729781985282898,-0.6224671602249146
TQ_IFR-N-i4,what,0.5313270688056946,-0.7474275827407837
TQ_IFR-N-i5,what,0.8959653377532959,0.6136398911476135
TQ_IFR-N-i6,what,0.8454795479774475,0.5127649307250977
TQ_IFR-U-i1,where,1.0241628885269165,-0.0381657481193542
TQ_IFR-U-i2,where,0.7058176398277283,-0.2362088710069656
TQ_IFR-U-i3,where,0.657554566860199,-0.1325503587722778
TQ_IFR-U-i4,where,0.508973240852356,-0.1433775126934051
TQ_IFR-U-i5,where,0.7613147497177124,0.3734330832958221
TQ_IFR-U-i6,where,0.5290234088897705,0.3459624946117401
TQ_IRE-D-i1,where,0.5298860669136047,0.9659590125083924
TQ_IRE-D-i2,where,0.4879082441329956,1.486477613449097
TQ_IRE-D-i3,where,0.7387085556983948,0.4756085276603699
TQ_IRE-D-i4,where,0.6792271137237549,1.4929869174957275
TQ_IRE-D-i6,where,0.9207006692886353,0.9938948750495912
TQ_IRE-N-i1,what,1.7810001373291016,-2.4106781482696533
TQ_IRE-U-i1,where,1.104150652885437,-0.5078868865966797
TQ_IRE-U-i2,where,0.7398544549942017,-1.651058793067932
TQ_IRE-U-i3,where,1.283444046974182,-0.6719651222229004
TQ_IRE-U-i4,where,0.8330389261245728,-0.6899970173835754
TQ_IRE-U-i5,where,1.2286173105239868,-0.2912552058696747
TQ_IRE-U-i6,where,0.7585251331329346,-0.918160915374756
TQ_RFR-L-DOOR,where,0.5252364873886108,0.3891095817089081
TQ_RFR-L-LAND,where,0.4683446288108825,-0.1543604880571365
TQ_RFR-L-OBJ1,where,1.007407784461975,-2.237998008728028
TQ_RFR-L-OBJ2,where,1.0644720792770386,-2.015127182006836
TQ_RFR-L-OBJ3,where,1.092634201049805,-1.5643151998519895
TQ_RFR-L-OBJ4,where,0.8439529538154602,-2.059244632720948
TQ_RFR-L-PORT,where,0.938629388809204,-1.170965313911438
TQ_RFR-L-STRA,where,1.1436158418655396,-0.8559362292289734
TQ_RFR-L-WIND,where,0.4170152544975281,1.5766938924789429
TQ_RFR-N-LAND,what,0.7945575714111328,-0.2002448141574859
TQ_RFR-N-OBJ3,what,0.9155421853065492,-2.27571702003479
TQ_RFR-N-OBJ4,what,1.0630508661270142,-2.593165397644043
TQ_RFR-N-PORT,what,1.430207133293152,-0.8830824494361877
TQ_RFR-N-STRA,what,0.7488033175468445,-1.4263137578964231
TQ_RRE-L-DOOR,where,0.4550256133079529,1.7397180795669556
TQ_RRE-L-LAND,where,0.8806183338165283,0.7480684518814087
TQ_RRE-L-PORT,where,1.1957601308822632,-0.517225980758667
TQ_RRE-L-STRA,where,1.8163504600524905,-1.7056556940078735
TQ_RRE-L-WIND,where,0.693697988986969,1.707593560218811
TQ_RRE-N-LAND,what,0.9947942495346068,-0.7626301646232605
TQ_RRE-N-PORT,what,1.8654183149337769,-1.1463418006896973
