UID,cluster
A010,3
A011,1
A012,0
A013,0
A014,3
A015,3
A016,1
A017,0
A018,0
A019,2
A020,1
A021,0
A022,0
A023,0
A024,0
A025,1
A026,0
A027,1
A028,1
A029,0
A030,0
A031,1
A032,0
A033,0
A034,3
A035,0
A036,1
A037,3
A038,3
A039,3
A040,2
A041,0
A042,2
A043,3
A044,1
A045,2
A046,2
A047,2
A048,0
A049,3
A050,2
A051,1
A052,0
A053,3
A054,0
A055,0
A056,1
A057,1
A058,1
A059,0
A060,0
A061,3
A062,1
A063,3
A064,0
A065,2
A066,1
A067,1
A068,3
A069,2
A070,1
A071,3
A072,1
A073,0
A074,1
A075,1
A076,2
A077,0
A078,1
A079,1
A080,0
A081,0
A082,0
A083,3
A084,0
A085,0
A086,1
A087,3
A088,3
A089,3
A090,1
A091,1
A092,2
A093,0
A094,2
A095,1
A096,2
A097,0
A098,0
A099,3
A100,0
A101,2
A102,0
A103,1
A104,1
A105,0
A106,0
A107,2
A108,2
A109,2
