cluster,variable,mean,SD,min,max
0,Total_Intercept_What,0.28388878320779265,0.2601994739291764,-0.1715754426914578,0.8531984470083666
0,Total_Intercept_Where,0.2562043225165826,0.2703787261025819,-0.1688358076352048,0.9154862735004644
0,Total_Slope_What,-0.03637405255911473,0.022907557988056923,-0.0956149055186474,0.007461455010155
0,Total_Slope_Where,-0.027943450238192273,0.02431269315103749,-0.0862149950246541,0.0187607231334495
1,Total_Intercept_What,-0.2074403914603645,0.2632870404231019,-0.703029991233693,0.2728451895396074
1,Total_Intercept_Where,-0.20236474175942434,0.29370400831232446,-0.7450370223733827,0.3577512190887721
1,Total_Slope_What,0.03694221809110763,0.02363013706768104,7.716154630967855e-05,0.0857449898069281
1,Total_Slope_Where,0.039191032916878456,0.024258896020442167,0.0042798207533134,0.0912461048757424
2,Total_Intercept_What,-0.8147567921099371,0.257675657691908,-1.5124648342407363,-0.4345383222026909
2,Total_Intercept_Where,-0.8499686551356503,0.23703265499696755,-1.459283349622014,-0.5444987111921051
2,Total_Slope_What,0.011481152434557898,0.023570571450398443,-0.036160293843014,0.0616535296166632
2,Total_Slope_Where,-0.03911025939412753,0.023712976312009915,-0.0750898305227766,0.0038231730514277
3,Total_Intercept_What,0.4968000121725572,0.2954762168731348,0.0639373564265203,1.185510136622848
3,Total_Intercept_Where,0.57328022610384,0.30792798959664347,0.1999216689198365,1.239269953932715
3,Total_Slope_What,0.004205483904717574,0.02434435091399662,-0.0431537798236895,0.0583080737611596
3,Total_Slope_Where,0.030183668242236446,0.02385628182847708,-0.0134494944137419,0.0905860281379406
