composite_ID,domain_name,theta
A010_T1,free_recall,1.9767408
A010_T2,free_recall,0.15366071
A010_T3,free_recall,-0.5442995
A010_T4,free_recall,0.8321024
A011_T1,free_recall,0.95877516
A011_T2,free_recall,0.6660929
A011_T3,free_recall,0.5243093
A011_T4,free_recall,-0.63279873
A012_T1,free_recall,1.1802902
A012_T2,free_recall,-0.7309417
A012_T3,free_recall,1.0497755
A012_T4,free_recall,-0.7371258
A013_T1,free_recall,-0.7343857
A013_T2,free_recall,-0.33968145
A013_T3,free_recall,0.9951472
A013_T4,free_recall,-1.1913888
A014_T1,free_recall,0.39455584
A014_T2,free_recall,1.3698292
A014_T3,free_recall,0.068584904
A014_T4,free_recall,-0.48025984
A015_T1,free_recall,1.401952
A015_T2,free_recall,1.6444073
A015_T3,free_recall,1.4238417
A015_T4,free_recall,-0.12994798
A016_T1,free_recall,1.6009127
A016_T2,free_recall,0.9366953
A016_T3,free_recall,-0.41664648
A016_T4,free_recall,-1.0803086
A017_T1,free_recall,0.15145862
A017_T2,free_recall,1.3515913
A017_T3,free_recall,-0.12294823
A017_T4,free_recall,0.5259225
A018_T1,free_recall,0.7429415
A018_T2,free_recall,0.54758906
A018_T3,free_recall,-0.9429388
A018_T4,free_recall,-0.19050135
A019_T1,free_recall,-0.26050392
A019_T2,free_recall,-0.6605814
A019_T3,free_recall,-0.45810336
A019_T4,free_recall,-0.6272807
A020_T1,free_recall,-0.09760838
A020_T2,free_recall,-0.50248504
A020_T3,free_recall,-0.9570861
A020_T4,free_recall,-1.6237364
A021_T1,free_recall,1.4448879
A021_T2,free_recall,0.6000623
A021_T3,free_recall,0.4942789
A021_T4,free_recall,1.0760331
A022_T1,free_recall,0.6371636
A022_T2,free_recall,0.66498554
A022_T3,free_recall,0.6896408
A022_T4,free_recall,0.32955754
A023_T1,free_recall,0.5352604
A023_T2,free_recall,-0.40806884
A023_T3,free_recall,-0.32481092
A023_T4,free_recall,-0.18845984
A024_T1,free_recall,0.65717405
A024_T2,free_recall,0.3016767
A024_T3,free_recall,0.21542032
A024_T4,free_recall,-0.6383567
A025_T1,free_recall,0.9503585
A025_T2,free_recall,1.6283987
A025_T3,free_recall,-0.2569294
A025_T4,free_recall,-1.1964012
A026_T1,free_recall,0.4580995
A026_T2,free_recall,0.25791475
A026_T3,free_recall,0.749319
A026_T4,free_recall,-0.08372824
A027_T1,free_recall,0.16424946
A027_T2,free_recall,0.5801821
A027_T3,free_recall,-0.9006193
A027_T4,free_recall,-0.636913
A028_T1,free_recall,1.584966
A028_T2,free_recall,0.5087899
A028_T3,free_recall,-0.25282764
A028_T4,free_recall,-0.17484696
A029_T1,free_recall,1.8968046
A029_T2,free_recall,0.31157842
A029_T3,free_recall,1.2616203
A029_T4,free_recall,0.59750956
A030_T1,free_recall,-0.05886575
A030_T2,free_recall,0.8633035
A030_T3,free_recall,-0.16425355
A030_T4,free_recall,0.51052856
A031_T1,free_recall,1.8296661
A031_T2,free_recall,-0.1525583
A031_T3,free_recall,-0.31856257
A031_T4,free_recall,-1.1830986
A032_T1,free_recall,0.7780209
A032_T2,free_recall,-0.45683402
A032_T3,free_recall,0.6820423
A032_T4,free_recall,1.6377952
A033_T1,free_recall,-0.08822195
A033_T2,free_recall,-0.06900994
A033_T3,free_recall,0.8399663
A033_T4,free_recall,0.34631088
A034_T1,free_recall,1.7402407
A034_T2,free_recall,1.4892746
A034_T3,free_recall,0.35121837
A034_T4,free_recall,-0.3645764
A035_T1,free_recall,-0.7345602
A035_T2,free_recall,0.62768304
A035_T3,free_recall,-0.5407114
A035_T4,free_recall,-0.92660844
A036_T1,free_recall,1.1657131
A036_T2,free_recall,-0.2853919
A036_T3,free_recall,-0.8368467
A036_T4,free_recall,-0.74824834
A037_T1,free_recall,1.0238432
A037_T2,free_recall,0.9341941
A037_T3,free_recall,0.5934487
A037_T4,free_recall,-0.47046906
A038_T1,free_recall,1.19409
A038_T2,free_recall,-0.15451758
A038_T3,free_recall,0.9122362
A038_T4,free_recall,0.11507531
A039_T1,free_recall,2.3006294
A039_T2,free_recall,0.89986676
A039_T3,free_recall,1.0991431
A039_T4,free_recall,0.5334344
A040_T1,free_recall,-0.6934984
A040_T2,free_recall,-0.05019517
A040_T3,free_recall,-1.566178
A040_T4,free_recall,-0.6240817
A041_T1,free_recall,0.8614313
A041_T2,free_recall,-0.98015296
A041_T3,free_recall,0.5249848
A041_T4,free_recall,0.39715064
A042_T1,free_recall,-1.0936897
A042_T2,free_recall,-0.84349185
A042_T3,free_recall,-0.25295374
A042_T4,free_recall,-0.9707246
A043_T1,free_recall,0.767911
A043_T2,free_recall,0.15296622
A043_T3,free_recall,0.6016139
A043_T4,free_recall,-0.110268995
A044_T1,free_recall,-0.63902676
A044_T2,free_recall,0.045325615
A044_T3,free_recall,-1.3956872
A044_T4,free_recall,-1.2340245
A045_T1,free_recall,-0.63836867
A045_T2,free_recall,-0.24921879
A045_T3,free_recall,-0.4301483
A045_T4,free_recall,-1.6179222
A046_T1,free_recall,-0.7539482
A046_T2,free_recall,-1.2904867
A046_T3,free_recall,-1.6578825
A046_T4,free_recall,-1.149761
A047_T1,free_recall,-0.47014952
A047_T2,free_recall,-0.27372608
A047_T3,free_recall,-1.184621
A047_T4,free_recall,-1.163171
A048_T1,free_recall,1.3704073
A048_T2,free_recall,-0.3513901
A048_T3,free_recall,0.038906567
A048_T4,free_recall,0.4052574
A049_T1,free_recall,2.1696613
A049_T2,free_recall,-0.44154745
A049_T3,free_recall,0.26346177
A049_T4,free_recall,0.21874297
A050_T1,free_recall,-0.004478748
A050_T2,free_recall,-0.0054457276
A050_T3,free_recall,-0.69419116
A050_T4,free_recall,-0.5734446
A051_T1,free_recall,1.0857275
A051_T2,free_recall,-0.26707354
A051_T3,free_recall,-0.4726874
A051_T4,free_recall,-0.07666778
A052_T1,free_recall,0.5878833
A052_T2,free_recall,0.27326617
A052_T3,free_recall,0.15762225
A052_T4,free_recall,-0.78184354
A053_T1,free_recall,1.4418421
A053_T2,free_recall,0.14371547
A053_T3,free_recall,-0.8504812
A053_T4,free_recall,-0.10516554
A054_T1,free_recall,0.087379895
A054_T2,free_recall,0.85574454
A054_T3,free_recall,1.0092632
A054_T4,free_recall,1.2309998
A055_T1,free_recall,-0.49627057
A055_T2,free_recall,0.16561589
A055_T3,free_recall,-0.888289
A055_T4,free_recall,-0.98434675
A056_T1,free_recall,0.9262594
A056_T2,free_recall,-0.2022132
A056_T3,free_recall,-0.31646734
A056_T4,free_recall,-1.5742304
A057_T1,free_recall,-0.25277153
A057_T2,free_recall,-0.44246483
A057_T3,free_recall,-0.25148135
A057_T4,free_recall,-1.2191279
A058_T1,free_recall,0.7829209
A058_T2,free_recall,-0.9144785
A058_T3,free_recall,0.2364389
A058_T4,free_recall,-0.81722295
A059_T1,free_recall,1.3720814
A059_T2,free_recall,1.2899578
A059_T3,free_recall,1.3023822
A059_T4,free_recall,0.4905823
A060_T1,free_recall,0.1940079
A060_T2,free_recall,0.8749135
A060_T3,free_recall,-0.70758307
A060_T4,free_recall,0.26843515
A061_T1,free_recall,2.3013759
A061_T2,free_recall,1.0498215
A061_T3,free_recall,0.44617957
A061_T4,free_recall,-0.70748985
A062_T1,free_recall,1.5283438
A062_T2,free_recall,0.5564803
A062_T3,free_recall,-0.949767
A062_T4,free_recall,-1.5181701
A063_T1,free_recall,0.7254518
A063_T2,free_recall,0.37609524
A063_T3,free_recall,0.14264667
A063_T4,free_recall,-1.0090127
A064_T1,free_recall,1.1932083
A064_T2,free_recall,1.2678349
A064_T3,free_recall,0.0014200732
A064_T4,free_recall,-0.3969048
A065_T1,free_recall,-1.2392013
A065_T2,free_recall,-0.19391206
A065_T3,free_recall,-1.804981
A065_T4,free_recall,-1.8720329
A066_T1,free_recall,0.82045424
A066_T2,free_recall,-0.23146303
A066_T3,free_recall,-0.76753795
A066_T4,free_recall,-0.8348502
A067_T1,free_recall,0.03585717
A067_T2,free_recall,-1.0388877
A067_T3,free_recall,-1.5550005
A067_T4,free_recall,-1.193125
A068_T1,free_recall,1.2595313
A068_T2,free_recall,-0.6561511
A068_T3,free_recall,0.5135472
A068_T4,free_recall,-0.45502028
A069_T1,free_recall,-0.7754008
A069_T2,free_recall,-1.1739616
A069_T3,free_recall,-0.5079249
A069_T4,free_recall,-1.2463361
A070_T1,free_recall,-0.14427558
A070_T2,free_recall,-0.10456395
A070_T3,free_recall,-0.47291476
A070_T4,free_recall,-1.242385
A071_T1,free_recall,0.8077465
A071_T2,free_recall,0.686517
A071_T3,free_recall,-1.0085175
A071_T4,free_recall,0.2501791
A072_T1,free_recall,1.1213647
A072_T2,free_recall,0.94054735
A072_T3,free_recall,-0.49979377
A072_T4,free_recall,-0.14148071
A073_T1,free_recall,0.8686743
A073_T2,free_recall,-0.11846729
A073_T3,free_recall,0.8269308
A073_T4,free_recall,1.0227101
A074_T1,free_recall,1.1222663
A074_T2,free_recall,-0.113719344
A074_T3,free_recall,-0.04677141
A074_T4,free_recall,-0.8424395
A075_T1,free_recall,0.5200018
A075_T2,free_recall,0.06310584
A075_T3,free_recall,-1.160556
A075_T4,free_recall,-0.97502315
A076_T1,free_recall,-0.06793713
A076_T2,free_recall,-1.0145637
A076_T3,free_recall,-1.5983965
A076_T4,free_recall,-1.7522539
A077_T1,free_recall,1.1663048
A077_T2,free_recall,-0.33273596
A077_T3,free_recall,0.045179047
A077_T4,free_recall,0.41991615
A078_T1,free_recall,-1.0940198
A078_T2,free_recall,0.114222124
A078_T3,free_recall,-0.62221307
A078_T4,free_recall,-0.82551795
A079_T1,free_recall,0.18170933
A079_T2,free_recall,-0.17225191
A079_T3,free_recall,-0.6388623
A079_T4,free_recall,-1.224431
A080_T1,free_recall,-0.041813742
A080_T2,free_recall,0.48258162
A080_T3,free_recall,0.1467064
A080_T4,free_recall,-0.13845283
A081_T1,free_recall,-0.7773914
A081_T2,free_recall,-0.2564991
A081_T3,free_recall,0.9346741
A081_T4,free_recall,0.63389164
A082_T1,free_recall,0.19347611
A082_T2,free_recall,1.1978452
A082_T3,free_recall,0.38680416
A082_T4,free_recall,-0.7523911
A083_T1,free_recall,1.9825239
A083_T2,free_recall,0.4604501
A083_T3,free_recall,-0.31485957
A083_T4,free_recall,0.5457495
A084_T1,free_recall,0.40619937
A084_T2,free_recall,-0.7927663
A084_T3,free_recall,-0.07710374
A084_T4,free_recall,-0.29457316
A085_T1,free_recall,0.0022951916
A085_T2,free_recall,1.2216097
A085_T3,free_recall,0.17563926
A085_T4,free_recall,-1.373441
A086_T1,free_recall,0.14631593
A086_T2,free_recall,-0.3010053
A086_T3,free_recall,-1.2090672
A086_T4,free_recall,-1.0335054
A087_T1,free_recall,1.0372013
A087_T2,free_recall,0.93870986
A087_T3,free_recall,0.6023506
A087_T4,free_recall,0.7130728
A088_T1,free_recall,1.5735263
A088_T2,free_recall,1.8371296
A088_T3,free_recall,1.272616
A088_T4,free_recall,1.7973573
A089_T1,free_recall,1.3215472
A089_T2,free_recall,1.2467048
A089_T3,free_recall,0.18391351
A089_T4,free_recall,-0.44705528
A090_T1,free_recall,0.90139276
A090_T2,free_recall,-0.5070462
