item,domain,Discrimination,Difficulty_1
TQ_ICR-D-i1,cued_recall,0.4817775,0.9466957449913025
TQ_ICR-D-i2,cued_recall,0.57498443,1.5960298776626587
TQ_ICR-D-i3,cued_recall,0.57660836,0.9068383574485779
TQ_ICR-D-i4,cued_recall,0.5815471,1.6690839529037476
TQ_ICR-D-i5,cued_recall,0.45029512,2.818011522293091
TQ_ICR-D-i6,cued_recall,0.93059754,1.130353569984436
TQ_ICR-N-i1,cued_recall,1.4691935,-1.847718358039856
TQ_ICR-N-i2,cued_recall,0.53977644,-2.925903558731079
TQ_ICR-N-i4,cued_recall,1.1403092,-2.4156346321105957
TQ_ICR-N-i5,cued_recall,1.329768,-1.8629724979400635
TQ_ICR-N-i6,cued_recall,1.0580133,-2.2181031703948975
TQ_ICR-O-i1,cued_recall,0.45013142,2.9171245098114014
TQ_ICR-O-i2,cued_recall,0.5743282,3.3434619903564453
TQ_ICR-U-i1,cued_recall,1.6513153,-0.2534979283809662
TQ_ICR-U-i2,cued_recall,1.0338222,-0.8912675380706787
TQ_ICR-U-i3,cued_recall,1.1645831,-0.6675108671188354
TQ_ICR-U-i4,cued_recall,0.67614836,-0.8041648268699646
TQ_ICR-U-i5,cued_recall,1.8918327,-0.0956953838467598
TQ_ICR-U-i6,cued_recall,0.97830343,-0.5283944010734558
TQ_IFR-D-i2,free_recall,0.46201178,1.9899533987045288
TQ_IFR-D-i3,free_recall,0.44180325,1.3234915733337402
TQ_IFR-N-i1,free_recall,1.1335611,-0.3545286953449249
TQ_IFR-N-i2,free_recall,0.7094489,-0.14785821735858917
TQ_IFR-N-i3,free_recall,0.699752,-0.5190271139144897
TQ_IFR-N-i5,free_recall,1.2035018,0.5061348080635071
TQ_IFR-N-i6,free_recall,0.8570737,0.5146506428718567
TQ_IFR-U-i1,free_recall,1.2204982,-0.028512101620435715
TQ_IFR-U-i2,free_recall,0.7889297,-0.20859113335609436
TQ_IFR-U-i3,free_recall,0.8179365,-0.10439082235097885
TQ_IFR-U-i5,free_recall,0.96090096,0.31942012906074524
TQ_IFR-U-i6,free_recall,0.52480686,0.3569062054157257
TQ_IRE-D-i1,recognition,0.54602003,0.9508640766143799
TQ_IRE-D-i2,recognition,0.4586049,1.5818769931793213
TQ_IRE-D-i3,recognition,0.72188234,0.4939380884170532
TQ_IRE-D-i4,recognition,0.549794,1.799638032913208
TQ_IRE-D-i5,recognition,0.35340148,2.0124781131744385
TQ_IRE-D-i6,recognition,0.91812843,1.0065518617630005
TQ_IRE-N-i1,recognition,1.3027008,-2.7610111236572266
TQ_IRE-O-i1,recognition,0.41847205,2.7758965492248535
TQ_IRE-U-i1,recognition,1.3716326,-0.43898338079452515
TQ_IRE-U-i2,recognition,0.8469871,-1.4726001024246216
TQ_IRE-U-i3,recognition,1.4377663,-0.6216906309127808
TQ_IRE-U-i4,recognition,0.6862933,-0.7940309643745422
TQ_IRE-U-i5,recognition,1.5773053,-0.24929720163345337
TQ_IRE-U-i6,recognition,0.827694,-0.8475557565689087
