model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Log,2375.796752960563,2416.5173676467716,-1179.8983764802815,7,True,0.0,0.40147960352339246,0.40147960352339246
SquareRoot,2376.4784909396494,2417.199105625858,-1180.2392454698247,7,True,0.6817379790863924,0.2855130512936303,0.6869926548170228
PowerLaw_Alpha03,2378.213513418679,2418.934128104888,-1181.1067567093396,7,True,2.416760458116187,0.11991420183489716,0.80690685665192
CubeRoot,2379.293920253249,2420.0145349394575,-1181.6469601266244,7,True,3.4971672926858446,0.0698655782423115,0.8767724348942315
PowerLaw_Combined,2381.5117067816973,2437.5025519752344,-1179.7558533908486,10,True,5.714953821134259,0.023050323886992408,0.899822758781224
Recip+Log,2381.5164922306667,2437.507337424204,-1179.7582461153333,10,True,5.719739270103673,0.022995236743108303,0.9228179955243323
Lin+Log,2381.5979973101585,2437.5888425036956,-1179.7989986550792,10,True,5.801244349595436,0.022076960570451238,0.9448949560947836
Exp+Log,2381.5979973101585,2437.5888425036956,-1179.7989986550792,10,True,5.801244349595436,0.022076960570451238,0.9669719166652349
SquareRoot+Log,2381.767067549881,2437.7579127434183,-1179.8835337749406,10,True,5.97031458931815,0.020287388498333832,0.9872593051635686
PowerLaw_Alpha05,2383.8841086715547,2424.6047233577633,-1183.9420543357774,7,True,8.087355710991687,0.0070390898272628035,0.9942983949908314
PowerLaw_LogLog,2385.160153016397,2425.8807677026057,-1184.5800765081985,7,True,9.363400055834063,0.0037190070235148505,0.9980174020143462
Quad+Log,2387.366729029498,2458.627804730363,-1179.683364514749,13,True,11.56997606893492,0.0012338861952258284,0.999251288209572
Quadratic,2388.693870609446,2444.684715802983,-1183.346935304723,10,True,12.897117648883068,0.0006354625671774506,0.9998867507767495
PowerLaw_Alpha07,2392.1441755857395,2432.864790271948,-1188.0720877928698,7,True,16.347422625176478,0.00011320504113830137,0.9999999558178878
Reciprocal,2407.8457446153043,2448.566359301513,-1195.9228723076521,7,True,32.04899165474126,4.4087286900892545e-08,0.9999999999051747
Linear,2421.5158163116757,2462.2364309978843,-1202.7579081558379,7,True,45.71906335111271,4.74127363890031e-11,0.9999999999525875
Exponential,2421.5158163116757,2462.2364309978843,-1202.7579081558379,7,True,45.71906335111271,4.74127363890031e-11,1.0000000000000002
