composite_ID,UID,test,paradigm,theta,Age
A010_1,A010,1,IFR,2.2559497,22.0
A010_2,A010,2,IFR,0.063646406,22.0
A010_3,A010,3,IFR,-0.63363457,22.0
A010_4,A010,4,IFR,0.530237,22.0
A011_1,A011,1,IFR,1.0253187,21.0
A011_2,A011,2,IFR,0.29738232,21.0
A011_3,A011,3,IFR,0.05539917,21.0
A011_4,A011,4,IFR,-0.5692055,21.0
A012_1,A012,1,IFR,1.1145911,21.0
A012_2,A012,2,IFR,-0.40524608,21.0
A012_3,A012,3,IFR,0.7902062,21.0
A012_4,A012,4,IFR,-0.7995365,21.0
A013_1,A013,1,IFR,-0.5856965,22.0
A013_2,A013,2,IFR,-0.4070654,22.0
A013_3,A013,3,IFR,0.7922385,22.0
A013_4,A013,4,IFR,-1.0692434,22.0
A014_1,A014,1,IFR,0.18263546,22.0
A014_2,A014,2,IFR,1.2276359,22.0
A014_3,A014,3,IFR,0.35754204,22.0
A014_4,A014,4,IFR,-0.58439595,22.0
A015_1,A015,1,IFR,1.5247837,23.0
A015_2,A015,2,IFR,1.7857077,23.0
A015_3,A015,3,IFR,1.7846233,23.0
A015_4,A015,4,IFR,-0.09274579,23.0
A016_1,A016,1,IFR,1.8982425,21.0
A016_2,A016,2,IFR,1.1705568,21.0
A016_3,A016,3,IFR,-0.06720384,21.0
A016_4,A016,4,IFR,-0.7857009,21.0
A017_1,A017,1,IFR,-0.07584843,24.0
A017_2,A017,2,IFR,1.0087,24.0
A017_3,A017,3,IFR,0.22324428,24.0
A017_4,A017,4,IFR,1.0260882,24.0
A018_1,A018,1,IFR,0.8998065,23.0
A018_2,A018,2,IFR,0.46910602,23.0
A018_3,A018,3,IFR,-0.8570981,23.0
A018_4,A018,4,IFR,0.042763263,23.0
A019_1,A019,1,IFR,-0.457872,20.0
A019_2,A019,2,IFR,-0.7839532,20.0
A019_3,A019,3,IFR,-0.731604,20.0
A019_4,A019,4,IFR,-0.75950915,20.0
A020_1,A020,1,IFR,0.072841056,26.0
A020_2,A020,2,IFR,-0.20886408,26.0
A020_3,A020,3,IFR,-0.7968719,26.0
A020_4,A020,4,IFR,-2.0479772,26.0
A021_1,A021,1,IFR,1.2711351,28.0
A021_2,A021,2,IFR,0.36641207,28.0
A021_3,A021,3,IFR,0.2283193,28.0
A021_4,A021,4,IFR,1.0181938,28.0
A022_1,A022,1,IFR,0.16907588,28.0
A022_2,A022,2,IFR,0.4875518,28.0
A022_3,A022,3,IFR,0.77547616,28.0
A022_4,A022,4,IFR,0.44959623,28.0
A023_1,A023,1,IFR,0.5031585,26.0
A023_2,A023,2,IFR,-0.1653372,26.0
A023_3,A023,3,IFR,0.068792194,26.0
A023_4,A023,4,IFR,0.025527501,26.0
A024_1,A024,1,IFR,0.4014854,29.0
A024_2,A024,2,IFR,0.27175164,29.0
A024_3,A024,3,IFR,0.0076772394,29.0
A024_4,A024,4,IFR,-0.91121835,29.0
A025_1,A025,1,IFR,1.2585467,26.0
A025_2,A025,2,IFR,1.9095496,26.0
A025_3,A025,3,IFR,-0.28530517,26.0
A025_4,A025,4,IFR,-0.96083295,26.0
A026_1,A026,1,IFR,0.5969401,29.0
A026_2,A026,2,IFR,0.3370544,29.0
A026_3,A026,3,IFR,0.7356694,29.0
A026_4,A026,4,IFR,-0.094755605,29.0
A027_1,A027,1,IFR,0.16043636,28.0
A027_2,A027,2,IFR,0.46374553,28.0
A027_3,A027,3,IFR,-0.9193564,28.0
A027_4,A027,4,IFR,-0.42966694,28.0
A028_1,A028,1,IFR,1.7501152,26.0
A028_2,A028,2,IFR,0.095417134,26.0
A028_3,A028,3,IFR,0.1234633,26.0
A028_4,A028,4,IFR,-0.8479047,26.0
A029_1,A029,1,IFR,2.242445,25.0
A029_2,A029,2,IFR,0.29875055,25.0
A029_3,A029,3,IFR,1.3977594,25.0
A029_4,A029,4,IFR,0.5618795,25.0
A030_1,A030,1,IFR,0.12693016,31.0
A030_2,A030,2,IFR,0.890774,31.0
A030_3,A030,3,IFR,0.30001456,31.0
A030_4,A030,4,IFR,0.70453537,31.0
A031_1,A031,1,IFR,1.83632,32.0
A031_2,A031,2,IFR,-0.20975925,32.0
A031_3,A031,3,IFR,-0.34666744,32.0
A031_4,A031,4,IFR,-0.9627389,32.0
A032_1,A032,1,IFR,0.71397096,33.0
A032_2,A032,2,IFR,-0.325758,33.0
A032_3,A032,3,IFR,0.41406077,33.0
