composite_ID,UID,test,paradigm,theta,Age,Age_c,TSVR_hours,log_TSVR
A010_1,A010,1,IFR,2.2559497,22.0,-22.57,1.0,0.6931471805599453
A010_2,A010,2,IFR,0.063646406,22.0,-22.57,21.9,3.131136910560194
A010_3,A010,3,IFR,-0.63363457,22.0,-22.57,80.88,4.405254760793088
A010_4,A010,4,IFR,0.530237,22.0,-22.57,145.31,4.985727658390071
A011_1,A011,1,IFR,1.0253187,21.0,-23.57,1.0,0.6931471805599453
A011_2,A011,2,IFR,0.29738232,21.0,-23.57,24.57,3.2414197893030954
A011_3,A011,3,IFR,0.05539917,21.0,-23.57,72.55,4.297965447047447
A011_4,A011,4,IFR,-0.5692055,21.0,-23.57,148.85,5.009634793762673
A012_1,A012,1,IFR,1.1145911,21.0,-23.57,1.0,0.6931471805599453
A012_2,A012,2,IFR,-0.40524608,21.0,-23.57,25.6,3.2809112157876537
A012_3,A012,3,IFR,0.7902062,21.0,-23.57,166.33,5.119967910506483
A012_4,A012,4,IFR,-0.7995365,21.0,-23.57,166.87,5.123189870334323
A013_1,A013,1,IFR,-0.5856965,22.0,-22.57,1.0,0.6931471805599453
A013_2,A013,2,IFR,-0.4070654,22.0,-22.57,24.77,3.2492110246642736
A013_3,A013,3,IFR,0.7922385,22.0,-22.57,79.66,4.390242789445222
A013_4,A013,4,IFR,-1.0692434,22.0,-22.57,147.13,4.998090266593961
A014_1,A014,1,IFR,0.18263546,22.0,-22.57,1.0,0.6931471805599453
A014_2,A014,2,IFR,1.2276359,22.0,-22.57,25.66,3.2831643147505627
A014_3,A014,3,IFR,0.35754204,22.0,-22.57,70.56,4.270536258640519
A014_4,A014,4,IFR,-0.58439595,22.0,-22.57,148.87,5.009768251656904
A015_1,A015,1,IFR,1.5247837,23.0,-21.57,1.0,0.6931471805599453
A015_2,A015,2,IFR,1.7857077,23.0,-21.57,23.69,3.206398303357088
A015_3,A015,3,IFR,1.7846233,23.0,-21.57,70.59,4.270955399408094
A015_4,A015,4,IFR,-0.09274579,23.0,-21.57,146.54,4.9940993254561565
A016_1,A016,1,IFR,1.8982425,21.0,-23.57,1.0,0.6931471805599453
A016_2,A016,2,IFR,1.1705568,21.0,-23.57,32.85,3.521938999358284
A016_3,A016,3,IFR,-0.06720384,21.0,-23.57,80.64,4.402319337941644
A016_4,A016,4,IFR,-0.7857009,21.0,-23.57,150.8,5.02256386496153
A017_1,A017,1,IFR,-0.07584843,24.0,-20.57,1.0,0.6931471805599453
A017_2,A017,2,IFR,1.0087,24.0,-20.57,20.61,3.0731561705187946
A017_3,A017,3,IFR,0.22324428,24.0,-20.57,61.28,4.131640346965797
A017_4,A017,4,IFR,1.0260882,24.0,-20.57,140.49,4.952229043207861
A018_1,A018,1,IFR,0.8998065,23.0,-21.57,1.0,0.6931471805599453
A018_2,A018,2,IFR,0.46910602,23.0,-21.57,34.03,3.5562048372093953
A018_3,A018,3,IFR,-0.8570981,23.0,-21.57,83.64,4.438406968109989
