term,coefficient,SE,z,p_value
Intercept,0.6525836414283266,0.1059886221463459,6.157110340836951,7.408422764143552e-10
"C(paradigm, Treatment('IFR'))[T.ICR]",0.08706045636228486,0.09021629219792274,0.9650192248123611,0.33453518269373816
"C(paradigm, Treatment('IFR'))[T.IRE]",0.0824381426916717,0.09021629219792303,0.9137833165523245,0.36083071453224225
TSVR_hours,-0.0025527590696758297,0.000843085411366219,-3.0278771702846647,0.0024627816751292553
"TSVR_hours:C(paradigm, Treatment('IFR'))[T.ICR]",-0.0007082950345457781,0.0011828266399465722,-0.5988155919262788,0.5492958636749816
"TSVR_hours:C(paradigm, Treatment('IFR'))[T.IRE]",-0.0009389718277093188,0.0011828266399465765,-0.7938372336217658,0.4272901936034055
log_TSVR,-0.13210152776043826,0.03446243409672097,-3.8332036381901258,0.00012648516186830605
"log_TSVR:C(paradigm, Treatment('IFR'))[T.ICR]",-0.006172360426896243,0.04163194351604655,-0.14826020371874252,0.882137421035285
"log_TSVR:C(paradigm, Treatment('IFR'))[T.IRE]",-0.009756565960698349,0.04163194351604672,-0.2343528823471274,0.8147110345697921
Age_c,-0.011514753559649682,0.007315079824584367,-1.5741118122800435,0.11546160219291313
"Age_c:C(paradigm, Treatment('IFR'))[T.ICR]",0.0017023669549317175,0.006239857868455447,0.272821431324221,0.7849904844748077
"Age_c:C(paradigm, Treatment('IFR'))[T.IRE]",-0.0019111524997980584,0.006239857868455449,-0.30628141539241915,0.7593903880936292
TSVR_hours:Age_c,-1.8543036169537677e-05,5.897161804342005e-05,-0.31444001003812844,0.7531868723645379
"TSVR_hours:Age_c:C(paradigm, Treatment('IFR'))[T.ICR]",3.0720457141611373e-05,8.276498110053084e-05,0.3711769969994512,0.7105057050223227
"TSVR_hours:Age_c:C(paradigm, Treatment('IFR'))[T.IRE]",-1.844043654898186e-05,8.276498110053084e-05,-0.22280481797709958,0.823687418058511
log_TSVR:Age_c,0.0015090442820610151,0.002392247618224046,0.630806054760041,0.5281673439833261
"log_TSVR:Age_c:C(paradigm, Treatment('IFR'))[T.ICR]",-0.001043838937506282,0.002897881426460299,-0.36020760821166836,0.7186918855425319
"log_TSVR:Age_c:C(paradigm, Treatment('IFR'))[T.IRE]",0.0007426880884920151,0.002897881426460299,0.2562865691158361,0.7977295673089306
