age_tertile,paradigm,test,theta_mean,theta_SE,N,TSVR_hours_mean
Young,ICR,1,0.9070466048484849,0.1513364510727747,33,1.0
Young,ICR,2,0.3823731549090909,0.11669426711682418,33,29.661515151515154
Young,ICR,3,0.1835887936363636,0.11503365800083121,33,80.56393939393939
Young,ICR,4,-0.2955617895757576,0.14883279219294604,33,150.8790909090909
Young,IFR,1,0.8518639483636363,0.1517537293403273,33,1.0
Young,IFR,2,0.3051671942424243,0.12524887483365654,33,29.661515151515154
Young,IFR,3,0.16245328476969698,0.1232605074210669,33,80.56393939393939
Young,IFR,4,-0.19915397712121213,0.1412468901779202,33,150.8790909090909
Young,IRE,1,0.937981663939394,0.1575954524241533,33,1.0
Young,IRE,2,0.31342353624242425,0.14042291094297132,33,29.661515151515154
Young,IRE,3,0.17174432678787876,0.11657782784338645,33,80.56393939393939
Young,IRE,4,-0.2550349843030303,0.15487308258299562,33,150.8790909090909
Middle,ICR,1,0.46578373152941177,0.15795443091078154,34,1.0
Middle,ICR,2,0.0478957357735294,0.136780761933039,34,30.19794117647059
Middle,ICR,3,-0.3691365866470588,0.14333709709996792,34,78.21823529411765
Middle,ICR,4,-0.6107132183823529,0.13533379380902644,34,150.68088235294118
Middle,IFR,1,0.38580008285294115,0.1617884128147225,34,1.0
Middle,IFR,2,0.006410531617647058,0.12021298104767834,34,30.19794117647059
Middle,IFR,3,-0.36883016705882354,0.13521604687498276,34,78.21823529411765
Middle,IFR,4,-0.5621742685882353,0.14053833437792446,34,150.68088235294118
Middle,IRE,1,0.44286721500000004,0.16318844013732078,34,1.0
Middle,IRE,2,0.03517153815588235,0.13325668504856633,34,30.19794117647059
Middle,IRE,3,-0.41292536229411764,0.1477894146519622,34,78.21823529411765
Middle,IRE,4,-0.7195714022058823,0.1459282151678237,34,150.68088235294118
Older,ICR,1,0.5377466267878788,0.13117722489204806,33,1.0
Older,ICR,2,0.18829929103030302,0.1588274635730118,33,26.406363636363636
Older,ICR,3,-0.2174942633727273,0.14106357679195378,33,77.23575757575757
Older,ICR,4,-0.4465881833939394,0.150442706009847,33,152.58666666666664
Older,IFR,1,0.43080208636363637,0.13615886423389298,33,1.0
Older,IFR,2,0.1448251526060606,0.15943687051747663,33,26.406363636363636
Older,IFR,3,-0.22174071066666667,0.14611235773400996,33,77.23575757575757
Older,IFR,4,-0.40496548121212117,0.15319511056962481,33,152.58666666666664
Older,IRE,1,0.5005375130909091,0.14959201181827828,33,1.0
Older,IRE,2,0.19656807601515153,0.1590468751445347,33,26.406363636363636
Older,IRE,3,-0.3008881571212121,0.15046593328896504,33,77.23575757575757
Older,IRE,4,-0.5128542636969697,0.15748633332759956,33,152.58666666666664
