composite_ID,theta_IFR,theta_ICR,theta_IRE,se_IFR,se_ICR,se_IRE
A010_1,2.2559497,2.3076186,2.4384494,,,
A010_2,0.063646406,0.50561595,0.3100767,,,
A010_3,-0.63363457,-0.34386626,-0.5900594,,,
A010_4,0.530237,0.39210933,0.7578454,,,
A011_1,1.0253187,0.5639205,0.64898896,,,
A011_2,0.29738232,-0.21693763,0.4779798,,,
A011_3,0.05539917,-0.11885676,-0.18876392,,,
A011_4,-0.5692055,-0.40435803,-0.36833763,,,
A012_1,1.1145911,0.84081537,1.185163,,,
A012_2,-0.40524608,-0.011747679,-0.4810561,,,
A012_3,0.7902062,0.46904305,0.9331896,,,
A012_4,-0.7995365,-1.1657566,-1.2891253,,,
A013_1,-0.5856965,-0.06196794,-0.26959375,,,
A013_2,-0.4070654,-0.72638094,-0.26315907,,,
A013_3,0.7922385,1.0730467,0.5015512,,,
A013_4,-1.0692434,-1.4795078,-0.85894424,,,
A014_1,0.18263546,0.5662233,0.8939411,,,
A014_2,1.2276359,1.1082016,1.3020949,,,
A014_3,0.35754204,0.03844115,0.1523909,,,
A014_4,-0.58439595,-0.97037005,-0.9391108,,,
A015_1,1.5247837,1.659924,1.7311847,,,
A015_2,1.7857077,1.7755525,1.9454731,,,
A015_3,1.7846233,1.6194718,1.5540669,,,
A015_4,-0.09274579,-0.014565401,0.14790718,,,
A016_1,1.8982425,1.3016679,1.9085045,,,
A016_2,1.1705568,1.4167509,1.2414935,,,
A016_3,-0.06720384,-0.14719886,0.17359161,,,
A016_4,-0.7857009,-1.0612006,-1.2219204,,,
A017_1,-0.07584843,-0.64893633,0.07371173,,,
A017_2,1.0087,0.68695086,1.094934,,,
A017_3,0.22324428,0.23617989,0.34243777,,,
A017_4,1.0260882,1.1511014,0.8778206,,,
A018_1,0.8998065,1.2432209,0.89794534,,,
A018_2,0.46910602,0.6348993,0.11510111,,,
A018_3,-0.8570981,-0.3062067,-0.5672663,,,
A018_4,0.042763263,0.14981274,0.25552902,,,
A019_1,-0.457872,-0.40954873,-0.6919953,,,
A019_2,-0.7839532,-0.72419274,-0.8384044,,,
A019_3,-0.731604,-0.7890297,-0.5890452,,,
A019_4,-0.75950915,-0.43077806,-1.1340683,,,
A020_1,0.072841056,-0.19779886,0.06332161,,,
A020_2,-0.20886408,0.26416394,0.047483053,,,
A020_3,-0.7968719,-0.7218849,-0.51456475,,,
A020_4,-2.0479772,-2.0933332,-2.305471,,,
A021_1,1.2711351,1.0224657,1.3263483,,,
A021_2,0.36641207,0.23119716,0.07185613,,,
A021_3,0.2283193,-0.09928185,0.14021443,,,
A021_4,1.0181938,0.77135384,0.6826978,,,
A022_1,0.16907588,0.08487166,0.10991881,,,
A022_2,0.4875518,0.80793685,0.7072509,,,
A022_3,0.77547616,0.55696887,0.32368746,,,
A022_4,0.44959623,0.63891745,0.8941155,,,
A023_1,0.5031585,0.8567801,0.36951885,,,
A023_2,-0.1653372,0.26234666,0.015596133,,,
A023_3,0.068792194,0.40942284,0.22199889,,,
A023_4,0.025527501,0.22926755,-0.12707277,,,
A024_1,0.4014854,-0.18276915,0.42522484,,,
A024_2,0.27175164,0.632458,0.46180817,,,
A024_3,0.0076772394,-0.5480257,0.054807294,,,
A024_4,-0.91121835,-1.3661549,-1.3448688,,,
A025_1,1.2585467,1.6351862,1.0340793,,,
A025_2,1.9095496,1.7770549,1.6322045,,,
A025_3,-0.28530517,-0.15167001,-0.47655585,,,
A025_4,-0.96083295,-0.76431817,-0.8461859,,,
A026_1,0.5969401,1.1173441,0.6719598,,,
A026_2,0.3370544,0.28154746,-0.07465413,,,
A026_3,0.7356694,0.8135648,1.1318396,,,
A026_4,-0.094755605,-0.47460285,-0.4234665,,,
A027_1,0.16043636,0.56165755,0.76357627,,,
A027_2,0.46374553,0.6846959,0.4312134,,,
