composite_ID,UID,TEST,TSVR_hours,Days
A010_1,A010,T1,1.0,0
A010_2,A010,T2,21.9,1
A010_3,A010,T3,80.88,3
A010_4,A010,T4,145.31,6
A011_1,A011,T1,1.0,0
A011_2,A011,T2,24.57,1
A011_3,A011,T3,72.55,3
A011_4,A011,T4,148.85,6
A012_1,A012,T1,1.0,0
A012_2,A012,T2,25.6,1
A012_3,A012,T3,166.33,6
A012_4,A012,T4,166.87,6
A013_1,A013,T1,1.0,0
A013_2,A013,T2,24.77,1
A013_3,A013,T3,79.66,3
A013_4,A013,T4,147.13,6
A014_1,A014,T1,1.0,0
A014_2,A014,T2,25.66,1
A014_3,A014,T3,70.56,3
A014_4,A014,T4,148.87,6
A015_1,A015,T1,1.0,0
A015_2,A015,T2,23.69,1
A015_3,A015,T3,70.59,3
A015_4,A015,T4,146.54,6
A016_1,A016,T1,1.0,0
A016_2,A016,T2,32.85,1
A016_3,A016,T3,80.64,3
A016_4,A016,T4,150.8,6
A017_1,A017,T1,1.0,0
A017_2,A017,T2,20.61,1
A017_3,A017,T3,61.28,3
A017_4,A017,T4,140.49,6
A018_1,A018,T1,1.0,0
A018_2,A018,T2,34.03,1
A018_3,A018,T3,83.64,3
A018_4,A018,T4,150.87,6
A019_1,A019,T1,1.0,0
A019_2,A019,T2,28.69,1
A019_3,A019,T3,83.68,3
A019_4,A019,T4,154.76,6
A020_1,A020,T1,1.0,0
A020_2,A020,T2,26.85,1
A020_3,A020,T3,78.25,3
A020_4,A020,T4,145.78,6
A021_1,A021,T1,1.0,0
A021_2,A021,T2,30.21,1
A021_3,A021,T3,74.19,3
A021_4,A021,T4,140.39,6
A022_1,A022,T1,1.0,0
A022_2,A022,T2,24.15,1
A022_3,A022,T3,74.46,3
A022_4,A022,T4,141.71,6
A023_1,A023,T1,1.0,0
A023_2,A023,T2,25.63,1
A023_3,A023,T3,72.2,3
A023_4,A023,T4,145.07,6
A024_1,A024,T1,1.0,0
A024_2,A024,T2,29.57,1
A024_3,A024,T3,91.47,3
A024_4,A024,T4,145.65,6
A025_1,A025,T1,1.0,0
A025_2,A025,T2,23.33,1
A025_3,A025,T3,72.94,3
A025_4,A025,T4,137.74,6
A026_1,A026,T1,1.0,0
A026_2,A026,T2,26.48,1
A026_3,A026,T3,75.46,3
A026_4,A026,T4,147.65,6
A027_1,A027,T1,1.0,0
A027_2,A027,T2,28.26,1
A027_3,A027,T3,74.58,3
A027_4,A027,T4,145.92,6
A028_1,A028,T1,1.0,0
A028_2,A028,T2,22.82,1
A028_3,A028,T3,72.26,3
A028_4,A028,T4,138.91,6
A029_1,A029,T1,1.0,0
A029_2,A029,T2,28.43,1
A029_3,A029,T3,93.26,3
A029_4,A029,T4,143.14,6
A030_1,A030,T1,1.0,0
A030_2,A030,T2,32.95,1
A030_3,A030,T3,71.93,3
A030_4,A030,T4,150.46,6
A031_1,A031,T1,1.0,0
A031_2,A031,T2,32.41,1
A031_3,A031,T3,71.56,3
A031_4,A031,T4,143.85,6
A032_1,A032,T1,1.0,0
A032_2,A032,T2,57.18,3
A032_3,A032,T3,80.16,3
A032_4,A032,T4,144.51,6
A033_1,A033,T1,1.0,0
A033_2,A033,T2,29.16,1
A033_3,A033,T3,72.6,3
A033_4,A033,T4,168.33,6
A034_1,A034,T1,1.0,0
A034_2,A034,T2,26.08,1
A034_3,A034,T3,74.28,3
A034_4,A034,T4,145.38,6
A035_1,A035,T1,1.0,0
A035_2,A035,T2,44.76,1
A035_3,A035,T3,79.98,3
A035_4,A035,T4,152.47,6
A036_1,A036,T1,1.0,0
A036_2,A036,T2,21.63,1
A036_3,A036,T3,71.47,3
A036_4,A036,T4,143.85,6
A037_1,A037,T1,1.0,0
A037_2,A037,T2,23.7,1
A037_3,A037,T3,72.08,3
A037_4,A037,T4,143.66,6
A038_1,A038,T1,1.0,0
A038_2,A038,T2,71.85,3
A038_3,A038,T3,72.86,3
A038_4,A038,T4,152.89,6
A039_1,A039,T1,1.0,0
A039_2,A039,T2,28.65,1
A039_3,A039,T3,98.84,3
A039_4,A039,T4,246.24,6
A040_1,A040,T1,1.0,0
A040_2,A040,T2,26.26,1
A040_3,A040,T3,71.28,3
A040_4,A040,T4,143.53,6
A041_1,A041,T1,1.0,0
A041_2,A041,T2,31.78,1
A041_3,A041,T3,75.74,3
A041_4,A041,T4,141.84,6
A042_1,A042,T1,1.0,0
A042_2,A042,T2,28.93,1
A042_3,A042,T3,72.17,3
A042_4,A042,T4,146.02,6
A043_1,A043,T1,1.0,0
A043_2,A043,T2,25.62,1
A043_3,A043,T3,64.94,3
A043_4,A043,T4,149.33,6
A044_1,A044,T1,1.0,0
A044_2,A044,T2,47.66,1
A044_3,A044,T3,91.63,3
A044_4,A044,T4,155.27,6
A045_1,A045,T1,1.0,0
A045_2,A045,T2,24.66,1
A045_3,A045,T3,72.23,3
A045_4,A045,T4,151.52,6
A046_1,A046,T1,1.0,0
A046_2,A046,T2,24.32,1
A046_3,A046,T3,73.05,3
A046_4,A046,T4,147.94,6
A047_1,A047,T1,1.0,0
A047_2,A047,T2,23.46,1
A047_3,A047,T3,76.85,3
A047_4,A047,T4,144.22,6
A048_1,A048,T1,1.0,0
A048_2,A048,T2,23.91,1
A048_3,A048,T3,81.15,3
A048_4,A048,T4,146.3,6
A049_1,A049,T1,1.0,0
A049_2,A049,T2,27.12,1
A049_3,A049,T3,111.38,3
A049_4,A049,T4,168.86,6
A050_1,A050,T1,1.0,0
A050_2,A050,T2,24.73,1
A050_3,A050,T3,93.39,3
A050_4,A050,T4,148.69,6
A051_1,A051,T1,1.0,0
A051_2,A051,T2,17.16,1
A051_3,A051,T3,65.63,3
A051_4,A051,T4,146.99,6
A052_1,A052,T1,1.0,0
A052_2,A052,T2,31.76,1
A052_3,A052,T3,80.98,3
A052_4,A052,T4,153.27,6
A053_1,A053,T1,1.0,0
A053_2,A053,T2,32.71,1
A053_3,A053,T3,78.28,3
A053_4,A053,T4,148.9,6
A054_1,A054,T1,1.0,0
A054_2,A054,T2,16.9,1
A054_3,A054,T3,72.83,3
A054_4,A054,T4,136.83,6
A055_1,A055,T1,1.0,0
A055_2,A055,T2,23.24,1
A055_3,A055,T3,74.48,3
A055_4,A055,T4,149.21,6
A056_1,A056,T1,1.0,0
A056_2,A056,T2,33.61,1
A056_3,A056,T3,71.46,3
A056_4,A056,T4,147.84,6
A057_1,A057,T1,1.0,0
A057_2,A057,T2,24.78,1
A057_3,A057,T3,73.83,3
A057_4,A057,T4,145.06,6
A058_1,A058,T1,1.0,0
A058_2,A058,T2,22.96,1
A058_3,A058,T3,66.28,3
A058_4,A058,T4,143.48,6
A059_1,A059,T1,1.0,0
A059_2,A059,T2,30.4,1
A059_3,A059,T3,79.78,3
A059_4,A059,T4,151.93,6
A060_1,A060,T1,1.0,0
A060_2,A060,T2,24.87,1
A060_3,A060,T3,94.68,3
A060_4,A060,T4,143.91,6
A061_1,A061,T1,1.0,0
A061_2,A061,T2,35.16,1
A061_3,A061,T3,82.55,3
A061_4,A061,T4,146.56,6
A062_1,A062,T1,1.0,0
A062_2,A062,T2,44.69,1
A062_3,A062,T3,92.72,3
A062_4,A062,T4,149.18,6
A063_1,A063,T1,1.0,0
A063_2,A063,T2,21.98,1
A063_3,A063,T3,69.99,3
A063_4,A063,T4,141.09,6
A064_1,A064,T1,1.0,0
A064_2,A064,T2,37.65,1
A064_3,A064,T3,82.99,3
A064_4,A064,T4,156.21,6
A065_1,A065,T1,1.0,0
A065_2,A065,T2,32.31,1
A065_3,A065,T3,106.41,3
A065_4,A065,T4,187.43,6
A066_1,A066,T1,1.0,0
A066_2,A066,T2,23.35,1
A066_3,A066,T3,73.79,3
A066_4,A066,T4,164.93,6
A067_1,A067,T1,1.0,0
A067_2,A067,T2,29.91,1
A067_3,A067,T3,73.19,3
A067_4,A067,T4,144.19,6
A068_1,A068,T1,1.0,0
A068_2,A068,T2,30.49,1
A068_3,A068,T3,82.98,3
A068_4,A068,T4,155.59,6
A069_1,A069,T1,1.0,0
A069_2,A069,T2,24.96,1
A069_3,A069,T3,79.75,3
A069_4,A069,T4,140.22,6
A070_1,A070,T1,1.0,0
A070_2,A070,T2,24.25,1
A070_3,A070,T3,81.92,3
A070_4,A070,T4,149.2,6
A071_1,A071,T1,1.0,0
A071_2,A071,T2,30.92,1
A071_3,A071,T3,79.96,3
A071_4,A071,T4,153.27,6
A072_1,A072,T1,1.0,0
A072_2,A072,T2,33.76,1
A072_3,A072,T3,83.54,3
A072_4,A072,T4,154.89,6
A073_1,A073,T1,1.0,0
A073_2,A073,T2,66.66,3
A073_3,A073,T3,66.9,3
A073_4,A073,T4,140.12,6
A074_1,A074,T1,1.0,0
A074_2,A074,T2,29.33,1
A074_3,A074,T3,73.02,3
A074_4,A074,T4,147.21,6
A075_1,A075,T1,1.0,0
A075_2,A075,T2,28.68,1
A075_3,A075,T3,71.37,3
A075_4,A075,T4,244.53,6
A076_1,A076,T1,1.0,0
A076_2,A076,T2,27.3,1
A076_3,A076,T3,74.88,3
A076_4,A076,T4,149.28,6
A077_1,A077,T1,1.0,0
A077_2,A077,T2,53.88,3
A077_3,A077,T3,78.36,3
A077_4,A077,T4,149.75,6
A078_1,A078,T1,1.0,0
A078_2,A078,T2,26.17,1
A078_3,A078,T3,72.3,3
A078_4,A078,T4,140.08,6
A079_1,A079,T1,1.0,0
A079_2,A079,T2,26.11,1
A079_3,A079,T3,74.0,3
A079_4,A079,T4,194.42,6
A080_1,A080,T1,1.0,0
A080_2,A080,T2,29.03,1
A080_3,A080,T3,72.87,3
A080_4,A080,T4,145.77,6
A081_1,A081,T1,1.0,0
A081_2,A081,T2,31.39,1
A081_3,A081,T3,80.13,3
A081_4,A081,T4,154.53,6
A082_1,A082,T1,1.0,0
A082_2,A082,T2,27.97,1
A082_3,A082,T3,75.71,3
A082_4,A082,T4,170.25,6
A083_1,A083,T1,1.0,0
A083_2,A083,T2,25.15,1
A083_3,A083,T3,74.3,3
A083_4,A083,T4,144.91,6
A084_1,A084,T1,1.0,0
A084_2,A084,T2,27.25,1
A084_3,A084,T3,91.97,3
A084_4,A084,T4,162.51,6
A085_1,A085,T1,1.0,0
A085_2,A085,T2,24.51,1
A085_3,A085,T3,71.4,3
A085_4,A085,T4,170.65,6
A086_1,A086,T1,1.0,0
A086_2,A086,T2,23.47,1
A086_3,A086,T3,145.29,6
A086_4,A086,T4,169.55,6
A087_1,A087,T1,1.0,0
A087_2,A087,T2,31.07,1
A087_3,A087,T3,72.8,3
A087_4,A087,T4,144.2,6
A088_1,A088,T1,1.0,0
A088_2,A088,T2,24.25,1
A088_3,A088,T3,74.91,3
A088_4,A088,T4,149.93,6
A089_1,A089,T1,1.0,0
A089_2,A089,T2,32.14,1
A089_3,A089,T3,79.34,3
A089_4,A089,T4,146.96,6
A090_1,A090,T1,1.0,0
A090_2,A090,T2,23.54,1
A090_3,A090,T3,95.42,3
A090_4,A090,T4,144.07,6
A091_1,A091,T1,1.0,0
A091_2,A091,T2,22.2,1
A091_3,A091,T3,73.64,3
A091_4,A091,T4,142.61,6
A092_1,A092,T1,1.0,0
A092_2,A092,T2,22.83,1
A092_3,A092,T3,71.31,3
A092_4,A092,T4,146.16,6
A093_1,A093,T1,1.0,0
A093_2,A093,T2,22.09,1
A093_3,A093,T3,70.22,3
A093_4,A093,T4,140.95,6
A094_1,A094,T1,1.0,0
A094_2,A094,T2,22.98,1
A094_3,A094,T3,76.21,3
A094_4,A094,T4,149.99,6
A095_1,A095,T1,1.0,0
A095_2,A095,T2,29.71,1
A095_3,A095,T3,78.76,3
A095_4,A095,T4,148.79,6
A096_1,A096,T1,1.0,0
A096_2,A096,T2,24.49,1
A096_3,A096,T3,71.19,3
A096_4,A096,T4,143.66,6
A097_1,A097,T1,1.0,0
A097_2,A097,T2,24.37,1
A097_3,A097,T3,70.83,3
A097_4,A097,T4,144.85,6
A098_1,A098,T1,1.0,0
A098_2,A098,T2,25.77,1
A098_3,A098,T3,78.84,3
A098_4,A098,T4,146.29,6
A099_1,A099,T1,1.0,0
A099_2,A099,T2,28.75,1
A099_3,A099,T3,78.57,3
A099_4,A099,T4,143.51,6
A100_1,A100,T1,1.0,0
A100_2,A100,T2,31.14,1
A100_3,A100,T3,75.34,3
A100_4,A100,T4,146.8,6
A101_1,A101,T1,1.0,0
A101_2,A101,T2,29.12,1
A101_3,A101,T3,75.21,3
A101_4,A101,T4,150.22,6
A102_1,A102,T1,1.0,0
A102_2,A102,T2,29.13,1
A102_3,A102,T3,75.27,3
A102_4,A102,T4,150.41,6
A103_1,A103,T1,1.0,0
A103_2,A103,T2,27.26,1
A103_3,A103,T3,80.24,3
A103_4,A103,T4,149.72,6
A104_1,A104,T1,1.0,0
A104_2,A104,T2,22.6,1
A104_3,A104,T3,72.62,3
A104_4,A104,T4,145.78,6
A105_1,A105,T1,1.0,0
A105_2,A105,T2,22.77,1
A105_3,A105,T3,69.46,3
A105_4,A105,T4,146.2,6
A106_1,A106,T1,1.0,0
A106_2,A106,T2,22.64,1
A106_3,A106,T3,66.08,3
A106_4,A106,T4,147.13,6
A107_1,A107,T1,1.0,0
A107_2,A107,T2,26.22,1
A107_3,A107,T3,71.45,3
A107_4,A107,T4,145.95,6
A108_1,A108,T1,1.0,0
A108_2,A108,T2,27.61,1
A108_3,A108,T3,68.96,3
A108_4,A108,T4,152.12,6
A109_1,A109,T1,1.0,0
A109_2,A109,T2,24.65,1
A109_3,A109,T3,71.17,3
A109_4,A109,T4,149.87,6
