composite_ID,UID,TEST,paradigm,CTT_mean,n_items
A010_1,A010,T1,IFR,0.7708333333333334,12
A010_1,A010,T1,ICR,0.9736842105263158,19
A010_1,A010,T1,IRE,0.9642857142857143,14
A010_2,A010,T2,IFR,0.375,12
A010_2,A010,T2,ICR,0.7631578947368421,19
A010_2,A010,T2,IRE,0.75,14
A010_3,A010,T3,IFR,0.2916666666666667,12
A010_3,A010,T3,ICR,0.5921052631578947,19
A010_3,A010,T3,IRE,0.4642857142857143,14
A010_4,A010,T4,IFR,0.6875,12
A010_4,A010,T4,ICR,0.6842105263157895,19
A010_4,A010,T4,IRE,0.6071428571428571,14
A011_1,A011,T1,IFR,0.9375,12
A011_1,A011,T1,ICR,0.618421052631579,19
A011_1,A011,T1,IRE,0.7142857142857143,14
A011_2,A011,T2,IFR,0.6041666666666666,12
A011_2,A011,T2,ICR,0.7368421052631579,19
A011_2,A011,T2,IRE,0.6607142857142857,14
A011_3,A011,T3,IFR,0.7291666666666666,12
A011_3,A011,T3,ICR,0.6710526315789473,19
A011_3,A011,T3,IRE,0.5178571428571429,14
A011_4,A011,T4,IFR,0.3958333333333333,12
A011_4,A011,T4,ICR,0.47368421052631576,19
A011_4,A011,T4,IRE,0.6607142857142857,14
A012_1,A012,T1,IFR,0.7916666666666666,12
A012_1,A012,T1,ICR,0.7368421052631579,19
A012_1,A012,T1,IRE,0.7857142857142857,14
A012_2,A012,T2,IFR,0.3958333333333333,12
A012_2,A012,T2,ICR,0.6842105263157895,19
A012_2,A012,T2,IRE,0.2857142857142857,14
A012_3,A012,T3,IFR,0.8333333333333334,12
A012_3,A012,T3,ICR,0.5921052631578947,19
A012_3,A012,T3,IRE,0.6428571428571429,14
A012_4,A012,T4,IFR,0.5416666666666666,12
A012_4,A012,T4,ICR,0.34210526315789475,19
A012_4,A012,T4,IRE,0.42857142857142855,14
A013_1,A013,T1,IFR,0.2916666666666667,12
A013_1,A013,T1,ICR,0.6842105263157895,19
A013_1,A013,T1,IRE,0.6785714285714286,14
A013_2,A013,T2,IFR,0.5416666666666666,12
A013_2,A013,T2,ICR,0.5131578947368421,19
A013_2,A013,T2,IRE,0.6071428571428571,14
A013_3,A013,T3,IFR,0.625,12
A013_3,A013,T3,ICR,0.6973684210526315,19
A013_3,A013,T3,IRE,0.7142857142857143,14
A013_4,A013,T4,IFR,0.3125,12
A013_4,A013,T4,ICR,0.47368421052631576,19
A013_4,A013,T4,IRE,0.6607142857142857,14
A014_1,A014,T1,IFR,0.4166666666666667,12
A014_1,A014,T1,ICR,0.8421052631578947,19
A014_1,A014,T1,IRE,0.625,14
A014_2,A014,T2,IFR,0.75,12
A014_2,A014,T2,ICR,0.7368421052631579,19
A014_2,A014,T2,IRE,0.75,14
A014_3,A014,T3,IFR,0.6666666666666666,12
A014_3,A014,T3,ICR,0.6447368421052632,19
A014_3,A014,T3,IRE,0.5357142857142857,14
A014_4,A014,T4,IFR,0.5625,12
A014_4,A014,T4,ICR,0.5,19
A014_4,A014,T4,IRE,0.5357142857142857,14
A015_1,A015,T1,IFR,0.7291666666666666,12
A015_1,A015,T1,ICR,0.8157894736842105,19
A015_1,A015,T1,IRE,0.8571428571428571,14
A015_2,A015,T2,IFR,0.8125,12
A015_2,A015,T2,ICR,0.9210526315789473,19
A015_2,A015,T2,IRE,0.75,14
A015_3,A015,T3,IFR,0.9166666666666666,12
A015_3,A015,T3,ICR,0.7894736842105263,19
A015_3,A015,T3,IRE,0.6428571428571429,14
A015_4,A015,T4,IFR,0.5,12
A015_4,A015,T4,ICR,0.7105263157894737,19
A015_4,A015,T4,IRE,0.625,14
A016_1,A016,T1,IFR,0.9166666666666666,12
A016_1,A016,T1,ICR,0.75,19
A016_1,A016,T1,IRE,0.7857142857142857,14
A016_2,A016,T2,IFR,0.6666666666666666,12
A016_2,A016,T2,ICR,0.7631578947368421,19
A016_2,A016,T2,IRE,0.7857142857142857,14
A016_3,A016,T3,IFR,0.5208333333333334,12
A016_3,A016,T3,ICR,0.5657894736842105,19
A016_3,A016,T3,IRE,0.6071428571428571,14
A016_4,A016,T4,IFR,0.5208333333333334,12
A016_4,A016,T4,ICR,0.3684210526315789,19
A016_4,A016,T4,IRE,0.5178571428571429,14
A017_1,A017,T1,IFR,0.7291666666666666,12
A017_1,A017,T1,ICR,0.5,19
A017_1,A017,T1,IRE,0.4107142857142857,14
A017_2,A017,T2,IFR,0.75,12
A017_2,A017,T2,ICR,0.6973684210526315,19
A017_2,A017,T2,IRE,0.6607142857142857,14
A017_3,A017,T3,IFR,0.5416666666666666,12
A017_3,A017,T3,ICR,0.6973684210526315,19
A017_3,A017,T3,IRE,0.6428571428571429,14
A017_4,A017,T4,IFR,0.7083333333333334,12
A017_4,A017,T4,ICR,0.7368421052631579,19
A017_4,A017,T4,IRE,0.7142857142857143,14
A018_1,A018,T1,IFR,0.6041666666666666,12
A018_1,A018,T1,ICR,0.7763157894736842,19
A018_1,A018,T1,IRE,0.7321428571428571,14
A018_2,A018,T2,IFR,0.625,12
A018_2,A018,T2,ICR,0.6578947368421053,19
A018_2,A018,T2,IRE,0.7678571428571429,14
A018_3,A018,T3,IFR,0.20833333333333334,12
A018_3,A018,T3,ICR,0.5921052631578947,19
