composite_ID,UID,TEST,theta_IFR,theta_ICR,theta_IRE,CTT_IFR,CTT_ICR,CTT_IRE,se_IFR,se_ICR,se_IRE
A010_1,A010,T1,2.2559497,2.3076186,2.4384494,0.7708333333333334,0.9736842105263158,0.9642857142857144,,,
A010_2,A010,T2,0.063646406,0.50561595,0.3100767,0.375,0.7631578947368421,0.75,,,
A010_3,A010,T3,-0.63363457,-0.34386626,-0.5900594,0.2916666666666667,0.5921052631578947,0.4642857142857143,,,
A010_4,A010,T4,0.530237,0.39210933,0.7578454,0.6875,0.6842105263157895,0.6071428571428571,,,
A011_1,A011,T1,1.0253187,0.5639205,0.64898896,0.9375,0.618421052631579,0.7142857142857143,,,
A011_2,A011,T2,0.29738232,-0.21693763,0.4779798,0.6041666666666666,0.7368421052631579,0.6607142857142857,,,
A011_3,A011,T3,0.05539917,-0.11885676,-0.18876392,0.7291666666666666,0.6710526315789473,0.5178571428571429,,,
A011_4,A011,T4,-0.5692055,-0.40435803,-0.36833763,0.3958333333333333,0.4736842105263157,0.6607142857142857,,,
A012_1,A012,T1,1.1145911,0.84081537,1.185163,0.7916666666666666,0.7368421052631579,0.7857142857142857,,,
A012_2,A012,T2,-0.40524608,-0.011747679,-0.4810561,0.3958333333333333,0.6842105263157895,0.2857142857142857,,,
A012_3,A012,T3,0.7902062,0.46904305,0.9331896,0.8333333333333334,0.5921052631578947,0.6428571428571429,,,
A012_4,A012,T4,-0.7995365,-1.1657566,-1.2891253,0.5416666666666666,0.3421052631578947,0.4285714285714285,,,
A013_1,A013,T1,-0.5856965,-0.06196794,-0.26959375,0.2916666666666667,0.6842105263157895,0.6785714285714286,,,
A013_2,A013,T2,-0.4070654,-0.72638094,-0.26315907,0.5416666666666666,0.5131578947368421,0.6071428571428571,,,
A013_3,A013,T3,0.7922385,1.0730467,0.5015512,0.625,0.6973684210526315,0.7142857142857143,,,
A013_4,A013,T4,-1.0692434,-1.4795078,-0.85894424,0.3125,0.4736842105263157,0.6607142857142857,,,
A014_1,A014,T1,0.18263546,0.5662233,0.8939411,0.4166666666666667,0.8421052631578947,0.625,,,
A014_2,A014,T2,1.2276359,1.1082016,1.3020949,0.75,0.7368421052631579,0.75,,,
A014_3,A014,T3,0.35754204,0.03844115,0.1523909,0.6666666666666666,0.6447368421052632,0.5357142857142857,,,
A014_4,A014,T4,-0.58439595,-0.97037005,-0.9391108,0.5625,0.5,0.5357142857142857,,,
A015_1,A015,T1,1.5247837,1.659924,1.7311847,0.7291666666666666,0.8157894736842105,0.8571428571428571,,,
A015_2,A015,T2,1.7857077,1.7755525,1.9454731,0.8125,0.9210526315789472,0.75,,,
A015_3,A015,T3,1.7846233,1.6194718,1.5540669,0.9166666666666666,0.7894736842105263,0.6428571428571429,,,
A015_4,A015,T4,-0.09274579,-0.014565401,0.14790718,0.5,0.7105263157894737,0.625,,,
A016_1,A016,T1,1.8982425,1.3016679,1.9085045,0.9166666666666666,0.75,0.7857142857142857,,,
A016_2,A016,T2,1.1705568,1.4167509,1.2414935,0.6666666666666666,0.7631578947368421,0.7857142857142857,,,
A016_3,A016,T3,-0.06720384,-0.14719886,0.17359161,0.5208333333333334,0.5657894736842105,0.6071428571428571,,,
A016_4,A016,T4,-0.7857009,-1.0612006,-1.2219204,0.5208333333333334,0.3684210526315789,0.5178571428571429,,,
A017_1,A017,T1,-0.07584843,-0.64893633,0.07371173,0.7291666666666666,0.5,0.4107142857142857,,,
A017_2,A017,T2,1.0087,0.68695086,1.094934,0.75,0.6973684210526315,0.6607142857142857,,,
A017_3,A017,T3,0.22324428,0.23617989,0.34243777,0.5416666666666666,0.6973684210526315,0.6428571428571429,,,
A017_4,A017,T4,1.0260882,1.1511014,0.8778206,0.7083333333333334,0.7368421052631579,0.7142857142857143,,,
A018_1,A018,T1,0.8998065,1.2432209,0.89794534,0.6041666666666666,0.7763157894736842,0.7321428571428571,,,
A018_2,A018,T2,0.46910602,0.6348993,0.11510111,0.625,0.6578947368421053,0.7678571428571429,,,
A018_3,A018,T3,-0.8570981,-0.3062067,-0.5672663,0.2083333333333333,0.5921052631578947,0.5,,,
A018_4,A018,T4,0.042763263,0.14981274,0.25552902,0.5,0.5921052631578947,0.6071428571428571,,,
A019_1,A019,T1,-0.457872,-0.40954873,-0.6919953,0.5833333333333334,0.5789473684210527,0.4464285714285714,,,
A019_2,A019,T2,-0.7839532,-0.72419274,-0.8384044,0.4375,0.4210526315789473,0.4464285714285714,,,
A019_3,A019,T3,-0.731604,-0.7890297,-0.5890452,0.375,0.5263157894736842,0.5178571428571429,,,
A019_4,A019,T4,-0.75950915,-0.43077806,-1.1340683,0.375,0.5263157894736842,0.3928571428571428,,,
A020_1,A020,T1,0.072841056,-0.19779886,0.06332161,0.5833333333333334,0.5,0.5357142857142857,,,
A020_2,A020,T2,-0.20886408,0.26416394,0.047483053,0.3541666666666667,0.5263157894736842,0.8035714285714286,,,
A020_3,A020,T3,-0.7968719,-0.7218849,-0.51456475,0.25,0.5657894736842105,0.6071428571428571,,,
A020_4,A020,T4,-2.0479772,-2.0933332,-2.305471,0.2083333333333333,0.3421052631578947,0.3035714285714285,,,
A021_1,A021,T1,1.2711351,1.0224657,1.3263483,0.7916666666666666,0.7894736842105263,0.75,,,
A021_2,A021,T2,0.36641207,0.23119716,0.07185613,0.6666666666666666,0.7763157894736842,0.6071428571428571,,,
A021_3,A021,T3,0.2283193,-0.09928185,0.14021443,0.7291666666666666,0.6052631578947368,0.5535714285714286,,,
A021_4,A021,T4,1.0181938,0.77135384,0.6826978,0.8333333333333334,0.6578947368421053,0.6071428571428571,,,
A022_1,A022,T1,0.16907588,0.08487166,0.10991881,0.6666666666666666,0.6842105263157895,0.6428571428571429,,,
A022_2,A022,T2,0.4875518,0.80793685,0.7072509,0.6458333333333334,0.6842105263157895,0.75,,,
A022_3,A022,T3,0.77547616,0.55696887,0.32368746,0.75,0.6578947368421053,0.5892857142857143,,,
A022_4,A022,T4,0.44959623,0.63891745,0.8941155,0.625,0.6973684210526315,0.7321428571428571,,,
A023_1,A023,T1,0.5031585,0.8567801,0.36951885,0.5208333333333334,0.7631578947368421,0.75,,,
A023_2,A023,T2,-0.1653372,0.26234666,0.015596133,0.3333333333333333,0.6842105263157895,0.7142857142857143,,,
A023_3,A023,T3,0.068792194,0.40942284,0.22199889,0.4791666666666667,0.7105263157894737,0.6607142857142857,,,
A023_4,A023,T4,0.025527501,0.22926755,-0.12707277,0.5208333333333334,0.6447368421052632,0.6785714285714286,,,
A024_1,A024,T1,0.4014854,-0.18276915,0.42522484,0.7083333333333334,0.631578947368421,0.625,,,
A024_2,A024,T2,0.27175164,0.632458,0.46180817,0.5208333333333334,0.7105263157894737,0.6071428571428571,,,
A024_3,A024,T3,0.0076772394,-0.5480257,0.054807294,0.625,0.5263157894736842,0.6071428571428571,,,
A024_4,A024,T4,-0.91121835,-1.3661549,-1.3448688,0.3958333333333333,0.3421052631578947,0.3392857142857143,,,
A025_1,A025,T1,1.2585467,1.6351862,1.0340793,0.7708333333333334,0.7763157894736842,0.8035714285714286,,,
A025_2,A025,T2,1.9095496,1.7770549,1.6322045,0.9583333333333334,0.868421052631579,0.75,,,
A025_3,A025,T3,-0.28530517,-0.15167001,-0.47655585,0.4583333333333333,0.5526315789473685,0.7142857142857143,,,
A025_4,A025,T4,-0.96083295,-0.76431817,-0.8461859,0.1875,0.4736842105263157,0.7142857142857143,,,
A026_1,A026,T1,0.5969401,1.1173441,0.6719598,0.5416666666666666,0.7894736842105263,0.8392857142857143,,,
A026_2,A026,T2,0.3370544,0.28154746,-0.07465413,0.7083333333333334,0.6052631578947368,0.4464285714285714,,,
A026_3,A026,T3,0.7356694,0.8135648,1.1318396,0.7291666666666666,0.7894736842105263,0.8214285714285714,,,
A026_4,A026,T4,-0.094755605,-0.47460285,-0.4234665,0.625,0.5921052631578947,0.5178571428571429,,,
A027_1,A027,T1,0.16043636,0.56165755,0.76357627,0.3333333333333333,0.7894736842105263,0.7857142857142857,,,
A027_2,A027,T2,0.46374553,0.6846959,0.4312134,0.6041666666666666,0.6578947368421053,0.6785714285714286,,,
A027_3,A027,T3,-0.9193564,-0.94683594,-0.69983053,0.3333333333333333,0.5,0.5892857142857143,,,
A027_4,A027,T4,-0.42966694,-0.47532603,0.053597745,0.3333333333333333,0.6842105263157895,0.6428571428571429,,,
A028_1,A028,T1,1.7501152,2.2565992,1.4671905,0.9166666666666666,0.8947368421052632,0.7321428571428571,,,
A028_2,A028,T2,0.095417134,-0.061017342,-0.12530611,0.6875,0.631578947368421,0.6428571428571429,,,
A028_3,A028,T3,0.1234633,0.45241958,0.2184041,0.4791666666666667,0.7105263157894737,0.5357142857142857,,,
A028_4,A028,T4,-0.8479047,-0.528568,-1.2986233,0.4375,0.5394736842105263,0.4107142857142857,,,
A029_1,A029,T1,2.242445,1.9823364,2.4757762,1.0,0.8421052631578947,0.8571428571428571,,,
A029_2,A029,T2,0.29875055,0.30846474,0.54682654,0.5833333333333334,0.7105263157894737,0.6964285714285714,,,
A029_3,A029,T3,1.3977594,1.6233219,1.07133,0.7916666666666666,0.7894736842105263,0.8214285714285714,,,
A029_4,A029,T4,0.5618795,0.09506731,0.55508226,0.75,0.6973684210526315,0.75,,,
A030_1,A030,T1,0.12693016,0.42693013,0.35405353,0.4375,0.618421052631579,0.6785714285714286,,,
A030_2,A030,T2,0.890774,0.69716036,1.2919836,0.7083333333333334,0.8157894736842105,0.75,,,
A030_3,A030,T3,0.30001456,0.42517364,0.38871464,0.5,0.6447368421052632,0.7321428571428571,,,
A030_4,A030,T4,0.70453537,0.6671635,0.83179647,0.7083333333333334,0.6710526315789473,0.7857142857142857,,,
A031_1,A031,T1,1.83632,1.4814626,2.286436,0.875,0.868421052631579,0.9285714285714286,,,
A031_2,A031,T2,-0.20975925,0.110624164,0.06316654,0.3958333333333333,0.6578947368421053,0.6071428571428571,,,
A031_3,A031,T3,-0.34666744,-0.1332235,-0.24461146,0.3958333333333333,0.631578947368421,0.5714285714285714,,,
A031_4,A031,T4,-0.9627389,-1.0655026,-1.095342,0.3125,0.4605263157894737,0.5178571428571429,,,
A032_1,A032,T1,0.71397096,0.9454206,0.754212,0.5833333333333334,0.7105263157894737,0.7142857142857143,,,
A032_2,A032,T2,-0.325758,-0.39917567,-0.7069247,0.5,0.5263157894736842,0.4464285714285714,,,
A032_3,A032,T3,0.41406077,0.39128196,0.38795704,0.6041666666666666,0.6842105263157895,0.6785714285714286,,,
A032_4,A032,T4,1.8328576,1.7303392,1.5438918,0.9166666666666666,0.7763157894736842,0.6964285714285714,,,
A033_1,A033,T1,0.10781428,0.14129296,-0.12778349,0.625,0.631578947368421,0.5714285714285714,,,
A033_2,A033,T2,-0.23640966,0.38250932,-0.08431574,0.4166666666666667,0.7236842105263158,0.5892857142857143,,,
A033_3,A033,T3,0.96893936,0.8144951,0.8991813,0.7083333333333334,0.631578947368421,0.6785714285714286,,,
A033_4,A033,T4,-0.08949685,-0.39993677,0.04133816,0.6458333333333334,0.631578947368421,0.6071428571428571,,,
A034_1,A034,T1,1.6616325,1.903067,2.1105924,0.7708333333333334,0.8552631578947368,0.9285714285714286,,,
A034_2,A034,T2,1.3464628,1.1695625,1.4497505,0.75,0.75,0.7321428571428571,,,
