item_name,paradigm,retained,a,b,exclusion_reason
TQ_ICR-D-i1,ICR,True,0.50049263,0.9337944984436036,retained
TQ_ICR-D-i2,ICR,True,0.54657066,1.687665581703186,retained
TQ_ICR-D-i3,ICR,True,0.6268717,0.8630015254020691,retained
TQ_ICR-D-i4,ICR,True,0.63212675,1.574444055557251,retained
TQ_ICR-D-i5,ICR,True,0.47348922,2.712050199508667,retained
TQ_ICR-D-i6,ICR,True,0.9605445,1.1247310638427734,retained
TQ_ICR-N-i1,ICR,True,1.4059834,-1.8618955612182613,retained
TQ_ICR-N-i2,ICR,True,0.5410859,-2.897346258163452,retained
TQ_ICR-N-i4,ICR,True,1.1828233,-2.312353610992432,retained
TQ_ICR-N-i5,ICR,True,1.2537585,-1.9026110172271729,retained
TQ_ICR-N-i6,ICR,True,1.1154917,-2.10690975189209,retained
TQ_ICR-O-i1,ICR,True,0.44203556,2.9873883724212646,retained
TQ_ICR-O-i2,ICR,True,0.68061274,2.9162161350250244,retained
TQ_ICR-U-i1,ICR,True,1.5342194,-0.2412262558937072,retained
TQ_ICR-U-i2,ICR,True,1.0462279,-0.8641539216041565,retained
TQ_ICR-U-i3,ICR,True,1.1612186,-0.6484538316726685,retained
TQ_ICR-U-i4,ICR,True,0.72900677,-0.7375827431678772,retained
TQ_ICR-U-i5,ICR,True,1.7688149,-0.0766956061124801,retained
TQ_ICR-U-i6,ICR,True,1.0137558,-0.4963288903236389,retained
TQ_IFR-D-i2,IFR,True,0.45493752,2.034416437149048,retained
TQ_IFR-D-i3,IFR,True,0.49893805,1.2016359567642212,retained
TQ_IFR-N-i1,IFR,True,1.1786299,-0.3291204571723938,retained
TQ_IFR-N-i2,IFR,True,0.68481636,-0.1360418200492859,retained
TQ_IFR-N-i3,IFR,True,0.6702268,-0.5209147334098816,retained
TQ_IFR-N-i5,IFR,True,1.1658373,0.5325047373771667,retained
TQ_IFR-N-i6,IFR,True,0.8395172,0.5391785502433777,retained
TQ_IFR-U-i1,IFR,True,1.2017775,-0.0121695110574364,retained
TQ_IFR-U-i2,IFR,True,0.75187427,-0.2001295387744903,retained
TQ_IFR-U-i3,IFR,True,0.79103374,-0.090769775211811,retained
TQ_IFR-U-i5,IFR,True,0.8949079,0.3543212711811065,retained
TQ_IFR-U-i6,IFR,True,0.5245028,0.3732569217681885,retained
TQ_IRE-D-i1,IRE,True,0.5747981,0.9280388951301576,retained
TQ_IRE-D-i2,IRE,True,0.44213426,1.6547245979309082,retained
TQ_IRE-D-i3,IRE,True,0.7561665,0.4953449964523315,retained
TQ_IRE-D-i4,IRE,True,0.60866314,1.66845703125,retained
TQ_IRE-D-i5,IRE,True,0.40494168,1.7915712594985962,retained
TQ_IRE-D-i6,IRE,True,0.9386246,1.0094441175460815,retained
TQ_IRE-N-i1,IRE,True,1.2923805,-2.778487205505371,retained
TQ_IRE-O-i1,IRE,True,0.40547538,2.8787972927093506,retained
TQ_IRE-U-i1,IRE,True,1.2789356,-0.4361938536167145,retained
TQ_IRE-U-i2,IRE,True,0.8896687,-1.3998842239379885,retained
TQ_IRE-U-i3,IRE,True,1.4027871,-0.6096211075782776,retained
TQ_IRE-U-i4,IRE,True,0.75101376,-0.7196061611175537,retained
TQ_IRE-U-i5,IRE,True,1.4821072,-0.2357620596885681,retained
TQ_IRE-U-i6,IRE,True,0.83238447,-0.8254165053367615,retained
