cluster,feature,mean,SD,min,max,N
0,Total_Intercept_Cued,0.2668414186593757,0.2938091637961932,-0.1918852194696362,0.917496128955776,33
0,Total_Intercept_Free,0.36143383561356873,0.3084141060028931,-0.2336752114478397,0.9701854280952016,33
0,Total_Intercept_Recognition,0.36128341626494076,0.35082073039287237,-0.1292559284527009,1.1167790390803558,33
0,Total_Slope_Cued,-0.002861020499658117,0.003149863152138282,-0.0098364525723173,0.0020567076167516,33
0,Total_Slope_Free,-0.0414718642063151,0.02798468895883065,-0.102842665588841,0.0045286966851318,33
0,Total_Slope_Recognition,-0.029490744263115428,0.018109556657735004,-0.0695789266762353,0.0006164387482056,33
1,Total_Intercept_Cued,-0.5891713596651555,0.24132128719407758,-1.138158098073727,-0.1420848158019745,31
1,Total_Intercept_Free,-0.5875939398254865,0.2457460959180119,-1.0877987267947795,-0.0558915083412094,31
1,Total_Intercept_Recognition,-0.6501188724591763,0.29995640922414507,-1.452823004678016,-0.0759741413391344,31
1,Total_Slope_Cued,0.006316528441729206,0.0025871851765049496,0.0015231300246289,0.0122022056568923,31
1,Total_Slope_Free,0.00918806171005129,0.027632214096316682,-0.0523091181643428,0.0548074996570229,31
1,Total_Slope_Recognition,0.010040201766630391,0.017401511568451725,-0.0285163293556519,0.041032981727454,31
2,Total_Intercept_Cued,0.26273737038501666,0.2772624854569122,-0.0834641708560612,1.3764293011218225,36
2,Total_Intercept_Free,0.17466932109284342,0.24369230849445686,-0.1835868118282647,1.0961497417551762,36
2,Total_Intercept_Recognition,0.22864811970809473,0.29034059943368834,-0.2231245626396705,1.3617089983921584,36
2,Total_Slope_Cued,-0.002816630700135798,0.0029724369179865355,-0.0147562202254084,0.0008947406297188,36
2,Total_Slope_Free,0.030103933494355712,0.027568713080621983,-0.01572887077174,0.0906042946512738,36
2,Total_Slope_Recognition,0.018387452942146363,0.019114913537331805,-0.0166553744630874,0.0501261376781332,36
