item_name,dimension,a,b,retention_reason
TQ_ICR-D-i1,common,0.5547696,0.8479456305503845,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i2,common,0.6505643,1.448232650756836,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i3,congruent,1.3287241,0.4894937574863434,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i5,incongruent,0.43858415,2.8949666023254395,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i6,incongruent,0.8632621,1.2050131559371948,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i1,common,1.5361515,-1.772204041481018,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i2,common,0.57776815,-2.738479852676392,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i3,congruent,1.0696199,-2.848784208297729,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i4,congruent,1.3736296,-2.109750270843506,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i5,incongruent,1.4197546,-1.7748212814331057,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i6,incongruent,1.1975245,-2.0219080448150635,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i1,common,0.6058125,2.2534773349761963,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i3,congruent,0.4749564,1.270026683807373,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i4,congruent,0.44243085,2.2496557235717773,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i1,common,3.0104647,-0.2032170593738556,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i2,common,0.9191704,-0.955312430858612,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i3,congruent,1.7618554,-0.5275906324386597,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i4,congruent,0.7135705,-0.7632612586021423,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i5,incongruent,2.5928972,-0.0744585022330284,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i6,incongruent,1.0833249,-0.4821746349334717,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
