item_name,dimension,a,b
TQ_ICR-D-i1,common,0.5547696,0.8479456305503845
TQ_ICR-D-i2,common,0.6505643,1.448232650756836
TQ_ICR-D-i3,congruent,1.3287241,0.4894937574863434
TQ_ICR-D-i4,congruent,0.38490275,2.4264016151428223
TQ_ICR-D-i5,incongruent,0.43858415,2.8949666023254395
TQ_ICR-D-i6,incongruent,0.8632621,1.2050131559371948
TQ_ICR-N-i1,common,1.5361515,-1.772204041481018
TQ_ICR-N-i2,common,0.57776815,-2.7384798526763916
TQ_ICR-N-i3,congruent,1.0696199,-2.8487842082977295
TQ_ICR-N-i4,congruent,1.3736296,-2.109750270843506
TQ_ICR-N-i5,incongruent,1.4197546,-1.7748212814331055
TQ_ICR-N-i6,incongruent,1.1975245,-2.0219080448150635
TQ_ICR-O-i1,common,0.6058125,2.2534773349761963
TQ_ICR-O-i2,common,0.530341,3.6025638580322266
TQ_ICR-O-i3,congruent,0.4749564,1.270026683807373
TQ_ICR-O-i4,congruent,0.44243085,2.2496557235717773
TQ_ICR-O-i5,incongruent,0.20642595,4.465092182159424
TQ_ICR-O-i6,incongruent,0.30572945,3.7389209270477295
TQ_ICR-U-i1,common,3.0104647,-0.2032170593738556
TQ_ICR-U-i2,common,0.9191704,-0.9553124308586121
TQ_ICR-U-i3,congruent,1.7618554,-0.5275906324386597
TQ_ICR-U-i4,congruent,0.7135705,-0.7632612586021423
TQ_ICR-U-i5,incongruent,2.5928972,-0.07445850223302841
TQ_ICR-U-i6,incongruent,1.0833249,-0.4821746349334717
TQ_IFR-D-i1,common,0.45144004,1.4628393650054932
TQ_IFR-D-i2,common,0.5170784,1.8123869895935059
TQ_IFR-D-i3,congruent,1.049925,0.6577876210212708
TQ_IFR-D-i4,congruent,0.09984637,7.3599982261657715
TQ_IFR-D-i5,incongruent,0.17975688,3.8059580326080322
TQ_IFR-D-i6,incongruent,0.06601391,16.282669067382812
TQ_IFR-N-i1,common,1.366251,-0.3059522211551666
TQ_IFR-N-i2,common,0.6181922,-0.15328460931777954
TQ_IFR-N-i3,congruent,1.0549165,-0.3756866455078125
TQ_IFR-N-i4,congruent,0.5966891,-0.6610288619995117
TQ_IFR-N-i5,incongruent,1.3737968,0.4805815815925598
TQ_IFR-N-i6,incongruent,0.8473577,0.5306745171546936
TQ_IFR-O-i1,common,0.021263493,43.29159927368164
TQ_IFR-O-i2,common,0.19779205,5.365030765533447
TQ_IFR-O-i3,congruent,0.45659938,0.9746843576431274
TQ_IFR-O-i4,congruent,0.04298586,15.980278015136719
TQ_IFR-O-i5,incongruent,0.09994638,5.4209089279174805
TQ_IFR-O-i6,incongruent,0.14087874,6.273571014404297
TQ_IFR-U-i1,common,1.4952922,-0.019153952598571777
TQ_IFR-U-i2,common,0.67673624,-0.2230502963066101
TQ_IFR-U-i3,congruent,1.1674584,-0.0787801444530487
TQ_IFR-U-i4,congruent,0.47689247,-0.13668179512023926
TQ_IFR-U-i5,incongruent,1.1216047,0.29903656244277954
TQ_IFR-U-i6,incongruent,0.5641815,0.3459649980068207
TQ_IRE-D-i1,common,0.66115236,0.8191142082214355
TQ_IRE-D-i2,common,0.49991992,1.4761124849319458
TQ_IRE-D-i3,congruent,1.3286766,0.3216424882411957
TQ_IRE-D-i4,congruent,0.36387682,2.6259419918060303
TQ_IRE-D-i5,incongruent,0.30053174,2.3540561199188232
TQ_IRE-D-i6,incongruent,0.8706653,1.056462287902832
TQ_IRE-N-i1,common,1.5471023,-2.4431204795837402
TQ_IRE-N-i2,common,0.47385114,-5.605046272277832
TQ_IRE-N-i3,congruent,0.5433397,-3.9745125770568848
TQ_IRE-N-i4,congruent,1.1661282,-2.0142173767089844
TQ_IRE-N-i5,incongruent,0.5033026,-4.471089839935303
TQ_IRE-N-i6,incongruent,0.6919644,-4.1388373374938965
TQ_IRE-O-i1,common,0.5135039,2.3182029724121094
TQ_IRE-O-i2,common,0.31197044,6.100799083709717
TQ_IRE-O-i3,congruent,0.45892054,1.2606472969055176
TQ_IRE-O-i4,congruent,0.19982657,5.1745829582214355
TQ_IRE-O-i5,incongruent,0.22606,4.364279747009277
TQ_IRE-O-i6,incongruent,0.4660076,3.426452875137329
TQ_IRE-U-i1,common,2.0991201,-0.3518005311489105
TQ_IRE-U-i2,common,0.76526785,-1.5822644233703613
TQ_IRE-U-i3,congruent,1.9700738,-0.5296034216880798
TQ_IRE-U-i4,congruent,0.7834504,-0.7077082395553589
TQ_IRE-U-i5,incongruent,2.3253298,-0.20341040194034576
TQ_IRE-U-i6,incongruent,0.8580997,-0.8146198987960815
