composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent
A010_1,2.1020398,2.5186493,2.2276788,0.17970646917502656,0.18092156221455785,0.17793935864979812
A010_2,0.31775233,0.58251715,0.13091692,0.17970646917502656,0.18092156221455785,0.17793935864979812
A010_3,-0.6910591,-0.20530432,-0.6658078,0.17970646917502656,0.18092156221455785,0.17793935864979812
A010_4,-0.021846123,0.23761742,1.1094402,0.17970646917502656,0.18092156221455785,0.17793935864979812
A011_1,0.5366895,0.64553124,1.0196037,0.17970646917502656,0.18092156221455785,0.17793935864979812
A011_2,1.1454967,-0.4501663,-0.0153203895,0.17970646917502656,0.18092156221455785,0.17793935864979812
A011_3,-0.566364,0.18563055,-0.38278428,0.17970646917502656,0.18092156221455785,0.17793935864979812
A011_4,-0.6292184,-0.55818135,-0.4083258,0.17970646917502656,0.18092156221455785,0.17793935864979812
A012_1,0.7553537,0.7738724,0.52498466,0.17970646917502656,0.18092156221455785,0.17793935864979812
A012_2,-0.134764,-0.18058571,0.013459618,0.17970646917502656,0.18092156221455785,0.17793935864979812
A012_3,0.60102826,-0.17967787,1.0368813,0.17970646917502656,0.18092156221455785,0.17793935864979812
A012_4,-0.15865363,-1.177877,-1.2155424,0.17970646917502656,0.18092156221455785,0.17793935864979812
A013_1,-0.96691704,0.7861489,-0.0760144,0.17970646917502656,0.18092156221455785,0.17793935864979812
A013_2,-0.2975843,-1.0262387,-0.4502332,0.17970646917502656,0.18092156221455785,0.17793935864979812
A013_3,0.52161163,1.1241403,1.1031879,0.17970646917502656,0.18092156221455785,0.17793935864979812
A013_4,-0.99541664,-0.9949862,-1.1023517,0.17970646917502656,0.18092156221455785,0.17793935864979812
A014_1,0.2080615,0.9081138,0.36806267,0.17970646917502656,0.18092156221455785,0.17793935864979812
A014_2,1.3108034,-0.045096163,1.1964114,0.17970646917502656,0.18092156221455785,0.17793935864979812
A014_3,0.4950345,0.10979502,-0.202808,0.17970646917502656,0.18092156221455785,0.17793935864979812
A014_4,-0.7647206,-0.49628097,-1.0057976,0.17970646917502656,0.18092156221455785,0.17793935864979812
A015_1,1.4930972,0.9528007,1.2310228,0.17970646917502656,0.18092156221455785,0.17793935864979812
