UID,test,composite_ID,Congruence,theta,SE,TSVR_hours,Segment,Days_within
A010,1,A010_1,Common,1.6000581,0.1962873223365104,1.0,Early,0.041666666666666664
A010,2,A010_2,Common,0.4028944,0.1962873223365104,21.9,Early,0.9125
A010,3,A010_3,Common,-0.8561796,0.1962873223365104,80.88,Late,2.3699999999999997
A010,4,A010_4,Common,-0.14796121,0.1962873223365104,145.31,Late,5.054583333333333
A011,1,A011_1,Common,0.5500402,0.1962873223365104,1.0,Early,0.041666666666666664
A011,2,A011_2,Common,0.75908333,0.1962873223365104,24.57,Late,0.02375000000000001
A011,3,A011_3,Common,-0.6526953,0.1962873223365104,72.55,Late,2.0229166666666667
A011,4,A011_4,Common,-0.6465008,0.1962873223365104,148.85,Late,5.202083333333333
A012,1,A012_1,Common,0.48022103,0.1962873223365104,1.0,Early,0.041666666666666664
A012,2,A012_2,Common,-0.25840938,0.1962873223365104,25.6,Late,0.06666666666666672
A012,3,A012_3,Common,0.65839624,0.1962873223365104,166.33,Late,5.930416666666667
A012,4,A012_4,Common,0.055890147,0.1962873223365104,166.87,Late,5.952916666666667
A013,1,A013_1,Common,-1.0432792,0.1962873223365104,1.0,Early,0.041666666666666664
A013,2,A013_2,Common,-0.48492253,0.1962873223365104,24.77,Late,0.03208333333333332
A013,3,A013_3,Common,0.6412586,0.1962873223365104,79.66,Late,2.3191666666666664
A013,4,A013_4,Common,-1.0111758,0.1962873223365104,147.13,Late,5.130416666666666
A014,1,A014_1,Common,0.1288651,0.1962873223365104,1.0,Early,0.041666666666666664
A014,2,A014_2,Common,1.320731,0.1962873223365104,25.66,Late,0.06916666666666667
A014,3,A014_3,Common,0.48942116,0.1962873223365104,70.56,Late,1.9400000000000002
A014,4,A014_4,Common,-0.78735405,0.1962873223365104,148.87,Late,5.202916666666667
A015,1,A015_1,Common,1.4246364,0.1962873223365104,1.0,Early,0.041666666666666664
A015,2,A015_2,Common,1.1372008,0.1962873223365104,23.69,Early,0.9870833333333334
A015,3,A015_3,Common,1.4038924,0.1962873223365104,70.59,Late,1.9412500000000001
A015,4,A015_4,Common,-0.47030097,0.1962873223365104,146.54,Late,5.105833333333333
A016,1,A016_1,Common,1.3420854,0.1962873223365104,1.0,Early,0.041666666666666664
A016,2,A016_2,Common,0.5615982,0.1962873223365104,32.85,Late,0.3687500000000001
A016,3,A016_3,Common,0.17722866,0.1962873223365104,80.64,Late,2.36
A016,4,A016_4,Common,-0.875939,0.1962873223365104,150.8,Late,5.283333333333334
A017,1,A017_1,Common,-0.17695434,0.1962873223365104,1.0,Early,0.041666666666666664
A017,2,A017_2,Common,0.741939,0.1962873223365104,20.61,Early,0.85875
A017,3,A017_3,Common,0.18003759,0.1962873223365104,61.28,Late,1.5533333333333335
A017,4,A017_4,Common,0.4956496,0.1962873223365104,140.49,Late,4.853750000000001
A018,1,A018_1,Common,1.0604457,0.1962873223365104,1.0,Early,0.041666666666666664
A018,2,A018_2,Common,-0.07882557,0.1962873223365104,34.03,Late,0.4179166666666667
A018,3,A018_3,Common,-1.0491173,0.1962873223365104,83.64,Late,2.485
A018,4,A018_4,Common,0.44031787,0.1962873223365104,150.87,Late,5.28625
A019,1,A019_1,Common,-0.8709922,0.1962873223365104,1.0,Early,0.041666666666666664
A019,2,A019_2,Common,-0.35722595,0.1962873223365104,28.69,Late,0.1954166666666667
A019,3,A019_3,Common,-0.8311249,0.1962873223365104,83.68,Late,2.486666666666667
A019,4,A019_4,Common,-0.5362667,0.1962873223365104,154.76,Late,5.448333333333333
A020,1,A020_1,Common,0.3413008,0.1962873223365104,1.0,Early,0.041666666666666664
A020,2,A020_2,Common,0.4715719,0.1962873223365104,26.85,Late,0.11875000000000006
