model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,rank
PowerLaw_01,2593.4101575793647,2634.1307722655733,-1288.7050787896824,7.0,True,0.0,0.06043148356670361,0.06043148356670361,1
Log,2593.5123040554518,2634.2329187416603,-1288.7561520277259,7.0,True,0.10214647608700034,0.0574225441932742,0.1178540277599778,2
Log2,2593.5123040554518,2634.2329187416603,-1288.7561520277259,7.0,True,0.10214647608700034,0.0574225441932742,0.175276571953252,3
Log10,2593.5123040554536,2634.232918741662,-1288.7561520277268,7.0,True,0.10214647608881933,0.057422544193221965,0.23269911614647396,4
PowerLaw_02,2593.7810083453423,2634.501623031551,-1288.8905041726712,7.0,True,0.37085076597759326,0.05020350461216327,0.2829026207586372,5
SquareRoot,2594.286373254805,2635.0069879410134,-1289.1431866274024,7.0,True,0.8762156754401076,0.038993789213848634,0.3218964099724858,6
Exp_slow,2594.286373254805,2635.0069879410134,-1289.1431866274024,7.0,True,0.8762156754401076,0.038993789213848634,0.36089019918633447,7
PowerLaw_03,2594.604862909675,2635.3254775958835,-1289.3024314548375,7.0,True,1.1947053303101711,0.03325341787612389,0.3941436170624584,8
Log+Recip,2595.0626246727024,2640.873316194687,-1288.5313123363512,8.0,True,1.652467093337691,0.026450542634399776,0.42059415969685815,9
Recip+PowerLaw05,2595.1948230822472,2641.005514604232,-1288.5974115411236,8.0,True,1.7846655028824898,0.02475871303299509,0.44535287272985324,10
Recip+PowerLaw,2595.1948230822472,2641.005514604232,-1288.5974115411236,8.0,True,1.7846655028824898,0.02475871303299509,0.47011158576284834,11
Log+LogLog,2595.222061457518,2641.0327529795027,-1288.611030728759,8.0,True,1.8119038781533163,0.024423805237248367,0.4945353910000967,12
Log+PowerLaw05,2595.2308344654866,2641.0415259874712,-1288.6154172327433,8.0,True,1.8206768861218734,0.024316904749381595,0.5188522957494783,13
Lin+Log,2595.3746482591287,2641.1853397811133,-1288.6873241295643,8.0,True,1.9644906797639123,0.022629737962265074,0.5414820337117434,14
Exp+Log,2595.3746482591287,2641.1853397811133,-1288.6873241295643,8.0,True,1.9644906797639123,0.022629737962265074,0.5641117716740085,15
Tanh+Log,2595.4209430880455,2641.23163461003,-1288.7104715440228,8.0,True,2.010785508680783,0.022111934069086556,0.586223705743095,16
PowerLaw_Log,2595.427565308588,2641.2382568305725,-1288.713782654294,8.0,True,2.017407729223123,0.022038840094959388,0.6082625458380544,17
Recip+Log,2595.436386787169,2641.2470783091535,-1288.7181933935844,8.0,True,2.0262292078041355,0.021941846580834826,0.6302043924188893,18
SquareRoot+Log,2595.4381666113404,2641.248858133325,-1288.7190833056702,8.0,True,2.028009031975671,0.021922328952153375,0.6521267213710427,19
Log+SquareRoot,2595.44716325063,2641.257854772615,-1288.723581625315,8.0,True,2.037005671265433,0.021823936774811245,0.6739506581458539,20
Sin+Log,2595.4584849798357,2641.2691765018203,-1288.7292424899179,8.0,True,2.048327400470953,0.021700743442996866,0.6956514015888507,21
CubeRoot+Log,2595.4609388237113,2641.271630345696,-1288.7304694118557,8.0,True,2.050781244346581,0.021674134651592666,0.7173255362404434,22
SquareRoot+Recip,2595.5871339503756,2641.39782547236,-1288.7935669751878,8.0,True,2.1769763710108236,0.020348801885206592,0.73767433812565,23
Exp+PowerLaw,2595.59865294518,2641.409344467165,-1288.79932647259,8.0,True,2.18849536581547,0.02023193986988872,0.7579062779955387,24
SquareRoot+PowerLaw,2595.6152711201703,2641.425962642155,-1288.8076355600851,8.0,True,2.2051135408055416,0.020064527396949916,0.7779708053924885,25
CubeRoot,2595.6286263985257,2636.3492410847343,-1289.8143131992629,7.0,True,2.2184688191609894,0.01993099007595639,0.7979017954684449,26
Root_033,2595.6384103333894,2636.359025019598,-1289.8192051666947,7.0,True,2.228252754024652,0.019833726420907825,0.8177355218893527,27
PowerLaw_04,2595.8534531681526,2636.574067854361,-1289.9267265840763,7.0,True,2.443295588787805,0.01781182256464385,0.8355473444539966,28
Root_Multi,2595.8903671066128,2641.7010586285974,-1288.9451835533064,8.0,True,2.4802095272480074,0.017486085609187168,0.8530334300631838,29
Exp+Recip,2596.0374530819554,2641.84814460394,-1289.0187265409777,8.0,True,2.6272955025906413,0.016246255784185665,0.8692796858473695,30
PowerLaw_Lin,2596.0981489532205,2641.908840475205,-1289.0490744766103,8.0,True,2.687991373855766,0.015760621726664734,0.8850403075740342,31
SquareRoot+Lin,2596.140634904359,2641.9513264263437,-1289.0703174521796,8.0,True,2.7304773249943537,0.015429350277498916,0.9004696578515331,32
Recip+Lin,2596.7135242787845,2642.524215800769,-1289.3567621393922,8.0,True,3.303366699419712,0.011586340608574032,0.9120559984601071,33
Lin+Log+PowerLaw,2597.1034432531524,2648.0042116109134,-1288.5517216265762,9.0,True,3.6932856737876136,0.009534028855309856,0.921590027315417,34
Quad+Log,2597.1955190159442,2648.0962873737053,-1288.5977595079721,9.0,True,3.7853614365794783,0.009105052706918484,0.9306950800223355,35
Lin+Quad+Log,2597.1955190159442,2648.0962873737053,-1288.5977595079721,9.0,True,3.7853614365794783,0.009105052706918484,0.939800132729254,36
PowerLaw+Recip+Log,2597.38263528234,2648.283403640101,-1288.69131764117,9.0,True,3.972477702975084,0.00829183560592929,0.9480919683351833,37
PowerLaw_05,2597.491525626936,2638.2121403131446,-1290.745762813468,7.0,True,4.081368047571232,0.00785245480133393,0.9559444231365172,38
Recip+Quad,2597.5415395100044,2648.4423078677655,-1288.7707697550022,9.0,True,4.131381930639691,0.007658523839405562,0.9636029469759227,39
Quadratic,2598.083179074325,2643.8938705963096,-1290.0415895371625,8.0,True,4.673021494960267,0.005841569278181065,0.9694445162541038,40
LogLog,2598.254590448627,2638.9752051348355,-1291.1272952243135,7.0,True,4.844432869262164,0.005361768075974662,0.9748062843300784,41
Cubic,2598.415922546963,2649.316690904724,-1289.2079612734815,9.0,True,5.005764967598225,0.004946240219910022,0.9797525245499884,42
FourthRoot,2598.9644739441537,2639.6850886303623,-1291.4822369720769,7.0,True,5.554316364788974,0.0037597483908908625,0.9835122729408793,43
Quad+Log+SquareRoot,2598.999379721279,2654.9902249148163,-1288.4996898606396,10.0,True,5.5892221419144335,0.0036946992203375144,0.9872069721612168,44
Root_067,2599.091635941324,2639.8122506275326,-1291.545817970662,7.0,True,5.681478361959307,0.0035281407739484586,0.9907351129351653,45
Quartic,2599.1279429165043,2655.1187881100414,-1288.5639714582521,10.0,True,5.717785337139503,0.003464670560098674,0.994199783495264,46
PowerLaw_06,2599.4783937867196,2640.199008472928,-1291.7391968933598,7.0,True,6.0682362073548575,0.002907786435285231,0.9971075699305492,47
Ultimate,2600.671982437205,2666.842981302294,-1287.3359912186024,12.0,True,7.261824857840111,0.001600950941799082,0.9987085208723483,48
PowerLaw_07,2601.7696271268233,2642.490241813032,-1292.8848135634116,7.0,True,8.359469547458502,0.000924756745873602,0.9996332776182218,49
PowerLaw_08,2604.318751757093,2645.039366443302,-1294.1593758785466,7.0,True,10.908594177728446,0.00025851879787553637,0.9998917964160974,50
PowerLaw_09,2607.078852829831,2647.7994675160394,-1295.5394264149154,7.0,True,13.668695250466044,6.503449841783039e-05,0.9999568309145153,51
Reciprocal,2610.003993180633,2650.724607866842,-1297.0019965903166,7.0,True,16.593835601268438,1.5064601174569007e-05,0.9999718955156899,52
PowerLaw_10,2610.003993180633,2650.724607866842,-1297.0019965903166,7.0,True,16.593835601268438,1.5064601174569007e-05,0.9999869601168645,53
Tanh,2610.3607322342777,2651.0813469204863,-1297.1803661171389,7.0,True,16.950574654912998,1.2603545607164315e-05,0.9999995636624717,54
Linear,2618.5869088397176,2659.307523525926,-1301.2934544198588,7.0,True,25.17675126035283,2.061584706457937e-07,0.9999997698209423,55
Exponential_proxy,2618.5869088397176,2659.307523525926,-1301.2934544198588,7.0,True,25.17675126035283,2.061584706457937e-07,0.9999999759794129,56
Sinh,2624.0182573408074,2664.738872027016,-1304.0091286704037,7.0,True,30.608099761442645,1.3639512311454422e-08,0.9999999896189252,57
Cos,2625.2001521552356,2665.920766841444,-1304.6000760776178,7.0,True,31.789994575870878,7.553594104114726e-09,0.9999999971725193,58
Sin+Cos,2627.1679478429396,2672.978639364924,-1304.5839739214698,8.0,True,33.75779026357486,2.8239190280068334e-09,0.9999999999964383,59
Recip_sq,2640.5193043500603,2681.239919036269,-1312.2596521750302,7.0,True,47.10914677069559,3.561574320032328e-12,0.9999999999999999,60
Arctanh,2662.97829701256,2703.6989116987684,-1323.48914850628,7.0,True,69.56813943319503,4.728612436019534e-17,0.9999999999999999,61
Exp_fast,2680.0107865228747,2720.7314012090833,-1332.0053932614373,7.0,True,86.60062894350995,9.466198701895255e-21,0.9999999999999999,62
Quadratic_pure,2680.0107865228747,2720.7314012090833,-1332.0053932614373,7.0,True,86.60062894350995,9.466198701895255e-21,0.9999999999999999,63
Cubic_pure,2726.892314617555,2767.6129293037634,-1355.4461573087774,7.0,True,133.48215703819005,6.25145542712833e-31,0.9999999999999999,64
Sin,2837.162996180399,2877.883610866608,-1410.5814980901996,7.0,True,243.75283860103445,7.09589008669817e-55,0.9999999999999999,65
