UID,Age
A010,22.0
A011,21.0
A012,21.0
A013,22.0
A014,22.0
A015,23.0
A016,21.0
A017,24.0
A018,23.0
A019,20.0
A020,26.0
A021,28.0
A022,28.0
A023,26.0
A024,29.0
A025,26.0
A026,29.0
A027,28.0
A028,26.0
A029,25.0
A030,31.0
A031,32.0
A032,33.0
A033,32.0
A034,33.0
A035,34.0
A036,30.0
A037,31.0
A038,32.0
A039,31.0
A040,38.0
A041,35.0
A042,38.0
A043,38.0
A044,38.0
A045,37.0
A046,38.0
A047,36.0
A048,38.0
A049,35.0
A050,41.0
A051,41.0
A052,43.0
A053,44.0
A054,43.0
A055,44.0
A056,42.0
A057,40.0
A058,42.0
A059,43.0
A060,48.0
A061,47.0
A062,48.0
A063,45.0
A064,47.0
A065,47.0
A066,47.0
A067,48.0
A068,49.0
A069,46.0
A070,52.0
A071,50.0
A072,50.0
A073,51.0
A074,53.0
A075,53.0
A076,54.0
A077,52.0
A078,50.0
A079,50.0
A080,56.0
A081,55.0
A082,58.0
A083,58.0
A084,59.0
A085,58.0
A086,58.0
A087,59.0
A088,56.0
A089,56.0
A090,61.0
A091,63.0
A092,60.0
A093,64.0
A094,60.0
A095,61.0
A096,60.0
A097,64.0
A098,60.0
A099,63.0
A100,66.0
A101,69.0
A102,68.0
A103,68.0
A104,66.0
A105,68.0
A106,66.0
A107,70.0
A108,69.0
A109,68.0
