term,coef,se,z,p
Intercept,1.2881521323364216,0.2602675515197037,4.949338189931453,7.446625692396021e-07
recip_TSVR,-1.2111477547898999,0.470514074387658,-2.5740946354604293,0.010050277926896426
log_TSVR,-0.33481655121459836,0.057488116404141254,-5.8241002168315825,5.742111376114454e-09
Age_c,-0.0002545245273162138,0.017662121603642607,-0.014410756138363416,0.988502278124193
Congruent,0.05808480274883043,0.36067707918662484,0.1610437870901568,0.8720589135991392
Incongruent,-0.08410257757268187,0.36067707918662306,-0.23317971234086976,0.815621858878538
Age_c:recip_TSVR,-0.014040237498589828,0.031984745902930115,-0.4389666730884864,0.6606856847898337
Age_c:log_TSVR,-0.0013620687123993454,0.003910917221455592,-0.348273470204619,0.7276348158569197
Congruent:recip_TSVR,-0.1680599471567006,0.6426331864951429,-0.261517691100397,0.7936933085596308
Congruent:log_TSVR,-0.004421059124053604,0.08107109832918365,-0.054533110012919724,0.956510429851819
Incongruent:recip_TSVR,0.2495078403409559,0.6426331864951402,0.3882585673823472,0.6978246953537017
Incongruent:log_TSVR,0.018914173655884933,0.08107109832918327,0.2333035328951054,0.8155257154432748
Age_c:Congruent,0.03729632722506784,0.024472786304546107,1.5239918643076455,0.1275107435314494
Age_c:Incongruent,-0.015521731181113173,0.024472786304545954,-0.6342445436313039,0.525921241874017
Age_c:Congruent:recip_TSVR,-0.0671066085739246,0.04366038043563288,-1.5370138304877519,0.12428992256064357
Age_c:Congruent:log_TSVR,-0.007418908192217046,0.005517790028347448,-1.3445434048962848,0.17877273044218733
Age_c:Incongruent:recip_TSVR,0.022329052319283494,0.04366038043563264,0.5114259678108539,0.6090528154205919
Age_c:Incongruent:log_TSVR,0.0034996318131417844,0.0055177900283474145,0.6342451951166269,0.5259208167715501
