composite_ID,UID,test,TSVR_hours,TEST,Days
A010_1,A010,1,1.0,1,0.041666666666666664
A010_2,A010,2,21.9,2,0.9125
A010_3,A010,3,80.88,3,3.3699999999999997
A010_4,A010,4,145.31,4,6.054583333333333
A011_1,A011,1,1.0,1,0.041666666666666664
A011_2,A011,2,24.57,2,1.02375
A011_3,A011,3,72.55,3,3.0229166666666667
A011_4,A011,4,148.85,4,6.202083333333333
A012_1,A012,1,1.0,1,0.041666666666666664
A012_2,A012,2,25.6,2,1.0666666666666667
A012_3,A012,3,166.33,3,6.930416666666667
A012_4,A012,4,166.87,4,6.952916666666667
A013_1,A013,1,1.0,1,0.041666666666666664
A013_2,A013,2,24.77,2,1.0320833333333332
A013_3,A013,3,79.66,3,3.3191666666666664
A013_4,A013,4,147.13,4,6.130416666666666
A014_1,A014,1,1.0,1,0.041666666666666664
A014_2,A014,2,25.66,2,1.0691666666666666
A014_3,A014,3,70.56,3,2.94
A014_4,A014,4,148.87,4,6.202916666666667
A015_1,A015,1,1.0,1,0.041666666666666664
A015_2,A015,2,23.69,2,0.9870833333333334
A015_3,A015,3,70.59,3,2.94125
A015_4,A015,4,146.54,4,6.105833333333333
A016_1,A016,1,1.0,1,0.041666666666666664
A016_2,A016,2,32.85,2,1.3687500000000001
A016_3,A016,3,80.64,3,3.36
A016_4,A016,4,150.8,4,6.283333333333334
A017_1,A017,1,1.0,1,0.041666666666666664
A017_2,A017,2,20.61,2,0.85875
A017_3,A017,3,61.28,3,2.5533333333333332
A017_4,A017,4,140.49,4,5.853750000000001
A018_1,A018,1,1.0,1,0.041666666666666664
A018_2,A018,2,34.03,2,1.4179166666666667
A018_3,A018,3,83.64,3,3.485
A018_4,A018,4,150.87,4,6.28625
A019_1,A019,1,1.0,1,0.041666666666666664
A019_2,A019,2,28.69,2,1.1954166666666668
A019_3,A019,3,83.68,3,3.486666666666667
A019_4,A019,4,154.76,4,6.448333333333333
A020_1,A020,1,1.0,1,0.041666666666666664
A020_2,A020,2,26.85,2,1.1187500000000001
A020_3,A020,3,78.25,3,3.2604166666666665
A020_4,A020,4,145.78,4,6.074166666666667
A021_1,A021,1,1.0,1,0.041666666666666664
A021_2,A021,2,30.21,2,1.25875
A021_3,A021,3,74.19,3,3.09125
A021_4,A021,4,140.39,4,5.8495833333333325
A022_1,A022,1,1.0,1,0.041666666666666664
A022_2,A022,2,24.15,2,1.0062499999999999
A022_3,A022,3,74.46,3,3.1024999999999996
A022_4,A022,4,141.71,4,5.904583333333334
A023_1,A023,1,1.0,1,0.041666666666666664
A023_2,A023,2,25.63,2,1.0679166666666666
A023_3,A023,3,72.2,3,3.0083333333333333
A023_4,A023,4,145.07,4,6.044583333333333
A024_1,A024,1,1.0,1,0.041666666666666664
A024_2,A024,2,29.57,2,1.2320833333333334
A024_3,A024,3,91.47,3,3.81125
A024_4,A024,4,145.65,4,6.0687500000000005
A025_1,A025,1,1.0,1,0.041666666666666664
A025_2,A025,2,23.33,2,0.9720833333333333
A025_3,A025,3,72.94,3,3.0391666666666666
A025_4,A025,4,137.74,4,5.739166666666667
A026_1,A026,1,1.0,1,0.041666666666666664
A026_2,A026,2,26.48,2,1.1033333333333333
A026_3,A026,3,75.46,3,3.1441666666666666
A026_4,A026,4,147.65,4,6.152083333333334
A027_1,A027,1,1.0,1,0.041666666666666664
A027_2,A027,2,28.26,2,1.1775
A027_3,A027,3,74.58,3,3.1075
A027_4,A027,4,145.92,4,6.079999999999999
A028_1,A028,1,1.0,1,0.041666666666666664
A028_2,A028,2,22.82,2,0.9508333333333333
A028_3,A028,3,72.26,3,3.0108333333333337
A028_4,A028,4,138.91,4,5.787916666666667
A029_1,A029,1,1.0,1,0.041666666666666664
A029_2,A029,2,28.43,2,1.1845833333333333
A029_3,A029,3,93.26,3,3.8858333333333337
A029_4,A029,4,143.14,4,5.964166666666666
A030_1,A030,1,1.0,1,0.041666666666666664
A030_2,A030,2,32.95,2,1.3729166666666668
A030_3,A030,3,71.93,3,2.9970833333333338
A030_4,A030,4,150.46,4,6.269166666666667
A031_1,A031,1,1.0,1,0.041666666666666664
A031_2,A031,2,32.41,2,1.3504166666666666
A031_3,A031,3,71.56,3,2.981666666666667
A031_4,A031,4,143.85,4,5.9937499999999995
A032_1,A032,1,1.0,1,0.041666666666666664
A032_2,A032,2,57.18,2,2.3825
A032_3,A032,3,80.16,3,3.34
A032_4,A032,4,144.51,4,6.021249999999999
A033_1,A033,1,1.0,1,0.041666666666666664
A033_2,A033,2,29.16,2,1.215
A033_3,A033,3,72.6,3,3.025
A033_4,A033,4,168.33,4,7.013750000000001
A034_1,A034,1,1.0,1,0.041666666666666664
A034_2,A034,2,26.08,2,1.0866666666666667
A034_3,A034,3,74.28,3,3.095
A034_4,A034,4,145.38,4,6.0575
A035_1,A035,1,1.0,1,0.041666666666666664
A035_2,A035,2,44.76,2,1.865
A035_3,A035,3,79.98,3,3.3325
A035_4,A035,4,152.47,4,6.352916666666666
A036_1,A036,1,1.0,1,0.041666666666666664
A036_2,A036,2,21.63,2,0.90125
A036_3,A036,3,71.47,3,2.9779166666666668
A036_4,A036,4,143.85,4,5.9937499999999995
A037_1,A037,1,1.0,1,0.041666666666666664
A037_2,A037,2,23.7,2,0.9874999999999999
A037_3,A037,3,72.08,3,3.0033333333333334
A037_4,A037,4,143.66,4,5.985833333333333
A038_1,A038,1,1.0,1,0.041666666666666664
A038_2,A038,2,71.85,2,2.99375
A038_3,A038,3,72.86,3,3.035833333333333
A038_4,A038,4,152.89,4,6.370416666666666
A039_1,A039,1,1.0,1,0.041666666666666664
A039_2,A039,2,28.65,2,1.1937499999999999
A039_3,A039,3,98.84,3,4.118333333333333
A039_4,A039,4,246.24,4,10.26
A040_1,A040,1,1.0,1,0.041666666666666664
A040_2,A040,2,26.26,2,1.0941666666666667
A040_3,A040,3,71.28,3,2.97
A040_4,A040,4,143.53,4,5.980416666666667
A041_1,A041,1,1.0,1,0.041666666666666664
A041_2,A041,2,31.78,2,1.3241666666666667
A041_3,A041,3,75.74,3,3.1558333333333333
A041_4,A041,4,141.84,4,5.91
A042_1,A042,1,1.0,1,0.041666666666666664
A042_2,A042,2,28.93,2,1.2054166666666666
A042_3,A042,3,72.17,3,3.0070833333333336
A042_4,A042,4,146.02,4,6.084166666666667
A043_1,A043,1,1.0,1,0.041666666666666664
A043_2,A043,2,25.62,2,1.0675000000000001
A043_3,A043,3,64.94,3,2.705833333333333
A043_4,A043,4,149.33,4,6.222083333333334
A044_1,A044,1,1.0,1,0.041666666666666664
A044_2,A044,2,47.66,2,1.9858333333333331
A044_3,A044,3,91.63,3,3.8179166666666666
A044_4,A044,4,155.27,4,6.4695833333333335
A045_1,A045,1,1.0,1,0.041666666666666664
A045_2,A045,2,24.66,2,1.0275
A045_3,A045,3,72.23,3,3.0095833333333335
A045_4,A045,4,151.52,4,6.3133333333333335
A046_1,A046,1,1.0,1,0.041666666666666664
A046_2,A046,2,24.32,2,1.0133333333333334
A046_3,A046,3,73.05,3,3.0437499999999997
A046_4,A046,4,147.94,4,6.164166666666667
A047_1,A047,1,1.0,1,0.041666666666666664
A047_2,A047,2,23.46,2,0.9775
A047_3,A047,3,76.85,3,3.202083333333333
A047_4,A047,4,144.22,4,6.009166666666666
A048_1,A048,1,1.0,1,0.041666666666666664
A048_2,A048,2,23.91,2,0.99625
A048_3,A048,3,81.15,3,3.38125
A048_4,A048,4,146.3,4,6.095833333333334
A049_1,A049,1,1.0,1,0.041666666666666664
A049_2,A049,2,27.12,2,1.1300000000000001
A049_3,A049,3,111.38,3,4.640833333333333
A049_4,A049,4,168.86,4,7.035833333333334
A050_1,A050,1,1.0,1,0.041666666666666664
A050_2,A050,2,24.73,2,1.0304166666666668
A050_3,A050,3,93.39,3,3.89125
A050_4,A050,4,148.69,4,6.195416666666667
A051_1,A051,1,1.0,1,0.041666666666666664
A051_2,A051,2,17.16,2,0.715
A051_3,A051,3,65.63,3,2.734583333333333
A051_4,A051,4,146.99,4,6.124583333333334
A052_1,A052,1,1.0,1,0.041666666666666664
A052_2,A052,2,31.76,2,1.3233333333333335
A052_3,A052,3,80.98,3,3.374166666666667
A052_4,A052,4,153.27,4,6.38625
A053_1,A053,1,1.0,1,0.041666666666666664
A053_2,A053,2,32.71,2,1.3629166666666668
A053_3,A053,3,78.28,3,3.2616666666666667
A053_4,A053,4,148.9,4,6.204166666666667
A054_1,A054,1,1.0,1,0.041666666666666664
A054_2,A054,2,16.9,2,0.7041666666666666
A054_3,A054,3,72.83,3,3.0345833333333334
A054_4,A054,4,136.83,4,5.701250000000001
A055_1,A055,1,1.0,1,0.041666666666666664
A055_2,A055,2,23.24,2,0.9683333333333333
A055_3,A055,3,74.48,3,3.1033333333333335
A055_4,A055,4,149.21,4,6.217083333333334
A056_1,A056,1,1.0,1,0.041666666666666664
A056_2,A056,2,33.61,2,1.4004166666666666
A056_3,A056,3,71.46,3,2.9774999999999996
A056_4,A056,4,147.84,4,6.16
A057_1,A057,1,1.0,1,0.041666666666666664
A057_2,A057,2,24.78,2,1.0325
A057_3,A057,3,73.83,3,3.07625
A057_4,A057,4,145.06,4,6.0441666666666665
A058_1,A058,1,1.0,1,0.041666666666666664
A058_2,A058,2,22.96,2,0.9566666666666667
A058_3,A058,3,66.28,3,2.7616666666666667
A058_4,A058,4,143.48,4,5.978333333333333
A059_1,A059,1,1.0,1,0.041666666666666664
A059_2,A059,2,30.4,2,1.2666666666666666
A059_3,A059,3,79.78,3,3.3241666666666667
A059_4,A059,4,151.93,4,6.330416666666667
A060_1,A060,1,1.0,1,0.041666666666666664
A060_2,A060,2,24.87,2,1.0362500000000001
A060_3,A060,3,94.68,3,3.9450000000000003
A060_4,A060,4,143.91,4,5.99625
A061_1,A061,1,1.0,1,0.041666666666666664
A061_2,A061,2,35.16,2,1.4649999999999999
A061_3,A061,3,82.55,3,3.439583333333333
A061_4,A061,4,146.56,4,6.1066666666666665
A062_1,A062,1,1.0,1,0.041666666666666664
A062_2,A062,2,44.69,2,1.8620833333333333
A062_3,A062,3,92.72,3,3.8633333333333333
A062_4,A062,4,149.18,4,6.215833333333333
A063_1,A063,1,1.0,1,0.041666666666666664
A063_2,A063,2,21.98,2,0.9158333333333334
A063_3,A063,3,69.99,3,2.91625
A063_4,A063,4,141.09,4,5.87875
A064_1,A064,1,1.0,1,0.041666666666666664
A064_2,A064,2,37.65,2,1.5687499999999999
A064_3,A064,3,82.99,3,3.4579166666666663
A064_4,A064,4,156.21,4,6.50875
A065_1,A065,1,1.0,1,0.041666666666666664
A065_2,A065,2,32.31,2,1.3462500000000002
A065_3,A065,3,106.41,3,4.43375
A065_4,A065,4,187.43,4,7.809583333333333
A066_1,A066,1,1.0,1,0.041666666666666664
A066_2,A066,2,23.35,2,0.9729166666666668
A066_3,A066,3,73.79,3,3.0745833333333334
A066_4,A066,4,164.93,4,6.872083333333333
A067_1,A067,1,1.0,1,0.041666666666666664
A067_2,A067,2,29.91,2,1.24625
A067_3,A067,3,73.19,3,3.049583333333333
A067_4,A067,4,144.19,4,6.007916666666667
A068_1,A068,1,1.0,1,0.041666666666666664
A068_2,A068,2,30.49,2,1.2704166666666665
A068_3,A068,3,82.98,3,3.4575
A068_4,A068,4,155.59,4,6.482916666666667
A069_1,A069,1,1.0,1,0.041666666666666664
A069_2,A069,2,24.96,2,1.04
A069_3,A069,3,79.75,3,3.3229166666666665
A069_4,A069,4,140.22,4,5.8425
A070_1,A070,1,1.0,1,0.041666666666666664
A070_2,A070,2,24.25,2,1.0104166666666667
A070_3,A070,3,81.92,3,3.4133333333333336
A070_4,A070,4,149.2,4,6.216666666666666
A071_1,A071,1,1.0,1,0.041666666666666664
A071_2,A071,2,30.92,2,1.2883333333333333
A071_3,A071,3,79.96,3,3.3316666666666666
A071_4,A071,4,153.27,4,6.38625
A072_1,A072,1,1.0,1,0.041666666666666664
A072_2,A072,2,33.76,2,1.4066666666666665
A072_3,A072,3,83.54,3,3.4808333333333334
A072_4,A072,4,154.89,4,6.453749999999999
A073_1,A073,1,1.0,1,0.041666666666666664
A073_2,A073,2,66.66,2,2.7775
A073_3,A073,3,66.9,3,2.7875
A073_4,A073,4,140.12,4,5.838333333333334
A074_1,A074,1,1.0,1,0.041666666666666664
A074_2,A074,2,29.33,2,1.2220833333333332
A074_3,A074,3,73.02,3,3.0425
A074_4,A074,4,147.21,4,6.13375
A075_1,A075,1,1.0,1,0.041666666666666664
A075_2,A075,2,28.68,2,1.195
A075_3,A075,3,71.37,3,2.9737500000000003
A075_4,A075,4,244.53,4,10.18875
A076_1,A076,1,1.0,1,0.041666666666666664
A076_2,A076,2,27.3,2,1.1375
A076_3,A076,3,74.88,3,3.1199999999999997
A076_4,A076,4,149.28,4,6.22
A077_1,A077,1,1.0,1,0.041666666666666664
A077_2,A077,2,53.88,2,2.245
A077_3,A077,3,78.36,3,3.265
A077_4,A077,4,149.75,4,6.239583333333333
A078_1,A078,1,1.0,1,0.041666666666666664
A078_2,A078,2,26.17,2,1.0904166666666668
A078_3,A078,3,72.3,3,3.0124999999999997
A078_4,A078,4,140.08,4,5.836666666666667
A079_1,A079,1,1.0,1,0.041666666666666664
A079_2,A079,2,26.11,2,1.0879166666666666
A079_3,A079,3,74.0,3,3.0833333333333335
A079_4,A079,4,194.42,4,8.100833333333332
A080_1,A080,1,1.0,1,0.041666666666666664
A080_2,A080,2,29.03,2,1.2095833333333335
A080_3,A080,3,72.87,3,3.0362500000000003
A080_4,A080,4,145.77,4,6.07375
