composite_ID,UID,TEST,TSVR_hours,theta,congruence,recip_TSVR,log_TSVR
A010_1,A010,1,1.0,1.6000581,common,0.5,0.6931471805599453
A010_2,A010,2,21.9,0.4028944,common,0.04366812227074236,3.131136910560194
A010_3,A010,3,80.88,-0.8561796,common,0.012212994626282366,4.405254760793088
A010_4,A010,4,145.31,-0.14796121,common,0.00683480281593876,4.985727658390071
A011_1,A011,1,1.0,0.5500402,common,0.5,0.6931471805599453
A011_2,A011,2,24.57,0.75908333,common,0.03910833007430583,3.2414197893030954
A011_3,A011,3,72.55,-0.6526953,common,0.013596193065941536,4.297965447047447
A011_4,A011,4,148.85,-0.6465008,common,0.0066733400066733405,5.009634793762673
A012_1,A012,1,1.0,0.48022103,common,0.5,0.6931471805599453
A012_2,A012,2,25.6,-0.25840938,common,0.03759398496240601,3.2809112157876537
A012_3,A012,3,166.33,0.65839624,common,0.005976214665630789,5.119967910506483
A012_4,A012,4,166.87,0.055890147,common,0.005956990528385059,5.123189870334323
A013_1,A013,1,1.0,-1.0432792,common,0.5,0.6931471805599453
A013_2,A013,2,24.77,-0.48492253,common,0.038804811796662786,3.2492110246642736
A013_3,A013,3,79.66,0.6412586,common,0.012397718819737169,4.390242789445222
A013_4,A013,4,147.13,-1.0111758,common,0.006750826976304598,4.998090266593961
A014_1,A014,1,1.0,0.1288651,common,0.5,0.6931471805599453
A014_2,A014,2,25.66,1.320731,common,0.037509377344336084,3.2831643147505627
A014_3,A014,3,70.56,0.48942116,common,0.01397428731134712,4.270536258640519
A014_4,A014,4,148.87,-0.78735405,common,0.006672449456195369,5.009768251656904
A015_1,A015,1,1.0,1.4246364,common,0.5,0.6931471805599453
A015_2,A015,2,23.69,1.1372008,common,0.04050222762251924,3.206398303357088
A015_3,A015,3,70.59,1.4038924,common,0.013968431345159939,4.270955399408094
A015_4,A015,4,146.54,-0.47030097,common,0.0067778229632641995,4.9940993254561565
A016_1,A016,1,1.0,1.3420854,common,0.5,0.6931471805599453
A016_2,A016,2,32.85,0.5615982,common,0.029542097488921712,3.521938999358284
A016_3,A016,3,80.64,0.17722866,common,0.01224889759921607,4.402319337941644
A016_4,A016,4,150.8,-0.875939,common,0.006587615283267457,5.02256386496153
A017_1,A017,1,1.0,-0.17695434,common,0.5,0.6931471805599453
A017_2,A017,2,20.61,0.741939,common,0.04627487274409996,3.0731561705187946
