congruence,TEST,TSVR_hours,measurement_type,observed_mean,CI_lower,CI_upper
common,1,1.0,CTT,0.6763157894736842,0.6428626939494029,0.7097688849979655
common,2,28.769699999999997,CTT,0.6402631578947369,0.6130188761698244,0.6675074396196493
common,3,78.6681,CTT,0.5786842105263158,0.5492158288927266,0.608152592159905
common,4,151.3752,CTT,0.5542105263157895,0.5223997493492896,0.5860213032822894
congruent,1,1.0,CTT,0.7373611111111111,0.7065746059943169,0.7681476162279054
congruent,2,28.769699999999997,CTT,0.6873611111111111,0.6579234157460687,0.7167988064761535
congruent,3,78.6681,CTT,0.6263888888888889,0.5913123078735213,0.6614654699042565
congruent,4,151.3752,CTT,0.5786111111111112,0.5488428671433977,0.6083793550788247
incongruent,1,1.0,CTT,0.6813461538461538,0.647854115919109,0.7148381917731986
incongruent,2,28.769699999999997,CTT,0.595,0.5603639053233506,0.6296360946766494
incongruent,3,78.6681,CTT,0.548076923076923,0.5112336891823732,0.5849201569714728
incongruent,4,151.3752,CTT,0.5075,0.4682269422203975,0.5467730577796024
common,1,1.0,IRT,0.4503074536284,0.2808539631975189,0.6197609440592812
common,2,28.769699999999997,IRT,0.12363380772999999,-0.021459755526312463,0.26872737098631244
common,3,78.6681,IRT,-0.21206019691000003,-0.3666312889090725,-0.05748910491092754
common,4,151.3752,IRT,-0.38234995,-0.5366449246249358,-0.22805497537506414
congruent,1,1.0,IRT,0.42235946163,0.24231377262007042,0.6024051506399295
congruent,2,28.769699999999997,IRT,0.15300164050999998,0.0017335085778443227,0.30426977244215564
congruent,3,78.6681,IRT,-0.11605776302999998,-0.2798575326514574,0.04774200659145747
congruent,4,151.3752,IRT,-0.39780559344000005,-0.5455271936344745,-0.25008399324552555
incongruent,1,1.0,IRT,0.504491134042,0.35946925300796795,0.649513015076032
incongruent,2,28.769699999999997,IRT,0.09588889233000002,-0.05497280001815698,0.24675058467815703
incongruent,3,78.6681,IRT,-0.16689361399,-0.3265044078018702,-0.007282820178129812
incongruent,4,151.3752,IRT,-0.39877979316,-0.559555571090265,-0.23800401522973505
