UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A010,A010_1,1,Common,1.6000581,0.1962873223365104,1.0,1.0,0.6931471805599453
A010,A010_1,1,Congruent,2.3352752,0.2061241640685505,1.0,1.0,0.6931471805599453
A010,A010_1,1,Incongruent,1.8495548,0.2365098342133737,1.0,1.0,0.6931471805599453
A010,A010_2,2,Common,0.4028944,0.1962873223365104,21.9,479.61,3.131136910560194
A010,A010_2,2,Congruent,0.42396438,0.2061241640685505,21.9,479.61,3.131136910560194
A010,A010_2,2,Incongruent,-0.015681326,0.2365098342133737,21.9,479.61,3.131136910560194
A010,A010_3,3,Common,-0.8561796,0.1962873223365104,80.88,6541.5744,4.405254760793088
A010,A010_3,3,Congruent,-0.40273643,0.2061241640685505,80.88,6541.5744,4.405254760793088
A010,A010_3,3,Incongruent,-0.78981763,0.2365098342133737,80.88,6541.5744,4.405254760793088
A010,A010_4,4,Common,-0.14796121,0.1962873223365104,145.31,21114.9961,4.985727658390071
A010,A010_4,4,Congruent,0.304145,0.2061241640685505,145.31,21114.9961,4.985727658390071
A010,A010_4,4,Incongruent,1.004755,0.2365098342133737,145.31,21114.9961,4.985727658390071
A011,A011_1,1,Common,0.5500402,0.1962873223365104,1.0,1.0,0.6931471805599453
A011,A011_1,1,Congruent,0.73472494,0.2061241640685505,1.0,1.0,0.6931471805599453
A011,A011_1,1,Incongruent,0.927548,0.2365098342133737,1.0,1.0,0.6931471805599453
A011,A011_2,2,Common,0.75908333,0.1962873223365104,24.57,603.6849,3.241419789303096
A011,A011_2,2,Congruent,-0.6467364,0.2061241640685505,24.57,603.6849,3.241419789303096
A011,A011_2,2,Incongruent,-0.1538848,0.2365098342133737,24.57,603.6849,3.241419789303096
A011,A011_3,3,Common,-0.6526953,0.1962873223365104,72.55,5263.5025,4.297965447047447
A011,A011_3,3,Congruent,0.063042305,0.2061241640685505,72.55,5263.5025,4.297965447047447
A011,A011_3,3,Incongruent,-0.42125666,0.2365098342133737,72.55,5263.5025,4.297965447047447
A011,A011_4,4,Common,-0.6465008,0.1962873223365104,148.85,22156.3225,5.009634793762673
A011,A011_4,4,Congruent,-0.5131098,0.2061241640685505,148.85,22156.3225,5.009634793762673
A011,A011_4,4,Incongruent,-0.32422063,0.2365098342133737,148.85,22156.3225,5.009634793762673
A012,A012_1,1,Common,0.48022103,0.1962873223365104,1.0,1.0,0.6931471805599453
A012,A012_1,1,Congruent,0.5804523,0.2061241640685505,1.0,1.0,0.6931471805599453
A012,A012_1,1,Incongruent,0.6927246,0.2365098342133737,1.0,1.0,0.6931471805599453
A012,A012_2,2,Common,-0.25840938,0.1962873223365104,25.6,655.3600000000001,3.2809112157876537
A012,A012_2,2,Congruent,-0.22893,0.2061241640685505,25.6,655.3600000000001,3.2809112157876537
A012,A012_2,2,Incongruent,0.033447273,0.2365098342133737,25.6,655.3600000000001,3.2809112157876537
A012,A012_3,3,Common,0.65839624,0.1962873223365104,166.33,27665.668900000004,5.119967910506483
A012,A012_3,3,Congruent,-0.01893545,0.2061241640685505,166.33,27665.668900000004,5.119967910506483
A012,A012_3,3,Incongruent,1.1025593,0.2365098342133737,166.33,27665.668900000004,5.119967910506483
A012,A012_4,4,Common,0.055890147,0.1962873223365104,166.87,27845.5969,5.123189870334323
A012,A012_4,4,Congruent,-1.0322822,0.2061241640685505,166.87,27845.5969,5.123189870334323
A012,A012_4,4,Incongruent,-1.1840969,0.2365098342133737,166.87,27845.5969,5.123189870334323
A013,A013_1,1,Common,-1.0432792,0.1962873223365104,1.0,1.0,0.6931471805599453
A013,A013_1,1,Congruent,0.5701073,0.2061241640685505,1.0,1.0,0.6931471805599453
A013,A013_1,1,Incongruent,-0.16505142,0.2365098342133737,1.0,1.0,0.6931471805599453
A013,A013_2,2,Common,-0.48492253,0.1962873223365104,24.77,613.5529,3.2492110246642736
A013,A013_2,2,Congruent,-1.0367917,0.2061241640685505,24.77,613.5529,3.2492110246642736
A013,A013_2,2,Incongruent,-0.6667165,0.2365098342133737,24.77,613.5529,3.2492110246642736
A013,A013_3,3,Common,0.6412586,0.1962873223365104,79.66,6345.7156,4.390242789445222
A013,A013_3,3,Congruent,1.4323087,0.2061241640685505,79.66,6345.7156,4.390242789445222
A013,A013_3,3,Incongruent,1.194037,0.2365098342133737,79.66,6345.7156,4.390242789445222
A013,A013_4,4,Common,-1.0111758,0.1962873223365104,147.13,21647.2369,4.998090266593961
A013,A013_4,4,Congruent,-1.1159241,0.2061241640685505,147.13,21647.2369,4.998090266593961
A013,A013_4,4,Incongruent,-1.192921,0.2365098342133737,147.13,21647.2369,4.998090266593961
A014,A014_1,1,Common,0.1288651,0.1962873223365104,1.0,1.0,0.6931471805599453
A014,A014_1,1,Congruent,0.53654695,0.2061241640685505,1.0,1.0,0.6931471805599453
A014,A014_1,1,Incongruent,0.27505073,0.2365098342133737,1.0,1.0,0.6931471805599453
A014,A014_2,2,Common,1.320731,0.1962873223365104,25.66,658.4356,3.2831643147505627
A014,A014_2,2,Congruent,-0.2694951,0.2061241640685505,25.66,658.4356,3.2831643147505627
A014,A014_2,2,Incongruent,1.0895128,0.2365098342133737,25.66,658.4356,3.2831643147505627
A014,A014_3,3,Common,0.48942116,0.1962873223365104,70.56,4978.7136,4.270536258640519
A014,A014_3,3,Congruent,0.38656035,0.2061241640685505,70.56,4978.7136,4.270536258640519
A014,A014_3,3,Incongruent,-0.10083751,0.2365098342133737,70.56,4978.7136,4.270536258640519
A014,A014_4,4,Common,-0.78735405,0.1962873223365104,148.87,22162.2769,5.009768251656904
A014,A014_4,4,Congruent,-0.7313914,0.2061241640685505,148.87,22162.2769,5.009768251656904
A014,A014_4,4,Incongruent,-0.9997553,0.2365098342133737,148.87,22162.2769,5.009768251656904
A015,A015_1,1,Common,1.4246364,0.1962873223365104,1.0,1.0,0.6931471805599453
A015,A015_1,1,Congruent,1.073113,0.2061241640685505,1.0,1.0,0.6931471805599453
A015,A015_1,1,Incongruent,1.1283869,0.2365098342133737,1.0,1.0,0.6931471805599453
A015,A015_2,2,Common,1.1372008,0.1962873223365104,23.69,561.2161000000001,3.206398303357088
A015,A015_2,2,Congruent,1.3152177,0.2061241640685505,23.69,561.2161000000001,3.206398303357088
A015,A015_2,2,Incongruent,1.361513,0.2365098342133737,23.69,561.2161000000001,3.206398303357088
A015,A015_3,3,Common,1.4038924,0.1962873223365104,70.59,4982.9481000000005,4.270955399408094
A015,A015_3,3,Congruent,1.4822278,0.2061241640685505,70.59,4982.9481000000005,4.270955399408094
A015,A015_3,3,Incongruent,1.3649361,0.2365098342133737,70.59,4982.9481000000005,4.270955399408094
A015,A015_4,4,Common,-0.47030097,0.1962873223365104,146.54,21473.9716,4.9940993254561565
A015,A015_4,4,Congruent,-0.32867005,0.2061241640685505,146.54,21473.9716,4.9940993254561565
A015,A015_4,4,Incongruent,0.19643967,0.2365098342133737,146.54,21473.9716,4.9940993254561565
A016,A016_1,1,Common,1.3420854,0.1962873223365104,1.0,1.0,0.6931471805599453
A016,A016_1,1,Congruent,1.291089,0.2061241640685505,1.0,1.0,0.6931471805599453
A016,A016_1,1,Incongruent,1.2802452,0.2365098342133737,1.0,1.0,0.6931471805599453
A016,A016_2,2,Common,0.5615982,0.1962873223365104,32.85,1079.1225000000002,3.521938999358284
A016,A016_2,2,Congruent,1.5499188,0.2061241640685505,32.85,1079.1225000000002,3.521938999358284
A016,A016_2,2,Incongruent,1.489516,0.2365098342133737,32.85,1079.1225000000002,3.521938999358284
A016,A016_3,3,Common,0.17722866,0.1962873223365104,80.64,6502.8096000000005,4.402319337941644
A016,A016_3,3,Congruent,-1.2432284,0.2061241640685505,80.64,6502.8096000000005,4.402319337941644
A016,A016_3,3,Incongruent,0.26608974,0.2365098342133737,80.64,6502.8096000000005,4.402319337941644
A016,A016_4,4,Common,-0.875939,0.1962873223365104,150.8,22740.640000000003,5.02256386496153
A016,A016_4,4,Congruent,-1.4394764,0.2061241640685505,150.8,22740.640000000003,5.02256386496153
A016,A016_4,4,Incongruent,-0.3671518,0.2365098342133737,150.8,22740.640000000003,5.02256386496153
A017,A017_1,1,Common,-0.17695434,0.1962873223365104,1.0,1.0,0.6931471805599453
A017,A017_1,1,Congruent,-0.758377,0.2061241640685505,1.0,1.0,0.6931471805599453
A017,A017_1,1,Incongruent,-0.49409226,0.2365098342133737,1.0,1.0,0.6931471805599453
A017,A017_2,2,Common,0.741939,0.1962873223365104,20.61,424.7721,3.073156170518794
A017,A017_2,2,Congruent,0.2569686,0.2061241640685505,20.61,424.7721,3.073156170518794
A017,A017_2,2,Incongruent,1.3314309,0.2365098342133737,20.61,424.7721,3.073156170518794
A017,A017_3,3,Common,0.18003759,0.1962873223365104,61.28,3755.2384,4.131640346965797
A017,A017_3,3,Congruent,-0.52562934,0.2061241640685505,61.28,3755.2384,4.131640346965797
A017,A017_3,3,Incongruent,0.57876515,0.2365098342133737,61.28,3755.2384,4.131640346965797
A017,A017_4,4,Common,0.4956496,0.1962873223365104,140.49,19737.440100000003,4.952229043207861
A017,A017_4,4,Congruent,0.04020235,0.2061241640685505,140.49,19737.440100000003,4.952229043207861
A017,A017_4,4,Incongruent,0.9919836,0.2365098342133737,140.49,19737.440100000003,4.952229043207861
A018,A018_1,1,Common,1.0604457,0.1962873223365104,1.0,1.0,0.6931471805599453
A018,A018_1,1,Congruent,1.5102456,0.2061241640685505,1.0,1.0,0.6931471805599453
A018,A018_1,1,Incongruent,0.6507261,0.2365098342133737,1.0,1.0,0.6931471805599453
A018,A018_2,2,Common,-0.07882557,0.1962873223365104,34.03,1158.0409,3.5562048372093957
