UID,congruence,Total_Intercept,Total_Slope
A010,Common,0.1373135516491902,8.773023504409006e-05
A011,Common,-0.010817061863884293,-6.917869972241978e-06
A012,Common,0.235672142014833,0.00015060386710267723
A013,Common,-0.2798697467696096,-0.00017881845613262963
A014,Common,0.15997691320951163,0.00010221375988126289
A015,Common,0.5046025018106288,0.00032241303858020925
A016,Common,0.17777275134309883,0.00011357866399640276
A017,Common,0.16830355314960627,0.0001075489929295038
A018,Common,0.06848767773495777,4.3763330897777814e-05
A019,Common,-0.3710718160844401,-0.00023709288206171986
A020,Common,-0.16646418051943898,-0.00010637910714716638
A021,Common,0.35987709415386443,0.00022995600206329714
A022,Common,0.05410379291318678,3.4583148935548374e-05
A023,Common,0.18256599589538583,0.00011666155725033252
A024,Common,-0.020041643363582773,-1.2809745719538605e-05
A025,Common,0.25861403027758834,0.0001652337757421926
A026,Common,0.015498441725320262,9.908003329207279e-06
A027,Common,-0.03854903514492207,-2.4631976831137657e-05
A028,Common,0.02783793732689706,1.7777038497777434e-05
A029,Common,0.5661495825964226,0.0003617484801361752
A030,Common,0.2209111074988307,0.00014116033953566308
A031,Common,0.16015694233585925,0.0001023218198974431
A032,Common,0.40182502628158523,0.00025676775704636313
A033,Common,-0.02842840446717404,-1.815200809697757e-05
A034,Common,0.2933172439208885,0.00018741271345070243
A035,Common,-0.1476413489540745,-9.433637195977221e-05
A036,Common,-0.15326926758411702,-9.793933427578446e-05
A037,Common,0.3905517585884466,0.00024954332905895827
A038,Common,0.4104908613247562,0.00026229254137745953
A039,Common,0.5783823963836218,0.0003695610461855256
A040,Common,-0.562622294969077,-0.0003594845462936203
A041,Common,-0.007384542008255187,-4.715992786373063e-06
A042,Common,-0.43067305824646696,-0.00027518061979904236
A043,Common,0.168536261382333,0.00010768892317724417
A044,Common,-0.2347918892592464,-0.00015002627841162914
A045,Common,-0.16152132198614821,-0.00010320070014763845
A046,Common,-0.7733615977945255,-0.0004941495841974282
A047,Common,-0.34274169982921127,-0.0002190058849997174
A048,Common,0.1167961136966558,7.463566338971276e-05
A049,Common,0.3675521857079784,0.00023485862894838432
A050,Common,-0.29966095949899324,-0.00019146627862876188
A051,Common,-0.039112253784564385,-2.498969730633658e-05
A052,Common,0.06932792309784107,4.4302084962917104e-05
A053,Common,0.14647611592981777,9.358462735738391e-05
A054,Common,0.4090440985717295,0.00026137676875077393
A055,Common,-0.3936394743331592,-0.0002515226411719579
A056,Common,-0.12947535926886106,-8.273720067597646e-05
A057,Common,-0.5497567593015672,-0.00035127653551095885
A058,Common,-0.16765271986789682,-0.00010712602463303769
A059,Common,0.5986832200565144,0.00038253921672633126
A060,Common,0.08580348904110731,5.4834604464652604e-05
A061,Common,0.30414612507956185,0.00019432259810969168
A062,Common,-0.10415444042848403,-6.657245941759868e-05
A063,Common,0.16888876980362957,0.0001079025611072904
A064,Common,0.21506401600011096,0.0001374062099005185
A065,Common,-0.7167795295993853,-0.0004580054812493979
A066,Common,-0.15451565211728877,-9.873383896165226e-05
A067,Common,-0.5397627250586743,-0.0003448939739608817
A068,Common,0.21696509744725773,0.00013862774861782076
A069,Common,-0.39089013954176277,-0.0002497554275897156
A070,Common,-0.0038835864644075286,-2.489576631906639e-06
A071,Common,0.30288855199035014,0.00019353676351999033
A072,Common,0.23004217711787903,0.00014698620675739326
A073,Common,0.4487995829690137,0.00028677755213021074
A074,Common,-0.278387833780657,-0.00017789335799752893
A075,Common,-0.0035595576448744512,-2.274358446328783e-06
A076,Common,-0.5056052402900458,-0.00032307264171414367
A077,Common,-0.028755729427045518,-1.838183048579028e-05
A078,Common,-0.5445913637934494,-0.00034796913606361155
A079,Common,-0.2465321517511781,-0.00015751618909416065
A080,Common,0.21895995192526557,0.00013991276038763064
A081,Common,-0.019352771448321385,-1.235542158962497e-05
A082,Common,0.13244188821910005,8.46308294016173e-05
A083,Common,0.07148518427968598,4.566979951279387e-05
A084,Common,0.09444279488172538,6.033965082623024e-05
A085,Common,0.12545570010966584,8.016663178273471e-05
A086,Common,-0.019640812465375676,-1.2543099427609815e-05
A087,Common,0.4241740257343419,0.00027104070055165234
A088,Common,0.9818613570181808,0.0006273868613591631
A089,Common,0.2075730108370241,0.00013262180630069792
A090,Common,-0.3222794305387494,-0.00020592431235613365
A091,Common,-0.17309264557394619,-0.00011060642480681039
A092,Common,-0.5752671332693743,-0.00036757071881893797
A093,Common,0.28104509604021416,0.00017957777079129848
A094,Common,-0.41618584472531184,-0.00026592944037096195
A095,Common,0.2197922286912245,0.00014043237606609093
A096,Common,-0.6522941014413536,-0.0004168031357895704
A097,Common,0.058121529852115626,3.714585621516271e-05
A098,Common,0.04813680922210288,3.075878616853811e-05
A099,Common,0.24763830711536272,0.00015824177367241326
A100,Common,0.25898706136917443,0.0001654818288985128
A101,Common,-0.5082487599798077,-0.0003247451530459644
A102,Common,-0.18045947888052294,-0.00011530114541447348
A103,Common,-0.2541188529124317,-0.00016237174638872033
A104,Common,0.1702191065919018,0.00010874637335343941
A105,Common,0.0711506252382783,4.5462826477722244e-05
A106,Common,0.33841885745738387,0.00021624531841041693
A107,Common,-0.44711436280071903,-0.00028567989806873494
A108,Common,-0.3470532520652385,-0.00022175328729340038
A109,Common,-0.430256733712119,-0.00027491975729236205
A010,Congruent,0.5238555321174045,-0.001898914397167797
A011,Congruent,-0.08393479260205387,0.00018935573765721056
A012,Congruent,-0.04399903291129307,8.870709453019752e-05
A013,Congruent,-0.040818019258473635,7.612214674250567e-05
A014,Congruent,-0.014664639234332352,-0.00014438282886302235
A015,Congruent,0.6513200315086944,-0.0020593640046827665
A016,Congruent,0.2657395555010465,-0.0025774131206368228
A017,Congruent,-0.3108785422747779,0.0015841313532521685
A018,Congruent,0.24817269285358165,-0.0009197487284521398
A019,Congruent,-0.6437961744713696,0.001787411760664977
A020,Congruent,-0.478602342447307,-0.00034804124508338273
A021,Congruent,0.45146084798403724,-0.001622979588153385
A022,Congruent,0.35788838842225096,0.00015645026153934076
A023,Congruent,-0.1464095032201474,0.0018103403539548879
A024,Congruent,0.05103775564976602,-0.0005653872936852581
A025,Congruent,0.4524220812355816,-0.0017686994989856905
A026,Congruent,0.38119614488978687,-0.0008941244566573083
A027,Congruent,-0.06350166693333924,9.605741882235733e-05
A028,Congruent,0.07444844599307132,-0.0002991937064006996
A029,Congruent,0.41161275565825983,-0.0003109204560181639
A030,Congruent,0.23102466733085292,0.0002677083487562432
A031,Congruent,-0.1751473955541548,0.00020064150468692476
A032,Congruent,0.2695109490067519,0.0014373086678405882
A033,Congruent,0.07577414086333724,0.0004901089040029059
A034,Congruent,0.3324799217785757,-0.001091296196699871
A035,Congruent,-0.15459367028217824,0.0007547640133267329
A036,Congruent,0.040540857960391856,-0.0007273782716353972
A037,Congruent,0.10743518321578559,-0.0002769364734348063
A038,Congruent,-0.01693189974140484,-0.000194442308939349
A039,Congruent,0.33501949045827023,0.0006460278661190694
A040,Congruent,-0.5853054908458177,0.0019098718898646495
A041,Congruent,0.23204132873512898,-0.00043145858262205554
A042,Congruent,-0.6660961562869564,0.001940132909064048
A043,Congruent,-0.06476755445030236,0.001015005998919406
A044,Congruent,-0.32933356068489344,0.0005677773652699343
A045,Congruent,-0.3664786920189681,0.0008024198308009358
A046,Congruent,-0.8972259888590363,0.002832558256798269
A047,Congruent,-0.6041081775679447,0.0018312943398307684
A048,Congruent,0.5638424553768572,-0.0021392605234544703
A049,Congruent,0.5552495232866018,-0.000549864206590004
A050,Congruent,-0.4689206470195685,0.0015398063083380267
A051,Congruent,0.2463696646192888,-0.0008490051363522291
A052,Congruent,-0.07822166595818027,0.0001202112089405763
A053,Congruent,0.2398739572310322,-0.0015568277332154972
A054,Congruent,0.27937712559368244,0.000518676754218041
A055,Congruent,-0.1347550280827604,-0.00015285667123188387
A056,Congruent,0.15118333252858443,-0.0015720144806321364
A057,Congruent,-0.3506031297755869,0.0009477402994566426
A058,Congruent,0.08416639413539512,-0.0011422108792998832
A059,Congruent,0.16784413405110052,0.0004119435276152973
A060,Congruent,0.06247941401342431,0.0007162394687950199
A061,Congruent,0.46089575714539466,-0.0018732146699940884
A062,Congruent,-0.19358545301828892,0.0003380163498872294
A063,Congruent,0.1886379359641579,-0.001374908440083989
A064,Congruent,0.1374442699063272,-0.00016141365106381065
A065,Congruent,-0.676973275332177,0.0009135182200310503
