item_tag,factor,a,b
TQ_ICR-D-i1,destination,0.25262392,1.7118206024169922
TQ_ICR-D-i2,destination,0.6277182,1.4646079540252686
TQ_ICR-D-i3,destination,0.94054604,0.5989758968353271
TQ_ICR-D-i4,destination,0.2341487,3.8706793785095215
TQ_ICR-D-i5,destination,1.0573324,1.3856407403945923
TQ_ICR-D-i6,destination,2.4110913,0.6635138988494873
TQ_ICR-U-i1,source,1.7712778,-0.26374539732933044
TQ_ICR-U-i2,source,0.9442511,-0.9671791791915894
TQ_ICR-U-i3,source,1.3479853,-0.6291189789772034
TQ_ICR-U-i4,source,0.62136954,-0.8805594444274902
TQ_ICR-U-i5,source,2.0655346,-0.11038040369749069
TQ_ICR-U-i6,source,0.9022526,-0.5766612887382507
TQ_IFR-D-i2,destination,0.42170608,2.147585391998291
TQ_IFR-D-i3,destination,1.0213945,0.6520361304283142
TQ_IFR-D-i5,destination,0.67865807,1.0923010110855103
TQ_IFR-D-i6,destination,0.43768713,2.5494065284729004
TQ_IFR-U-i1,source,1.0835482,-0.04498031362891197
TQ_IFR-U-i2,source,0.72824633,-0.23759987950325012
TQ_IFR-U-i3,source,0.7543432,-0.12645141780376434
TQ_IFR-U-i5,source,0.9143595,0.31626689434051514
TQ_IFR-U-i6,source,0.44646487,0.39646029472351074
TQ_IRE-D-i1,destination,0.38807127,1.275908350944519
TQ_IRE-D-i2,destination,0.5360866,1.360403060913086
TQ_IRE-D-i3,destination,1.1254405,0.343008816242218
TQ_IRE-D-i5,destination,1.0085524,0.8169628977775574
TQ_IRE-D-i6,destination,1.9561986,0.6334909200668335
TQ_IRE-U-i1,source,1.5225234,-0.4329855740070343
TQ_IRE-U-i2,source,0.86839944,-1.4636021852493286
TQ_IRE-U-i3,source,1.5611244,-0.6137582659721375
TQ_IRE-U-i4,source,0.6265609,-0.8743471503257751
TQ_IRE-U-i5,source,1.7283512,-0.25720420479774475
TQ_IRE-U-i6,source,0.7512084,-0.9321424961090088
