UID,test,LocationType,theta,se,TSVR_hours,Segment,Days_within,theta_model_averaged
A010,1,Source,1.623562,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A010,2,Source,0.09898508,0.5,21.9,Early,0.9125,0.17398487697125617
A010,3,Source,-0.5057274,0.5,80.88,Late,1.1249999999999998,-0.16687870103705446
A010,4,Source,0.5918101,0.5,145.31,Late,3.8095833333333338,-0.37539225948531707
A011,1,Source,0.12731029,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A011,2,Source,-0.20856883,0.5,24.57,Early,1.02375,0.15179889046662803
A011,3,Source,-0.8450841,0.5,72.55,Late,0.7779166666666665,-0.13101283073522152
A011,4,Source,-0.13091515,0.5,148.85,Late,3.957083333333333,-0.3840424314424582
A012,1,Source,1.0843484,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A012,2,Source,-0.13956255,0.5,25.6,Early,1.0666666666666669,0.14344999301466443
A012,3,Source,1.1480632,0.5,166.33,Late,4.685416666666668,-0.42317198986626514
A012,4,Source,-0.95036143,0.5,166.87,Late,4.707916666666667,-0.42429637495093236
A013,1,Source,-0.15501398,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A013,2,Source,-0.8239752,0.5,24.77,Early,1.0320833333333332,0.15017774533032444
A013,3,Source,0.5210637,0.5,79.66,Late,1.0741666666666665,-0.16178998061781535
A013,4,Source,-1.5770361,0.5,147.13,Late,3.8854166666666665,-0.37988056447196006
A014,1,Source,0.47304404,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A014,2,Source,1.1207099,0.5,25.66,Early,1.0691666666666666,0.14296364947377338
A014,3,Source,0.04152508,0.5,70.56,Late,0.695,-0.12203492246826113
A014,4,Source,-1.1226914,0.5,148.87,Late,3.957916666666667,-0.38409082524444077
A015,1,Source,1.200968,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A015,2,Source,1.5226954,0.5,23.69,Early,0.9870833333333334,0.15893192906636391
A015,3,Source,1.1774372,0.5,70.59,Late,0.69625,-0.12217026781901932
A015,4,Source,-0.10652651,0.5,146.54,Late,3.860833333333333,-0.37842959048648905
A016,1,Source,1.356192,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A016,2,Source,1.3373035,0.5,32.85,Early,1.36875,0.08929463749451827
A016,3,Source,-0.013329637,0.5,80.64,Late,1.115,-0.16588700812682122
A016,4,Source,-1.0709041,0.5,150.8,Late,4.038333333333334,-0.3886962709803486
A017,1,Source,-0.2286647,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A017,2,Source,0.8418083,0.5,20.61,Early,0.85875,0.18503634366974042
A017,3,Source,0.1830041,0.5,61.28,Late,0.3083333333333333,-0.0778506344488729
A017,4,Source,1.0870038,0.5,140.49,Late,3.608750000000001,-0.3632063081853862
A018,1,Source,0.9366276,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A018,2,Source,0.34145153,0.5,34.03,Early,1.4179166666666667,0.08109134083069348
A018,3,Source,-0.39613545,0.5,83.64,Late,1.24,-0.1781990799446011
A018,4,Source,0.23495352,0.5,150.87,Late,4.041250000000001,-0.3888622132338545
A019,1,Source,-0.8907665,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A019,2,Source,-0.8944451,0.5,28.69,Early,1.1954166666666668,0.11959369130732043
A019,3,Source,-0.5290039,0.5,83.68,Late,1.241666666666667,-0.1783609063609586
A019,4,Source,-1.2386124,0.5,154.76,Late,4.203333333333333,-0.3979323867878417
A020,1,Source,0.35700476,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A020,2,Source,0.35810092,0.5,26.85,Early,1.11875,0.13370798927562033
A020,3,Source,-0.56137884,0.5,78.25,Late,1.0154166666666666,-0.15583756849890756
A020,4,Source,-1.6343551,0.5,145.78,Late,3.829166666666667,-0.37655286564023643
A021,1,Source,1.2139407,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A021,2,Source,-0.017297959,0.5,30.21,Early,1.25875,0.10829539957215145
A021,3,Source,0.36036015,0.5,74.19,Late,0.8462499999999998,-0.13826875438589467
A021,4,Source,1.0062183,0.5,140.39,Late,3.604583333333333,-0.36294924334468026
A022,1,Source,0.1581856,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A022,2,Source,0.90218073,0.5,24.15,Early,1.00625,0.15520329525286564
A022,3,Source,0.64592147,0.5,74.46,Late,0.8574999999999996,-0.13945972525730252
A022,4,Source,0.74378496,0.5,141.71,Late,3.659583333333334,-0.366342499241998
A023,1,Source,0.8170031,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A023,2,Source,0.5076978,0.5,25.63,Early,1.0679166666666666,0.14320682124421893
