composite_ID,theta_source,theta_destination,se_source,se_destination
A010_1,1.623562,2.010915,0.5,0.5
A010_2,0.09898508,1.0975147,0.5,0.5
A010_3,-0.5057274,-1.186541,0.5,0.5
A010_4,0.5918101,-0.4293288,0.5,0.5
A011_1,0.12731029,1.1835473,0.5,0.5
A011_2,-0.20856883,0.07751111,0.5,0.5
A011_3,-0.8450841,-0.5014456,0.5,0.5
A011_4,-0.13091515,-0.84890825,0.5,0.5
A012_1,1.0843484,0.33868304,0.5,0.5
A012_2,-0.13956255,-1.1255839,0.5,0.5
A012_3,1.1480632,0.09193352,0.5,0.5
A012_4,-0.95036143,-0.9537699,0.5,0.5
A013_1,-0.15501398,-0.035398606,0.5,0.5
A013_2,-0.8239752,-0.3057711,0.5,0.5
A013_3,0.5210637,0.9779469,0.5,0.5
A013_4,-1.5770361,-0.066024296,0.5,0.5
A014_1,0.47304404,0.7553257,0.5,0.5
A014_2,1.1207099,-0.4665811,0.5,0.5
A014_3,0.04152508,0.12054519,0.5,0.5
A014_4,-1.1226914,-0.5400671,0.5,0.5
A015_1,1.200968,1.0023323,0.5,0.5
A015_2,1.5226954,1.4194467,0.5,0.5
A015_3,1.1774372,0.24626894,0.5,0.5
A015_4,-0.10652651,-0.43521827,0.5,0.5
A016_1,1.356192,1.7207321,0.5,0.5
A016_2,1.3373035,1.479976,0.5,0.5
A016_3,-0.013329637,-0.6975632,0.5,0.5
A016_4,-1.0709041,-0.8562173,0.5,0.5
A017_1,-0.2286647,-0.15520337,0.5,0.5
A017_2,0.8418083,0.41041905,0.5,0.5
A017_3,0.1830041,0.22881152,0.5,0.5
A017_4,1.0870038,-0.7611534,0.5,0.5
A018_1,0.9366276,1.5116286,0.5,0.5
A018_2,0.34145153,0.4516168,0.5,0.5
A018_3,-0.39613545,-0.5255531,0.5,0.5
A018_4,0.23495352,-0.6034264,0.5,0.5
A019_1,-0.8907665,-1.1137557,0.5,0.5
A019_2,-0.8944451,0.2184492,0.5,0.5
A019_3,-0.5290039,-0.34441203,0.5,0.5
A019_4,-1.2386124,-0.9084577,0.5,0.5
A020_1,0.35700476,-0.39048332,0.5,0.5
A020_2,0.35810092,0.15357906,0.5,0.5
A020_3,-0.56137884,-0.33567235,0.5,0.5
A020_4,-1.6343551,-1.1523182,0.5,0.5
A021_1,1.2139407,0.64160866,0.5,0.5
A021_2,-0.017297959,0.47721207,0.5,0.5
A021_3,0.36036015,-0.59433186,0.5,0.5
A021_4,1.0062183,-0.99789435,0.5,0.5
A022_1,0.1581856,-0.42679092,0.5,0.5
A022_2,0.90218073,-0.60329264,0.5,0.5
A022_3,0.64592147,-0.09910751,0.5,0.5
