composite_ID,UID,test,TSVR_hours
A010_1,A010,1,1.0
A010_2,A010,2,21.9
A010_3,A010,3,80.88
A010_4,A010,4,145.31
A011_1,A011,1,1.0
A011_2,A011,2,24.57
A011_3,A011,3,72.55
A011_4,A011,4,148.85
A012_1,A012,1,1.0
A012_2,A012,2,25.6
A012_3,A012,3,166.33
A012_4,A012,4,166.87
A013_1,A013,1,1.0
A013_2,A013,2,24.77
A013_3,A013,3,79.66
A013_4,A013,4,147.13
A014_1,A014,1,1.0
A014_2,A014,2,25.66
A014_3,A014,3,70.56
A014_4,A014,4,148.87
A015_1,A015,1,1.0
A015_2,A015,2,23.69
A015_3,A015,3,70.59
A015_4,A015,4,146.54
A016_1,A016,1,1.0
A016_2,A016,2,32.85
A016_3,A016,3,80.64
A016_4,A016,4,150.8
A017_1,A017,1,1.0
A017_2,A017,2,20.61
A017_3,A017,3,61.28
A017_4,A017,4,140.49
A018_1,A018,1,1.0
A018_2,A018,2,34.03
A018_3,A018,3,83.64
A018_4,A018,4,150.87
A019_1,A019,1,1.0
A019_2,A019,2,28.69
A019_3,A019,3,83.68
A019_4,A019,4,154.76
A020_1,A020,1,1.0
A020_2,A020,2,26.85
A020_3,A020,3,78.25
A020_4,A020,4,145.78
A021_1,A021,1,1.0
A021_2,A021,2,30.21
A021_3,A021,3,74.19
A021_4,A021,4,140.39
A022_1,A022,1,1.0
A022_2,A022,2,24.15
A022_3,A022,3,74.46
A022_4,A022,4,141.71
A023_1,A023,1,1.0
A023_2,A023,2,25.63
A023_3,A023,3,72.2
A023_4,A023,4,145.07
A024_1,A024,1,1.0
A024_2,A024,2,29.57
A024_3,A024,3,91.47
A024_4,A024,4,145.65
A025_1,A025,1,1.0
A025_2,A025,2,23.33
A025_3,A025,3,72.94
A025_4,A025,4,137.74
A026_1,A026,1,1.0
A026_2,A026,2,26.48
A026_3,A026,3,75.46
A026_4,A026,4,147.65
A027_1,A027,1,1.0
A027_2,A027,2,28.26
A027_3,A027,3,74.58
A027_4,A027,4,145.92
A028_1,A028,1,1.0
A028_2,A028,2,22.82
A028_3,A028,3,72.26
A028_4,A028,4,138.91
A029_1,A029,1,1.0
A029_2,A029,2,28.43
A029_3,A029,3,93.26
A029_4,A029,4,143.14
A030_1,A030,1,1.0
A030_2,A030,2,32.95
A030_3,A030,3,71.93
A030_4,A030,4,150.46
A031_1,A031,1,1.0
A031_2,A031,2,32.41
A031_3,A031,3,71.56
A031_4,A031,4,143.85
A032_1,A032,1,1.0
A032_2,A032,2,57.18
A032_3,A032,3,80.16
A032_4,A032,4,144.51
A033_1,A033,1,1.0
A033_2,A033,2,29.16
A033_3,A033,3,72.6
A033_4,A033,4,168.33
A034_1,A034,1,1.0
A034_2,A034,2,26.08
A034_3,A034,3,74.28
A034_4,A034,4,145.38
A035_1,A035,1,1.0
A035_2,A035,2,44.76
A035_3,A035,3,79.98
A035_4,A035,4,152.47
A036_1,A036,1,1.0
A036_2,A036,2,21.63
A036_3,A036,3,71.47
A036_4,A036,4,143.85
A037_1,A037,1,1.0
A037_2,A037,2,23.7
A037_3,A037,3,72.08
A037_4,A037,4,143.66
A038_1,A038,1,1.0
A038_2,A038,2,71.85
A038_3,A038,3,72.86
A038_4,A038,4,152.89
A039_1,A039,1,1.0
A039_2,A039,2,28.65
A039_3,A039,3,98.84
A039_4,A039,4,246.24
A040_1,A040,1,1.0
A040_2,A040,2,26.26
A040_3,A040,3,71.28
A040_4,A040,4,143.53
A041_1,A041,1,1.0
A041_2,A041,2,31.78
A041_3,A041,3,75.74
A041_4,A041,4,141.84
A042_1,A042,1,1.0
A042_2,A042,2,28.93
A042_3,A042,3,72.17
A042_4,A042,4,146.02
A043_1,A043,1,1.0
A043_2,A043,2,25.62
A043_3,A043,3,64.94
A043_4,A043,4,149.33
A044_1,A044,1,1.0
A044_2,A044,2,47.66
A044_3,A044,3,91.63
A044_4,A044,4,155.27
A045_1,A045,1,1.0
A045_2,A045,2,24.66
A045_3,A045,3,72.23
A045_4,A045,4,151.52
A046_1,A046,1,1.0
A046_2,A046,2,24.32
A046_3,A046,3,73.05
A046_4,A046,4,147.94
A047_1,A047,1,1.0
A047_2,A047,2,23.46
A047_3,A047,3,76.85
A047_4,A047,4,144.22
A048_1,A048,1,1.0
A048_2,A048,2,23.91
A048_3,A048,3,81.15
A048_4,A048,4,146.3
A049_1,A049,1,1.0
A049_2,A049,2,27.12
A049_3,A049,3,111.38
A049_4,A049,4,168.86
A050_1,A050,1,1.0
A050_2,A050,2,24.73
A050_3,A050,3,93.39
A050_4,A050,4,148.69
A051_1,A051,1,1.0
A051_2,A051,2,17.16
A051_3,A051,3,65.63
A051_4,A051,4,146.99
A052_1,A052,1,1.0
A052_2,A052,2,31.76
A052_3,A052,3,80.98
A052_4,A052,4,153.27
A053_1,A053,1,1.0
A053_2,A053,2,32.71
A053_3,A053,3,78.28
A053_4,A053,4,148.9
A054_1,A054,1,1.0
A054_2,A054,2,16.9
A054_3,A054,3,72.83
A054_4,A054,4,136.83
A055_1,A055,1,1.0
A055_2,A055,2,23.24
A055_3,A055,3,74.48
A055_4,A055,4,149.21
A056_1,A056,1,1.0
A056_2,A056,2,33.61
A056_3,A056,3,71.46
A056_4,A056,4,147.84
A057_1,A057,1,1.0
A057_2,A057,2,24.78
A057_3,A057,3,73.83
A057_4,A057,4,145.06
A058_1,A058,1,1.0
A058_2,A058,2,22.96
A058_3,A058,3,66.28
A058_4,A058,4,143.48
A059_1,A059,1,1.0
A059_2,A059,2,30.4
A059_3,A059,3,79.78
A059_4,A059,4,151.93
A060_1,A060,1,1.0
A060_2,A060,2,24.87
A060_3,A060,3,94.68
A060_4,A060,4,143.91
A061_1,A061,1,1.0
A061_2,A061,2,35.16
A061_3,A061,3,82.55
A061_4,A061,4,146.56
A062_1,A062,1,1.0
A062_2,A062,2,44.69
A062_3,A062,3,92.72
A062_4,A062,4,149.18
A063_1,A063,1,1.0
A063_2,A063,2,21.98
A063_3,A063,3,69.99
A063_4,A063,4,141.09
A064_1,A064,1,1.0
A064_2,A064,2,37.65
A064_3,A064,3,82.99
A064_4,A064,4,156.21
A065_1,A065,1,1.0
A065_2,A065,2,32.31
A065_3,A065,3,106.41
A065_4,A065,4,187.43
A066_1,A066,1,1.0
