composite_ID,UID,test,TSVR_hours,log_TSVR,Age,Age_c,LocationType,theta,se
A010_1_Source,A010,1,1.0,0.6931471805599453,22.0,-22.57,Source,1.623562,0.5
A010_1_Destination,A010,1,1.0,0.6931471805599453,22.0,-22.57,Destination,2.010915,0.5
A010_2_Source,A010,2,21.9,3.131136910560194,22.0,-22.57,Source,0.09898508,0.5
A010_2_Destination,A010,2,21.9,3.131136910560194,22.0,-22.57,Destination,1.0975147,0.5
A010_3_Source,A010,3,80.88,4.405254760793088,22.0,-22.57,Source,-0.5057274,0.5
A010_3_Destination,A010,3,80.88,4.405254760793088,22.0,-22.57,Destination,-1.186541,0.5
A010_4_Source,A010,4,145.31,4.985727658390071,22.0,-22.57,Source,0.5918101,0.5
A010_4_Destination,A010,4,145.31,4.985727658390071,22.0,-22.57,Destination,-0.4293288,0.5
A011_1_Source,A011,1,1.0,0.6931471805599453,21.0,-23.57,Source,0.12731029,0.5
A011_1_Destination,A011,1,1.0,0.6931471805599453,21.0,-23.57,Destination,1.1835473,0.5
A011_2_Source,A011,2,24.57,3.2414197893030954,21.0,-23.57,Source,-0.20856883,0.5
A011_2_Destination,A011,2,24.57,3.2414197893030954,21.0,-23.57,Destination,0.07751111,0.5
A011_3_Source,A011,3,72.55,4.297965447047447,21.0,-23.57,Source,-0.8450841,0.5
A011_3_Destination,A011,3,72.55,4.297965447047447,21.0,-23.57,Destination,-0.5014456,0.5
A011_4_Source,A011,4,148.85,5.009634793762673,21.0,-23.57,Source,-0.13091515,0.5
A011_4_Destination,A011,4,148.85,5.009634793762673,21.0,-23.57,Destination,-0.84890825,0.5
A012_1_Source,A012,1,1.0,0.6931471805599453,21.0,-23.57,Source,1.0843484,0.5
A012_1_Destination,A012,1,1.0,0.6931471805599453,21.0,-23.57,Destination,0.33868304,0.5
A012_2_Source,A012,2,25.6,3.2809112157876537,21.0,-23.57,Source,-0.13956255,0.5
A012_2_Destination,A012,2,25.6,3.2809112157876537,21.0,-23.57,Destination,-1.1255839,0.5
A012_3_Source,A012,3,166.33,5.119967910506483,21.0,-23.57,Source,1.1480632,0.5
A012_3_Destination,A012,3,166.33,5.119967910506483,21.0,-23.57,Destination,0.09193352,0.5
A012_4_Source,A012,4,166.87,5.123189870334323,21.0,-23.57,Source,-0.95036143,0.5
A012_4_Destination,A012,4,166.87,5.123189870334323,21.0,-23.57,Destination,-0.9537699,0.5
A013_1_Source,A013,1,1.0,0.6931471805599453,22.0,-22.57,Source,-0.15501398,0.5
A013_1_Destination,A013,1,1.0,0.6931471805599453,22.0,-22.57,Destination,-0.035398606,0.5
A013_2_Source,A013,2,24.77,3.2492110246642736,22.0,-22.57,Source,-0.8239752,0.5
A013_2_Destination,A013,2,24.77,3.2492110246642736,22.0,-22.57,Destination,-0.3057711,0.5
A013_3_Source,A013,3,79.66,4.390242789445222,22.0,-22.57,Source,0.5210637,0.5
A013_3_Destination,A013,3,79.66,4.390242789445222,22.0,-22.57,Destination,0.9779469,0.5
A013_4_Source,A013,4,147.13,4.998090266593961,22.0,-22.57,Source,-1.5770361,0.5
A013_4_Destination,A013,4,147.13,4.998090266593961,22.0,-22.57,Destination,-0.066024296,0.5
A014_1_Source,A014,1,1.0,0.6931471805599453,22.0,-22.57,Source,0.47304404,0.5
A014_1_Destination,A014,1,1.0,0.6931471805599453,22.0,-22.57,Destination,0.7553257,0.5
A014_2_Source,A014,2,25.66,3.2831643147505627,22.0,-22.57,Source,1.1207099,0.5
A014_2_Destination,A014,2,25.66,3.2831643147505627,22.0,-22.57,Destination,-0.4665811,0.5
A014_3_Source,A014,3,70.56,4.270536258640519,22.0,-22.57,Source,0.04152508,0.5
A014_3_Destination,A014,3,70.56,4.270536258640519,22.0,-22.57,Destination,0.12054519,0.5
A014_4_Source,A014,4,148.87,5.009768251656904,22.0,-22.57,Source,-1.1226914,0.5
A014_4_Destination,A014,4,148.87,5.009768251656904,22.0,-22.57,Destination,-0.5400671,0.5
A015_1_Source,A015,1,1.0,0.6931471805599453,23.0,-21.57,Source,1.200968,0.5
A015_1_Destination,A015,1,1.0,0.6931471805599453,23.0,-21.57,Destination,1.0023323,0.5
A015_2_Source,A015,2,23.69,3.206398303357088,23.0,-21.57,Source,1.5226954,0.5
A015_2_Destination,A015,2,23.69,3.206398303357088,23.0,-21.57,Destination,1.4194467,0.5
A015_3_Source,A015,3,70.59,4.270955399408094,23.0,-21.57,Source,1.1774372,0.5
A015_3_Destination,A015,3,70.59,4.270955399408094,23.0,-21.57,Destination,0.24626894,0.5
A015_4_Source,A015,4,146.54,4.9940993254561565,23.0,-21.57,Source,-0.10652651,0.5
A015_4_Destination,A015,4,146.54,4.9940993254561565,23.0,-21.57,Destination,-0.43521827,0.5
A016_1_Source,A016,1,1.0,0.6931471805599453,21.0,-23.57,Source,1.356192,0.5
A016_1_Destination,A016,1,1.0,0.6931471805599453,21.0,-23.57,Destination,1.7207321,0.5
A016_2_Source,A016,2,32.85,3.521938999358284,21.0,-23.57,Source,1.3373035,0.5
A016_2_Destination,A016,2,32.85,3.521938999358284,21.0,-23.57,Destination,1.479976,0.5
A016_3_Source,A016,3,80.64,4.402319337941644,21.0,-23.57,Source,-0.013329637,0.5
A016_3_Destination,A016,3,80.64,4.402319337941644,21.0,-23.57,Destination,-0.6975632,0.5
A016_4_Source,A016,4,150.8,5.02256386496153,21.0,-23.57,Source,-1.0709041,0.5
A016_4_Destination,A016,4,150.8,5.02256386496153,21.0,-23.57,Destination,-0.8562173,0.5
A017_1_Source,A017,1,1.0,0.6931471805599453,24.0,-20.57,Source,-0.2286647,0.5
A017_1_Destination,A017,1,1.0,0.6931471805599453,24.0,-20.57,Destination,-0.15520337,0.5
A017_2_Source,A017,2,20.61,3.0731561705187946,24.0,-20.57,Source,0.8418083,0.5
A017_2_Destination,A017,2,20.61,3.0731561705187946,24.0,-20.57,Destination,0.41041905,0.5
A017_3_Source,A017,3,61.28,4.131640346965797,24.0,-20.57,Source,0.1830041,0.5
A017_3_Destination,A017,3,61.28,4.131640346965797,24.0,-20.57,Destination,0.22881152,0.5
A017_4_Source,A017,4,140.49,4.952229043207861,24.0,-20.57,Source,1.0870038,0.5
A017_4_Destination,A017,4,140.49,4.952229043207861,24.0,-20.57,Destination,-0.7611534,0.5
A018_1_Source,A018,1,1.0,0.6931471805599453,23.0,-21.57,Source,0.9366276,0.5
A018_1_Destination,A018,1,1.0,0.6931471805599453,23.0,-21.57,Destination,1.5116286,0.5
A018_2_Source,A018,2,34.03,3.5562048372093953,23.0,-21.57,Source,0.34145153,0.5
A018_2_Destination,A018,2,34.03,3.5562048372093953,23.0,-21.57,Destination,0.4516168,0.5
A018_3_Source,A018,3,83.64,4.438406968109989,23.0,-21.57,Source,-0.39613545,0.5
A018_3_Destination,A018,3,83.64,4.438406968109989,23.0,-21.57,Destination,-0.5255531,0.5
A018_4_Source,A018,4,150.87,5.023024891742178,23.0,-21.57,Source,0.23495352,0.5
A018_4_Destination,A018,4,150.87,5.023024891742178,23.0,-21.57,Destination,-0.6034264,0.5
A019_1_Source,A019,1,1.0,0.6931471805599453,20.0,-24.57,Source,-0.8907665,0.5
A019_1_Destination,A019,1,1.0,0.6931471805599453,20.0,-24.57,Destination,-1.1137557,0.5
A019_2_Source,A019,2,28.69,3.3908102887756684,20.0,-24.57,Source,-0.8944451,0.5
A019_2_Destination,A019,2,28.69,3.3908102887756684,20.0,-24.57,Destination,0.2184492,0.5
