age_tertile,location,test,theta_mean,se,ci_lower,ci_upper,n
Young,Source,1,0.6934933254545453,0.1112000319558809,0.47554126282101883,0.9114453880880719,33
Young,Source,2,0.2594845724545455,0.13050181212766046,0.00370102068433098,0.51526812422476,33
Young,Source,3,0.18017461256060605,0.11907415371451857,-0.05321072871985036,0.4135599538410625,33
Young,Source,4,-0.32573367412121207,0.1580953940293339,-0.6356006464187065,-0.015866701823717633,33
Young,Destination,1,0.5142608698181819,0.157370454289647,0.20581477941047377,0.82270696022589,33
Young,Destination,2,0.2892692326272728,0.13601038298483076,0.02268888197700447,0.5558495832775411,33
Young,Destination,3,0.020149732948484836,0.10251643991681963,-0.18078248928848162,0.22108195518545132,33
Young,Destination,4,-0.2886944198787879,0.13393440760634784,-0.5512058587872297,-0.02618298097034616,33
Middle,Source,1,0.28545296729411757,0.13449319512226687,0.021846304854474474,0.5490596297337607,34
Middle,Source,2,-0.01172921717647057,0.13713725919076444,-0.2805182451903689,0.25705981083742774,34
Middle,Source,3,-0.38868705729411757,0.14201549458936147,-0.667037426689266,-0.11033668789896911,34
Middle,Source,4,-0.6890816673529412,0.1448054816016361,-0.972900411292148,-0.40526292341373443,34
Middle,Destination,1,0.28383333832352936,0.15876865457351605,-0.027353224640562113,0.5950199012876208,34
Middle,Destination,2,-0.021691018426470594,0.11386392387446573,-0.2448643092204234,0.20148227236748223,34
Middle,Destination,3,-0.13185539308823532,0.12616963022397648,-0.37914786832722924,0.11543708215075857,34
Middle,Destination,4,-0.4120888675588235,0.11920230313851934,-0.6457253817103215,-0.1784523534073256,34
Older,Source,1,0.329841807,0.11612118586024998,0.10224428271391003,0.5574393312860899,33
Older,Source,2,0.22710446810606058,0.13767844511907262,-0.04274528432732175,0.49695422053944294,33
Older,Source,3,-0.27647959666666666,0.13524098313884367,-0.5415519236188002,-0.011407269714533097,33
Older,Source,4,-0.5333766272727273,0.13159418788504051,-0.7913012355274067,-0.2754520190180479,33
Older,Destination,1,0.38980789299999996,0.1424525853813081,0.11060082565263613,0.6690149603473639,33
Older,Destination,2,0.003750241212121214,0.14148875332612443,-0.2735677153070827,0.2810681977313251,33
Older,Destination,3,-0.1796257172515152,0.1393571407581302,-0.4527657131374504,0.09351427863442,33
Older,Destination,4,-0.18984775324242426,0.14700370577555322,-0.47797501656250857,0.09827951007766006,33
