composite_ID,UID,test,location_type,ctt_mean_score,n_items,TSVR_hours
A010_1,A010,1,destination,0.8666666666666667,15,1.0
A010_1,A010,1,source,0.9558823529411765,17,1.0
A010_2,A010,2,destination,0.65,15,21.9
A010_2,A010,2,source,0.6764705882352942,17,21.9
A010_3,A010,3,destination,0.18333333333333332,15,80.88
A010_3,A010,3,source,0.6470588235294118,17,80.88
A010_4,A010,4,destination,0.2,15,145.31
A010_4,A010,4,source,0.8970588235294118,17,145.31
A011_1,A011,1,destination,0.6833333333333333,15,1.0
A011_1,A011,1,source,0.7058823529411765,17,1.0
A011_2,A011,2,destination,0.43333333333333335,15,24.57
A011_2,A011,2,source,0.75,17,24.57
A011_3,A011,3,destination,0.4166666666666667,15,72.55
A011_3,A011,3,source,0.5,17,72.55
A011_4,A011,4,destination,0.26666666666666666,15,148.85
A011_4,A011,4,source,0.7058823529411765,17,148.85
A012_1,A012,1,destination,0.43333333333333335,15,1.0
A012_1,A012,1,source,0.9705882352941176,17,1.0
A012_2,A012,2,destination,0.26666666666666666,15,25.6
A012_2,A012,2,source,0.5882352941176471,17,25.6
A012_3,A012,3,destination,0.35,15,166.33
A012_3,A012,3,source,0.9411764705882353,17,166.33
A012_4,A012,4,destination,0.35,15,166.87
A012_4,A012,4,source,0.4852941176470588,17,166.87
A013_1,A013,1,destination,0.45,15,1.0
A013_1,A013,1,source,0.7205882352941176,17,1.0
A013_2,A013,2,destination,0.5166666666666667,15,24.77
A013_2,A013,2,source,0.5588235294117647,17,24.77
A013_3,A013,3,destination,0.55,15,79.66
A013_3,A013,3,source,0.7647058823529411,17,79.66
A013_4,A013,4,destination,0.5,15,147.13
A013_4,A013,4,source,0.35294117647058826,17,147.13
A014_1,A014,1,destination,0.5166666666666667,15,1.0
A014_1,A014,1,source,0.7058823529411765,17,1.0
A014_2,A014,2,destination,0.3333333333333333,15,25.66
A014_2,A014,2,source,0.9411764705882353,17,25.66
A014_3,A014,3,destination,0.4166666666666667,15,70.56
A014_3,A014,3,source,0.6911764705882353,17,70.56
A014_4,A014,4,destination,0.36666666666666664,15,148.87
A014_4,A014,4,source,0.5735294117647058,17,148.87
A015_1,A015,1,destination,0.6,15,1.0
A015_1,A015,1,source,0.9264705882352942,17,1.0
A015_2,A015,2,destination,0.7666666666666667,15,23.69
A015_2,A015,2,source,0.9705882352941176,17,23.69
A015_3,A015,3,destination,0.4,15,70.59
A015_3,A015,3,source,0.9411764705882353,17,70.59
A015_4,A015,4,destination,0.4166666666666667,15,146.54
A015_4,A015,4,source,0.7352941176470589,17,146.54
A016_1,A016,1,destination,0.5833333333333334,15,1.0
A016_1,A016,1,source,1.0,17,1.0
A016_2,A016,2,destination,0.6666666666666666,15,32.85
A016_2,A016,2,source,0.9117647058823529,17,32.85
A016_3,A016,3,destination,0.18333333333333332,15,80.64
A016_3,A016,3,source,0.7205882352941176,17,80.64
A016_4,A016,4,destination,0.35,15,150.8
A016_4,A016,4,source,0.5588235294117647,17,150.8
A017_1,A017,1,destination,0.3,15,1.0
A017_1,A017,1,source,0.6764705882352942,17,1.0
A017_2,A017,2,destination,0.36666666666666664,15,20.61
A017_2,A017,2,source,0.8970588235294118,17,20.61
A017_3,A017,3,destination,0.38333333333333336,15,61.28
A017_3,A017,3,source,0.7647058823529411,17,61.28
A017_4,A017,4,destination,0.2,15,140.49
A017_4,A017,4,source,0.9705882352941176,17,140.49
A018_1,A018,1,destination,0.6,15,1.0
A018_1,A018,1,source,0.7794117647058824,17,1.0
A018_2,A018,2,destination,0.4666666666666667,15,34.03
A018_2,A018,2,source,0.7794117647058824,17,34.03
A018_3,A018,3,destination,0.2833333333333333,15,83.64
A018_3,A018,3,source,0.5588235294117647,17,83.64
A018_4,A018,4,destination,0.4,15,150.87
A018_4,A018,4,source,0.6911764705882353,17,150.87
A019_1,A019,1,destination,0.25,15,1.0
A019_1,A019,1,source,0.6176470588235294,17,1.0
A019_2,A019,2,destination,0.36666666666666664,15,28.69
A019_2,A019,2,source,0.4411764705882353,17,28.69
A019_3,A019,3,destination,0.35,15,83.68
A019_3,A019,3,source,0.5882352941176471,17,83.68
A019_4,A019,4,destination,0.3,15,154.76
A019_4,A019,4,source,0.36764705882352944,17,154.76
A020_1,A020,1,destination,0.23333333333333334,15,1.0
A020_1,A020,1,source,0.7352941176470589,17,1.0
A020_2,A020,2,destination,0.4166666666666667,15,26.85
A020_2,A020,2,source,0.7647058823529411,17,26.85
A020_3,A020,3,destination,0.4666666666666667,15,78.25
A020_3,A020,3,source,0.5147058823529411,17,78.25
A020_4,A020,4,destination,0.3333333333333333,15,145.78
A020_4,A020,4,source,0.3088235294117647,17,145.78
A021_1,A021,1,destination,0.5,15,1.0
A021_1,A021,1,source,0.9705882352941176,17,1.0
A021_2,A021,2,destination,0.5166666666666667,15,30.21
A021_2,A021,2,source,0.7941176470588235,17,30.21
A021_3,A021,3,destination,0.36666666666666664,15,74.19
A021_3,A021,3,source,0.8529411764705882,17,74.19
A021_4,A021,4,destination,0.23333333333333334,15,140.39
A021_4,A021,4,source,0.8823529411764706,17,140.39
A022_1,A022,1,destination,0.43333333333333335,15,1.0
A022_1,A022,1,source,0.8235294117647058,17,1.0
A022_2,A022,2,destination,0.36666666666666664,15,24.15
A022_2,A022,2,source,0.8676470588235294,17,24.15
A022_3,A022,3,destination,0.45,15,74.46
A022_3,A022,3,source,0.7941176470588235,17,74.46
A022_4,A022,4,destination,0.3333333333333333,15,141.71
A022_4,A022,4,source,0.8823529411764706,17,141.71
A023_1,A023,1,destination,0.5833333333333334,15,1.0
A023_1,A023,1,source,0.8529411764705882,17,1.0
A023_2,A023,2,destination,0.5,15,25.63
A023_2,A023,2,source,0.7941176470588235,17,25.63
A023_3,A023,3,destination,0.4,15,72.2
A023_3,A023,3,source,0.8235294117647058,17,72.2
A023_4,A023,4,destination,0.6833333333333333,15,145.07
A023_4,A023,4,source,0.5294117647058824,17,145.07
A024_1,A024,1,destination,0.35,15,1.0
A024_1,A024,1,source,0.8823529411764706,17,1.0
A024_2,A024,2,destination,0.25,15,29.57
A024_2,A024,2,source,0.8529411764705882,17,29.57
A024_3,A024,3,destination,0.5666666666666667,15,91.47
A024_3,A024,3,source,0.5588235294117647,17,91.47
A024_4,A024,4,destination,0.35,15,145.65
A024_4,A024,4,source,0.27941176470588236,17,145.65
A025_1,A025,1,destination,0.4666666666666667,15,1.0
A025_1,A025,1,source,0.8676470588235294,17,1.0
A025_2,A025,2,destination,0.7166666666666667,15,23.33
A025_2,A025,2,source,0.9411764705882353,17,23.33
A025_3,A025,3,destination,0.4666666666666667,15,72.94
A025_3,A025,3,source,0.7647058823529411,17,72.94
A025_4,A025,4,destination,0.3333333333333333,15,137.74
A025_4,A025,4,source,0.6323529411764706,17,137.74
A026_1,A026,1,destination,0.65,15,1.0
A026_1,A026,1,source,0.8235294117647058,17,1.0
A026_2,A026,2,destination,0.4666666666666667,15,26.48
A026_2,A026,2,source,0.5735294117647058,17,26.48
A026_3,A026,3,destination,0.6333333333333333,15,75.46
A026_3,A026,3,source,0.8970588235294118,17,75.46
A026_4,A026,4,destination,0.65,15,147.65
A026_4,A026,4,source,0.5882352941176471,17,147.65
A027_1,A027,1,destination,0.6666666666666666,15,1.0
A027_1,A027,1,source,0.7941176470588235,17,1.0
