location_type,test,method,mean_score,ci_lower,ci_upper,time,n
destination,1,IRT,0.39484602676,0.2222658496130886,0.5674262039069115,1.0,100
destination,2,IRT,0.08932148010199999,-0.05966349326699859,0.23830645347099855,28.769699999999997,100
destination,3,IRT,-0.09745790847000001,-0.23700851267778894,0.04209269573778894,78.6681,100
destination,4,IRT,-0.2980291321,-0.4487436211708474,-0.1473146430291526,151.3752,100
source,1,IRT,0.43475460259000004,0.2941841272869149,0.5753250778930852,1.0,100
source,2,IRT,0.156586449545,0.0032661135784723128,0.3099067855115277,28.769699999999997,100
source,3,IRT,-0.163934244235,-0.32023726704890965,-0.007631221421090323,78.6681,100
source,4,IRT,-0.51779416636,-0.6831113748445004,-0.35247695787549965,151.3752,100
destination,1,CTT,0.5216666666666666,0.4876914931863284,0.5556418401470049,1.0,100
destination,2,CTT,0.45666666666666667,0.42689686372429175,0.4864364696090416,28.769699999999997,100
destination,3,CTT,0.42916666666666664,0.39854240909990835,0.45979092423342494,78.6681,100
destination,4,CTT,0.407,0.37554301612767943,0.4384569838723205,151.3752,100
source,1,CTT,0.7804411764705883,0.7505366410564591,0.8103457118847175,1.0,100
source,2,CTT,0.7305882352941176,0.6992353349408709,0.7619411356473644,28.769699999999997,100
source,3,CTT,0.6501470588235294,0.616264049513892,0.6840300681331668,78.6681,100
source,4,CTT,0.5786764705882352,0.5402683058040919,0.6170846353723786,151.3752,100
