item_name,location_type,a,b,retained,removal_reason
TQ_ICR-D-i1,destination,0.40743068,1.0851420164108276,True,retained
TQ_ICR-D-i2,destination,0.545618,1.6546465158462524,True,retained
TQ_ICR-D-i3,destination,0.98388565,0.5803380012512207,True,retained
TQ_ICR-D-i4,destination,0.42978412,2.170015335083008,True,retained
TQ_ICR-D-i5,destination,0.99980867,1.444160223007202,True,retained
TQ_ICR-D-i6,destination,2.1192882,0.701339840888977,True,retained
TQ_ICR-U-i1,source,1.7333813,-0.2653590142726898,True,retained
TQ_ICR-U-i2,source,0.95864606,-0.9552220702171326,True,retained
TQ_ICR-U-i3,source,1.3225164,-0.6348640322685242,True,retained
TQ_ICR-U-i4,source,0.6909021,-0.8050130009651184,True,retained
TQ_ICR-U-i5,source,2.0408869,-0.1097273156046867,True,retained
TQ_ICR-U-i6,source,0.9419646,-0.5583692789077759,True,retained
TQ_IFR-D-i1,destination,,,False,removed_in_rq551
TQ_IFR-D-i2,destination,0.40286362,2.241386890411377,True,retained
TQ_IFR-D-i3,destination,1.0409753,0.6459331512451172,True,retained
TQ_IFR-D-i4,destination,,,False,removed_in_rq551
TQ_IFR-D-i5,destination,0.6763309,1.097975492477417,True,retained
TQ_IFR-D-i6,destination,0.45932412,2.4414174556732178,True,retained
TQ_IFR-U-i1,source,1.0669479,-0.0443178117275238,True,retained
TQ_IFR-U-i2,source,0.7394135,-0.2335024327039718,True,retained
TQ_IFR-U-i3,source,0.7180863,-0.1294505447149276,True,retained
TQ_IFR-U-i4,source,,,False,removed_in_rq551
TQ_IFR-U-i5,source,0.9043956,0.3191973865032196,True,retained
TQ_IFR-U-i6,source,0.4648522,0.3825196027755737,True,retained
TQ_IRE-D-i1,destination,0.5448974,0.9360926747322084,True,retained
TQ_IRE-D-i2,destination,0.4692685,1.5346418619155884,True,retained
TQ_IRE-D-i3,destination,1.1534293,0.3386796712875366,True,retained
TQ_IRE-D-i4,destination,,,False,removed_in_rq551
TQ_IRE-D-i5,destination,0.98309696,0.8340244293212891,True,retained
TQ_IRE-D-i6,destination,1.7394748,0.6719809770584106,True,retained
TQ_IRE-U-i1,source,1.4892412,-0.435983806848526,True,retained
TQ_IRE-U-i2,source,0.88998336,-1.4356975555419922,True,retained
TQ_IRE-U-i3,source,1.5342904,-0.6176382899284363,True,retained
TQ_IRE-U-i4,source,0.6920179,-0.8035262227058411,True,retained
TQ_IRE-U-i5,source,1.7166582,-0.2572753429412842,True,retained
TQ_IRE-U-i6,source,0.7800809,-0.9054784178733826,True,retained
