UID,test,location_type,ctt_full_score
A010,T1,source,0.9583333333333334
A010,T2,source,0.6944444444444444
A010,T3,source,0.6666666666666666
A010,T4,source,0.875
A011,T1,source,0.7222222222222222
A011,T2,source,0.7638888888888888
A011,T3,source,0.5
A011,T4,source,0.7222222222222222
A012,T1,source,0.9722222222222222
A012,T2,source,0.6111111111111112
A012,T3,source,0.9444444444444444
A012,T4,source,0.4861111111111111
A013,T1,source,0.7361111111111112
A013,T2,source,0.5555555555555556
A013,T3,source,0.75
A013,T4,source,0.3888888888888889
A014,T1,source,0.7222222222222222
A014,T2,source,0.9444444444444444
A014,T3,source,0.6527777777777778
A014,T4,source,0.5972222222222222
A015,T1,source,0.9027777777777778
A015,T2,source,0.9722222222222222
A015,T3,source,0.9444444444444444
A015,T4,source,0.75
A016,T1,source,1.0
A016,T2,source,0.9166666666666666
A016,T3,source,0.6805555555555556
A016,T4,source,0.5277777777777778
A017,T1,source,0.6666666666666666
A017,T2,source,0.9027777777777778
A017,T3,source,0.75
A017,T4,source,0.9166666666666666
A018,T1,source,0.7638888888888888
A018,T2,source,0.7361111111111112
A018,T3,source,0.5833333333333334
A018,T4,source,0.6805555555555556
A019,T1,source,0.6388888888888888
A019,T2,source,0.4305555555555556
A019,T3,source,0.6111111111111112
A019,T4,source,0.3472222222222222
A020,T1,source,0.7222222222222222
A020,T2,source,0.75
A020,T3,source,0.5416666666666666
A020,T4,source,0.3472222222222222
A021,T1,source,0.9722222222222222
A021,T2,source,0.8055555555555556
A021,T3,source,0.8611111111111112
A021,T4,source,0.8333333333333334
A022,T1,source,0.8333333333333334
A022,T2,source,0.875
A022,T3,source,0.7777777777777778
A022,T4,source,0.8611111111111112
A023,T1,source,0.8055555555555556
A023,T2,source,0.7777777777777778
A023,T3,source,0.7777777777777778
A023,T4,source,0.5277777777777778
A024,T1,source,0.8333333333333334
A024,T2,source,0.8611111111111112
A024,T3,source,0.5833333333333334
A024,T4,source,0.2638888888888889
A025,T1,source,0.875
A025,T2,source,0.9444444444444444
A025,T3,source,0.7777777777777778
A025,T4,source,0.5972222222222222
A026,T1,source,0.8055555555555556
A026,T2,source,0.5972222222222222
A026,T3,source,0.9027777777777778
A026,T4,source,0.5833333333333334
A027,T1,source,0.8055555555555556
A027,T2,source,0.7916666666666666
A027,T3,source,0.5277777777777778
A027,T4,source,0.5694444444444444
A028,T1,source,0.8333333333333334
A028,T2,source,0.7361111111111112
A028,T3,source,0.6944444444444444
A028,T4,source,0.3333333333333333
A029,T1,source,1.0
A029,T2,source,0.7361111111111112
A029,T3,source,0.9444444444444444
A029,T4,source,0.7777777777777778
A030,T1,source,0.8611111111111112
A030,T2,source,0.9444444444444444
A030,T3,source,0.7916666666666666
A030,T4,source,0.9444444444444444
A031,T1,source,0.9166666666666666
A031,T2,source,0.75
A031,T3,source,0.6527777777777778
A031,T4,source,0.5
A032,T1,source,0.9166666666666666
A032,T2,source,0.5833333333333334
A032,T3,source,0.6805555555555556
A032,T4,source,0.8472222222222222
A033,T1,source,0.7361111111111112
A033,T2,source,0.75
A033,T3,source,0.8888888888888888
A033,T4,source,0.7361111111111112
A034,T1,source,0.9583333333333334
A034,T2,source,0.9166666666666666
A034,T3,source,0.8055555555555556
A034,T4,source,0.7777777777777778
A035,T1,source,0.4166666666666667
A035,T2,source,0.7916666666666666
A035,T3,source,0.5833333333333334
A035,T4,source,0.5
A036,T1,source,0.8472222222222222
A036,T2,source,0.7777777777777778
A036,T3,source,0.5833333333333334
A036,T4,source,0.4444444444444444
A037,T1,source,0.8611111111111112
A037,T2,source,0.8611111111111112
A037,T3,source,0.6388888888888888
A037,T4,source,0.7222222222222222
A038,T1,source,0.8333333333333334
A038,T2,source,0.7222222222222222
A038,T3,source,0.9444444444444444
A038,T4,source,0.6527777777777778
A039,T1,source,1.0
A039,T2,source,0.8055555555555556
A039,T3,source,0.8472222222222222
A039,T4,source,0.8611111111111112
A040,T1,source,0.625
A040,T2,source,0.7083333333333334
A040,T3,source,0.3611111111111111
A040,T4,source,0.4166666666666667
A041,T1,source,0.875
A041,T2,source,0.5972222222222222
A041,T3,source,0.6666666666666666
A041,T4,source,0.8888888888888888
A042,T1,source,0.5277777777777778
A042,T2,source,0.4305555555555556
A042,T3,source,0.5277777777777778
A042,T4,source,0.3472222222222222
A043,T1,source,0.8611111111111112
A043,T2,source,0.8333333333333334
A043,T3,source,0.6944444444444444
A043,T4,source,0.6388888888888888
A044,T1,source,0.4583333333333333
A044,T2,source,0.4861111111111111
A044,T3,source,0.4166666666666667
A044,T4,source,0.4027777777777778
A045,T1,source,0.5833333333333334
A045,T2,source,0.4861111111111111
A045,T3,source,0.4861111111111111
A045,T4,source,0.4861111111111111
A046,T1,source,0.5972222222222222
A046,T2,source,0.3055555555555556
A046,T3,source,0.4305555555555556
A046,T4,source,0.5833333333333334
A047,T1,source,0.5972222222222222
A047,T2,source,0.5694444444444444
A047,T3,source,0.5
A047,T4,source,0.2777777777777778
A048,T1,source,0.8472222222222222
A048,T2,source,0.8333333333333334
A048,T3,source,0.6805555555555556
A048,T4,source,0.5416666666666666
A049,T1,source,1.0
A049,T2,source,0.5833333333333334
A049,T3,source,0.8055555555555556
A049,T4,source,0.6944444444444444
A050,T1,source,0.7222222222222222
A050,T2,source,0.5694444444444444
A050,T3,source,0.5
A050,T4,source,0.4583333333333333
A051,T1,source,0.8611111111111112
A051,T2,source,0.6388888888888888
A051,T3,source,0.5555555555555556
A051,T4,source,0.7361111111111112
A052,T1,source,0.8472222222222222
A052,T2,source,0.6944444444444444
A052,T3,source,0.7777777777777778
A052,T4,source,0.4583333333333333
A053,T1,source,0.875
A053,T2,source,0.8611111111111112
A053,T3,source,0.5694444444444444
A053,T4,source,0.4444444444444444
A054,T1,source,0.7916666666666666
A054,T2,source,0.9305555555555556
A054,T3,source,0.9444444444444444
A054,T4,source,0.9444444444444444
A055,T1,source,0.7638888888888888
A055,T2,source,0.9027777777777778
A055,T3,source,0.3888888888888889
A055,T4,source,0.3055555555555556
A056,T1,source,0.8472222222222222
A056,T2,source,0.7222222222222222
A056,T3,source,0.6666666666666666
A056,T4,source,0.5416666666666666
A057,T1,source,0.8472222222222222
A057,T2,source,0.4583333333333333
A057,T3,source,0.5555555555555556
A057,T4,source,0.3611111111111111
A058,T1,source,0.8333333333333334
A058,T2,source,0.4861111111111111
A058,T3,source,0.75
A058,T4,source,0.5555555555555556
A059,T1,source,0.8611111111111112
A059,T2,source,0.875
A059,T3,source,0.7777777777777778
A059,T4,source,0.8888888888888888
A060,T1,source,0.5833333333333334
A060,T2,source,0.8888888888888888
A060,T3,source,0.6666666666666666
A060,T4,source,0.7916666666666666
A061,T1,source,0.9722222222222222
A061,T2,source,0.7777777777777778
A061,T3,source,0.7222222222222222
A061,T4,source,0.5833333333333334
A062,T1,source,0.8055555555555556
A062,T2,source,0.6111111111111112
A062,T3,source,0.5833333333333334
A062,T4,source,0.5833333333333334
A063,T1,source,0.875
A063,T2,source,0.8611111111111112
A063,T3,source,0.7361111111111112
A063,T4,source,0.6111111111111112
A064,T1,source,0.8611111111111112
A064,T2,source,0.9722222222222222
A064,T3,source,0.6111111111111112
A064,T4,source,0.4166666666666667
A065,T1,source,0.4027777777777778
A065,T2,source,0.6805555555555556
A065,T3,source,0.3055555555555556
A065,T4,source,0.2916666666666667
A066,T1,source,0.7083333333333334
A066,T2,source,0.5694444444444444
A066,T3,source,0.6805555555555556
A066,T4,source,0.4305555555555556
A067,T1,source,0.7638888888888888
A067,T2,source,0.4861111111111111
A067,T3,source,0.4444444444444444
A067,T4,source,0.3055555555555556
A068,T1,source,0.9166666666666666
A068,T2,source,0.7222222222222222
A068,T3,source,0.9722222222222222
A068,T4,source,0.6666666666666666
A069,T1,source,0.2916666666666667
A069,T2,source,0.5
A069,T3,source,0.5833333333333334
A069,T4,source,0.2916666666666667
A070,T1,source,0.75
A070,T2,source,0.6805555555555556
A070,T3,source,0.5416666666666666
A070,T4,source,0.4444444444444444
A071,T1,source,0.8333333333333334
A071,T2,source,0.8888888888888888
A071,T3,source,0.5277777777777778
A071,T4,source,0.75
A072,T1,source,0.9444444444444444
A072,T2,source,0.8194444444444444
A072,T3,source,0.5694444444444444
