composite_ID,TSVR_hours,test
A010_1,1.0,1
A010_2,21.9,2
A010_3,80.88,3
A010_4,145.31,4
A011_1,1.0,1
A011_2,24.57,2
A011_3,72.55,3
A011_4,148.85,4
A012_1,1.0,1
A012_2,25.6,2
A012_3,166.33,3
A012_4,166.87,4
A013_1,1.0,1
A013_2,24.77,2
A013_3,79.66,3
A013_4,147.13,4
A014_1,1.0,1
A014_2,25.66,2
A014_3,70.56,3
A014_4,148.87,4
A015_1,1.0,1
A015_2,23.69,2
A015_3,70.59,3
A015_4,146.54,4
A016_1,1.0,1
A016_2,32.85,2
A016_3,80.64,3
A016_4,150.8,4
A017_1,1.0,1
A017_2,20.61,2
A017_3,61.28,3
A017_4,140.49,4
A018_1,1.0,1
A018_2,34.03,2
A018_3,83.64,3
A018_4,150.87,4
A019_1,1.0,1
A019_2,28.69,2
A019_3,83.68,3
A019_4,154.76,4
A020_1,1.0,1
A020_2,26.85,2
A020_3,78.25,3
A020_4,145.78,4
A021_1,1.0,1
A021_2,30.21,2
A021_3,74.19,3
A021_4,140.39,4
A022_1,1.0,1
A022_2,24.15,2
A022_3,74.46,3
A022_4,141.71,4
A023_1,1.0,1
A023_2,25.63,2
A023_3,72.2,3
A023_4,145.07,4
A024_1,1.0,1
A024_2,29.57,2
A024_3,91.47,3
A024_4,145.65,4
A025_1,1.0,1
A025_2,23.33,2
A025_3,72.94,3
A025_4,137.74,4
A026_1,1.0,1
A026_2,26.48,2
A026_3,75.46,3
A026_4,147.65,4
A027_1,1.0,1
A027_2,28.26,2
A027_3,74.58,3
A027_4,145.92,4
A028_1,1.0,1
A028_2,22.82,2
A028_3,72.26,3
A028_4,138.91,4
A029_1,1.0,1
A029_2,28.43,2
A029_3,93.26,3
A029_4,143.14,4
A030_1,1.0,1
A030_2,32.95,2
A030_3,71.93,3
A030_4,150.46,4
A031_1,1.0,1
A031_2,32.41,2
A031_3,71.56,3
A031_4,143.85,4
A032_1,1.0,1
A032_2,57.18,2
A032_3,80.16,3
A032_4,144.51,4
A033_1,1.0,1
A033_2,29.16,2
A033_3,72.6,3
A033_4,168.33,4
A034_1,1.0,1
A034_2,26.08,2
A034_3,74.28,3
A034_4,145.38,4
A035_1,1.0,1
A035_2,44.76,2
A035_3,79.98,3
A035_4,152.47,4
A036_1,1.0,1
A036_2,21.63,2
A036_3,71.47,3
A036_4,143.85,4
A037_1,1.0,1
A037_2,23.7,2
A037_3,72.08,3
A037_4,143.66,4
A038_1,1.0,1
A038_2,71.85,2
A038_3,72.86,3
A038_4,152.89,4
A039_1,1.0,1
A039_2,28.65,2
A039_3,98.84,3
A039_4,246.24,4
