composite_ID,theta_All,se_All
A010_T1,0.9966144,0.07339282
A010_T2,0.15345456,0.07339282
A010_T3,-0.33591253,0.07339282
A010_T4,-0.29618156,0.07339282
A011_T1,2.008585,0.07339282
A011_T2,0.74341935,0.07339282
A011_T3,0.42186868,0.07339282
A011_T4,-0.1016792,0.07339282
A012_T1,1.096769,0.07339282
A012_T2,0.21001981,0.07339282
A012_T3,0.28759786,0.07339282
A012_T4,0.20642641,0.07339282
A013_T1,0.14108829,0.07339282
A013_T2,-0.5918755,0.07339282
A013_T3,-0.03260356,0.07339282
A013_T4,-0.68100774,0.07339282
A014_T1,1.5729513,0.07339282
A014_T2,1.2684107,0.07339282
A014_T3,1.0899367,0.07339282
A014_T4,0.5533023,0.07339282
A015_T1,1.4229563,0.07339282
A015_T2,0.4972281,0.07339282
A015_T3,0.28848577,0.07339282
A015_T4,0.38678306,0.07339282
A016_T1,0.6762369,0.07339282
A016_T2,0.21624197,0.07339282
A016_T3,-0.04119006,0.07339282
A016_T4,-0.40759152,0.07339282
A017_T1,1.2367781,0.07339282
A017_T2,2.2045667,0.07339282
A017_T3,2.0331683,0.07339282
A017_T4,1.1423697,0.07339282
A018_T1,0.4011214,0.07339282
A018_T2,-0.6122024,0.07339282
A018_T3,-0.9603171,0.07339282
A018_T4,-1.4447218,0.07339282
A019_T1,-0.13678566,0.07339282
A019_T2,-0.41609767,0.07339282
A019_T3,-0.15715945,0.07339282
A019_T4,-0.49642876,0.07339282
A020_T1,0.4385481,0.07339282
A020_T2,0.025535457,0.07339282
A020_T3,-0.6426598,0.07339282
A020_T4,-1.0779264,0.07339282
A021_T1,1.2973111,0.07339282
A021_T2,0.85418165,0.07339282
A021_T3,0.71108764,0.07339282
A021_T4,0.59444976,0.07339282
A022_T1,-1.0273978,0.07339282
A022_T2,-1.6089394,0.07339282
A022_T3,-1.41758,0.07339282
A022_T4,-2.2419448,0.07339282
A023_T1,0.8757261,0.07339282
A023_T2,0.7151295,0.07339282
A023_T3,0.6461154,0.07339282
A023_T4,0.7143073,0.07339282
A024_T1,0.5364075,0.07339282
A024_T2,0.20124167,0.07339282
A024_T3,0.3713352,0.07339282
A024_T4,0.009039989,0.07339282
A025_T1,0.7685537,0.07339282
A025_T2,0.37906578,0.07339282
A025_T3,-0.37838924,0.07339282
A025_T4,-2.0631132,0.07339282
A026_T1,0.56117547,0.07339282
A026_T2,0.14260052,0.07339282
A026_T3,0.47051916,0.07339282
A026_T4,0.6031819,0.07339282
A027_T1,1.0715036,0.07339282
A027_T2,0.56911445,0.07339282
A027_T3,-0.28420392,0.07339282
A027_T4,-0.9887715,0.07339282
A028_T1,1.2547947,0.07339282
A028_T2,0.59293026,0.07339282
A028_T3,-0.35394546,0.07339282
A028_T4,-0.23738918,0.07339282
A029_T1,1.6053915,0.07339282
A029_T2,1.1294532,0.07339282
A029_T3,0.56202656,0.07339282
A029_T4,0.8559158,0.07339282
A030_T1,0.23597223,0.07339282
A030_T2,0.64555764,0.07339282
A030_T3,-0.12588719,0.07339282
A030_T4,-0.024427809,0.07339282
A031_T1,2.0878112,0.07339282
A031_T2,0.40126973,0.07339282
A031_T3,-0.27508643,0.07339282
A031_T4,-0.800131,0.07339282
A032_T1,0.3052368,0.07339282
A032_T2,-0.49530542,0.07339282
A032_T3,-0.23620081,0.07339282
A032_T4,0.30469647,0.07339282
A033_T1,0.77137077,0.07339282
A033_T2,0.4549792,0.07339282
A033_T3,0.41117167,0.07339282
A033_T4,-0.64959884,0.07339282
A034_T1,2.0106363,0.07339282
A034_T2,1.7898816,0.07339282
A034_T3,1.2632637,0.07339282
A034_T4,0.6997216,0.07339282
A035_T1,0.8264408,0.07339282
A035_T2,0.7271903,0.07339282
A035_T3,0.063205935,0.07339282
A035_T4,-0.33424705,0.07339282
A036_T1,-0.8724763,0.07339282
A036_T2,-1.4847412,0.07339282
A036_T3,-1.3907819,0.07339282
A036_T4,-1.6291748,0.07339282
A037_T1,0.981827,0.07339282
A037_T2,0.40132684,0.07339282
A037_T3,-0.5773718,0.07339282
A037_T4,-0.9496738,0.07339282
A038_T1,1.2398889,0.07339282
A038_T2,0.9916787,0.07339282
A038_T3,1.0252008,0.07339282
A038_T4,0.66296256,0.07339282
A039_T1,2.2039258,0.07339282
A039_T2,1.7605134,0.07339282
A039_T3,0.9264932,0.07339282
A039_T4,0.4581183,0.07339282
A040_T1,0.10722337,0.07339282
A040_T2,0.08675729,0.07339282
A040_T3,-1.4581342,0.07339282
A040_T4,-2.264335,0.07339282
A041_T1,1.1639924,0.07339282
