composite_ID,UID,test,theta_All,se_All,TSVR_hours,Days,Days_squared,log_Days_plus1
A010_T1,A010,T1,0.9966144,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A010_T2,A010,T2,0.15345456,0.07339282,21.9,0.9125,0.83265625,0.6484112867185539
A010_T3,A010,T3,-0.33591253,0.07339282,80.88,3.3699999999999997,11.356899999999998,1.4747630091074986
A010_T4,A010,T4,-0.29618156,0.07339282,145.31,6.054583333333333,36.65797934027778,1.9536775237921948
A011_T1,A011,T1,2.008585,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A011_T2,A011,T2,0.74341935,0.07339282,24.57,1.02375,1.0480640625,0.7049522260097076
A011_T3,A011,T3,0.42186868,0.07339282,72.55,3.0229166666666667,9.138025173611112,1.392007178526578
A011_T4,A011,T4,-0.1016792,0.07339282,148.85,6.202083333333333,38.46583767361111,1.974370336019688
A012_T1,A012,T1,1.096769,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A012_T2,A012,T2,0.21001981,0.07339282,25.6,1.0666666666666667,1.1377777777777778,0.7259370033829361
A012_T3,A012,T3,0.28759786,0.07339282,166.33,6.930416666666667,48.030675173611115,2.070705577351747
A012_T4,A012,T4,0.20642641,0.07339282,166.87,6.952916666666667,48.34305017361111,2.0735387376938554
A013_T1,A013,T1,0.14108829,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A013_T2,A013,T2,-0.5918755,0.07339282,24.77,1.0320833333333332,1.0651960069444442,0.7090615393740157
A013_T3,A013,T3,-0.03260356,0.07339282,79.66,3.3191666666666664,11.016867361111109,1.4630624824136147
A013_T4,A013,T4,-0.68100774,0.07339282,147.13,6.130416666666666,37.58200850694444,1.9643696712414147
A014_T1,A014,T1,1.5729513,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A014_T2,A014,T2,1.2684107,0.07339282,25.66,1.0691666666666666,1.143117361111111,0.727145949732075
A014_T3,A014,T3,1.0899367,0.07339282,70.56,2.94,8.6436,1.3711807233098425
A014_T4,A014,T4,0.5533023,0.07339282,148.87,6.202916666666667,38.47617517361111,1.9744860365867498
A015_T1,A015,T1,1.4229563,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A015_T2,A015,T2,0.4972281,0.07339282,23.69,0.9870833333333334,0.9743335069444446,0.6866679019621874
A015_T3,A015,T3,0.28848577,0.07339282,70.59,2.94125,8.650951562500001,1.3714979318771336
A015_T4,A015,T4,0.38678306,0.07339282,146.54,6.105833333333333,37.28120069444444,1.9609160429659578
A016_T1,A016,T1,0.6762369,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A016_T2,A016,T2,0.21624197,0.07339282,32.85,1.3687500000000001,1.8734765625000003,0.8623623898485996
A016_T3,A016,T3,-0.04119006,0.07339282,80.64,3.36,11.289599999999998,1.4724720573609429
A016_T4,A016,T4,-0.40759152,0.07339282,150.8,6.283333333333334,39.480277777777786,1.9855886328734895
A017_T1,A017,T1,1.2367781,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A017_T2,A017,T2,2.2045667,0.07339282,20.61,0.85875,0.7374515625,0.6199042187922278
A017_T3,A017,T3,2.0331683,0.07339282,61.28,2.5533333333333332,6.519511111111111,1.2678861300695887
A017_T4,A017,T4,1.1423697,0.07339282,140.49,5.853750000000001,34.26638906250001,1.9247959477361212
A018_T1,A018,T1,0.4011214,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A018_T2,A018,T2,-0.6122024,0.07339282,34.03,1.4179166666666667,2.0104876736111112,0.8829062878545713
A018_T3,A018,T3,-0.9603171,0.07339282,83.64,3.485,12.145225,1.5007384955107592
A018_T4,A018,T4,-1.4447218,0.07339282,150.87,6.28625,39.5169390625,1.9859890103776225
A019_T1,A019,T1,-0.13678566,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A019_T2,A019,T2,-0.41609767,0.07339282,28.69,1.1954166666666668,1.4290210069444447,0.7863718538732487
A019_T3,A019,T3,-0.15715945,0.07339282,83.68,3.486666666666667,12.156844444444445,1.5011100355484719
A019_T4,A019,T4,-0.49642876,0.07339282,154.76,6.448333333333333,41.581002777777776,2.007990293717305
A020_T1,A020,T1,0.4385481,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A020_T2,A020,T2,0.025535457,0.07339282,26.85,1.1187500000000001,1.2516015625000003,0.7508262921466236
A020_T3,A020,T3,-0.6426598,0.07339282,78.25,3.2604166666666665,10.630316840277777,1.4493669645749654
A020_T4,A020,T4,-1.0779264,0.07339282,145.78,6.074166666666667,36.89550069444444,1.956449650961876
A021_T1,A021,T1,1.2973111,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A021_T2,A021,T2,0.85418165,0.07339282,30.21,1.25875,1.5844515625000002,0.8148115629243012
A021_T3,A021,T3,0.71108764,0.07339282,74.19,3.09125,9.5558265625,1.4088505468332533
A021_T4,A021,T4,0.59444976,0.07339282,140.39,5.8495833333333325,34.217625173611104,1.9241878231734733
A022_T1,A022,T1,-1.0273978,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A022_T2,A022,T2,-1.6089394,0.07339282,24.15,1.0062499999999999,1.0125390624999997,0.6962673078961887
A022_T3,A022,T3,-1.41758,0.07339282,74.46,3.1024999999999996,9.625506249999997,1.4115965439821088
A022_T4,A022,T4,-2.2419448,0.07339282,141.71,5.904583333333334,34.864104340277784,1.932185442293757
A023_T1,A023,T1,0.8757261,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A023_T2,A023,T2,0.7151295,0.07339282,25.63,1.0679166666666666,1.1404460069444444,0.7265416592514038
A023_T3,A023,T3,0.6461154,0.07339282,72.2,3.0083333333333333,9.050069444444444,1.388375527323715
A023_T4,A023,T4,0.7143073,0.07339282,145.07,6.044583333333333,36.5369876736111,1.9522590000009294
A024_T1,A024,T1,0.5364075,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A024_T2,A024,T2,0.20124167,0.07339282,29.57,1.2320833333333334,1.518029340277778,0.8029353795449234
A024_T3,A024,T3,0.3713352,0.07339282,91.47,3.81125,14.5256265625,1.5709569256158187
A024_T4,A024,T4,0.009039989,0.07339282,145.65,6.0687500000000005,36.82972656250001,1.9556836608822936
A025_T1,A025,T1,0.7685537,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A025_T2,A025,T2,0.37906578,0.07339282,23.33,0.9720833333333333,0.9449460069444444,0.679090513570211
A025_T3,A025,T3,-0.37838924,0.07339282,72.94,3.0391666666666666,9.236534027777777,1.3960384000692843
A025_T4,A025,T4,-2.0631132,0.07339282,137.74,5.739166666666667,32.93803402777778,1.9079362773197304
A026_T1,A026,T1,0.56117547,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A026_T2,A026,T2,0.14260052,0.07339282,26.48,1.1033333333333333,1.2173444444444443,0.7435233878850122
A026_T3,A026,T3,0.47051916,0.07339282,75.46,3.1441666666666666,9.885784027777778,1.421701722938647
A026_T4,A026,T4,0.6031819,0.07339282,147.65,6.152083333333334,37.84812934027778,1.9674036895557554
A027_T1,A027,T1,1.0715036,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A027_T2,A027,T2,0.56911445,0.07339282,28.26,1.1775,1.38650625,0.7781774297445209
A027_T3,A027,T3,-0.28420392,0.07339282,74.58,3.1075,9.65655625,1.412814570929286
A027_T4,A027,T4,-0.9887715,0.07339282,145.92,6.079999999999999,36.96639999999999,1.9572739077056283
A028_T1,A028,T1,1.2547947,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A028_T2,A028,T2,0.59293026,0.07339282,22.82,0.9508333333333333,0.9040840277777777,0.668256631714819
A028_T3,A028,T3,-0.35394546,0.07339282,72.26,3.0108333333333337,9.065117361111113,1.388999033527018
