composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A010_T1,A010,T1,1.0,0.8216373851112803,0.02234467632875416
A010_T2,A010,T2,21.9,0.2997348711435085,0.02232846276355967
A010_T3,A010,T3,80.88,-0.19120694876786754,0.017085838105991374
A010_T4,A010,T4,145.31,-0.4310717367330148,0.01549833466027738
A011_T1,A011,T1,1.0,1.6040475016896114,0.03558312484105433
A011_T2,A011,T2,24.57,0.9100933221268166,0.036089258480091146
A011_T3,A011,T3,72.55,0.3934247526669171,0.028706589880965052
A011_T4,A011,T4,148.85,0.006627169836870435,0.030345925388439717
A012_T1,A012,T1,1.0,0.9794908627153,0.0245999778003135
A012_T2,A012,T2,25.6,0.5699193645489546,0.03929606777160867
A012_T3,A012,T3,166.33,0.08807184432470196,0.029595484974563147
A012_T4,A012,T4,166.87,0.08730513502216034,0.029940175361992893
A013_T1,A013,T1,1.0,0.2192463255933631,0.022484893076478357
A013_T2,A013,T2,24.77,-0.17968401803141412,0.023852127003155085
A013_T3,A013,T3,79.66,-0.4828874566010312,0.01992358787081699
A013_T4,A013,T4,147.13,-0.6418764679849381,0.024336773966894477
A014_T1,A014,T1,1.0,1.6386775498292916,0.02127922645173679
A014_T2,A014,T2,25.66,1.1693470886824346,0.018155907254058093
A014_T3,A014,T3,70.56,0.8588353997794275,0.018176934686663402
A014_T4,A014,T4,148.87,0.6165201485314675,0.0164173721597652
A015_T1,A015,T1,1.0,1.2206889673972927,0.02035571109875559
A015_T2,A015,T2,23.69,0.7400433750904652,0.02050150962876992
A015_T3,A015,T3,70.59,0.38613970043513085,0.016798365532615454
A015_T4,A015,T4,146.54,0.1373503108585,0.027870137526669725
A016_T1,A016,T1,1.0,0.7528318938240023,0.01268358521645845
A016_T2,A016,T2,32.85,0.17016507626684804,0.01752181289985794
A016_T3,A016,T3,80.64,-0.13588896930304245,0.01365249850705506
A016_T4,A016,T4,150.8,-0.3582249266641584,0.015202320501788946
A017_T1,A017,T1,1.0,1.8875144128460433,0.07378819652695331
A017_T2,A017,T2,20.61,1.6500645828467837,0.02100827484697233
A017_T3,A017,T3,61.28,1.4672157478683758,0.045193171641147396
A017_T4,A017,T4,140.49,1.3310531474880187,0.03905445174857806
A018_T1,A018,T1,1.0,0.26943340675981237,0.02579923096716888
A018_T2,A018,T2,34.03,-0.5361261523679005,0.033929122445946966
A018_T3,A018,T3,83.64,-0.9657745373946915,0.019344921843347705
A018_T4,A018,T4,150.87,-1.2728333128804588,0.032837929283408084
A019_T1,A019,T1,1.0,0.1291581077655046,0.032325806743512826
A019_T2,A019,T2,28.69,-0.2279508694394576,0.03299845495340686
A019_T3,A019,T3,83.68,-0.45163543654222554,0.026875148055117218
A019_T4,A019,T4,154.76,-0.56923352356345,0.03497722388352023
A020_T1,A020,T1,1.0,0.4780055769865319,0.014520438608327494
A020_T2,A020,T2,26.85,-0.1613422921428083,0.029111900135640377
A020_T3,A020,T3,78.25,-0.6123181979228904,0.015399809473858233
A020_T4,A020,T4,145.78,-0.901851733193558,0.029875249145685765
A021_T1,A021,T1,1.0,1.3447725003106004,0.01839277347169068
A021_T2,A021,T2,30.21,0.8785400494540968,0.020234569687379703
