composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age,Age_c,Time,Time_recip,Time_log
A010_T1,A010,T1,0.9966144,0.07339282,1.0,22.0,-22.57,1.0,0.5,0.6931471805599453
A010_T2,A010,T2,0.15345456,0.07339282,21.9,22.0,-22.57,21.9,0.04366812227074236,3.131136910560194
A010_T3,A010,T3,-0.33591253,0.07339282,80.88,22.0,-22.57,80.88,0.012212994626282366,4.405254760793088
A010_T4,A010,T4,-0.29618156,0.07339282,145.31,22.0,-22.57,145.31,0.00683480281593876,4.985727658390071
A011_T1,A011,T1,2.008585,0.07339282,1.0,21.0,-23.57,1.0,0.5,0.6931471805599453
A011_T2,A011,T2,0.74341935,0.07339282,24.57,21.0,-23.57,24.57,0.03910833007430583,3.2414197893030954
A011_T3,A011,T3,0.42186868,0.07339282,72.55,21.0,-23.57,72.55,0.013596193065941536,4.297965447047447
A011_T4,A011,T4,-0.1016792,0.07339282,148.85,21.0,-23.57,148.85,0.0066733400066733405,5.009634793762673
A012_T1,A012,T1,1.096769,0.07339282,1.0,21.0,-23.57,1.0,0.5,0.6931471805599453
A012_T2,A012,T2,0.21001981,0.07339282,25.6,21.0,-23.57,25.6,0.03759398496240601,3.2809112157876537
A012_T3,A012,T3,0.28759786,0.07339282,166.33,21.0,-23.57,166.33,0.005976214665630789,5.119967910506483
A012_T4,A012,T4,0.20642641,0.07339282,166.87,21.0,-23.57,166.87,0.005956990528385059,5.123189870334323
A013_T1,A013,T1,0.14108829,0.07339282,1.0,22.0,-22.57,1.0,0.5,0.6931471805599453
A013_T2,A013,T2,-0.5918755,0.07339282,24.77,22.0,-22.57,24.77,0.038804811796662786,3.2492110246642736
A013_T3,A013,T3,-0.03260356,0.07339282,79.66,22.0,-22.57,79.66,0.012397718819737169,4.390242789445222
A013_T4,A013,T4,-0.68100774,0.07339282,147.13,22.0,-22.57,147.13,0.006750826976304598,4.998090266593961
A014_T1,A014,T1,1.5729513,0.07339282,1.0,22.0,-22.57,1.0,0.5,0.6931471805599453
A014_T2,A014,T2,1.2684107,0.07339282,25.66,22.0,-22.57,25.66,0.037509377344336084,3.2831643147505627
A014_T3,A014,T3,1.0899367,0.07339282,70.56,22.0,-22.57,70.56,0.01397428731134712,4.270536258640519
A014_T4,A014,T4,0.5533023,0.07339282,148.87,22.0,-22.57,148.87,0.006672449456195369,5.009768251656904
A015_T1,A015,T1,1.4229563,0.07339282,1.0,23.0,-21.57,1.0,0.5,0.6931471805599453
A015_T2,A015,T2,0.4972281,0.07339282,23.69,23.0,-21.57,23.69,0.04050222762251924,3.206398303357088
A015_T3,A015,T3,0.28848577,0.07339282,70.59,23.0,-21.57,70.59,0.013968431345159939,4.270955399408094
A015_T4,A015,T4,0.38678306,0.07339282,146.54,23.0,-21.57,146.54,0.0067778229632641995,4.9940993254561565
A016_T1,A016,T1,0.6762369,0.07339282,1.0,21.0,-23.57,1.0,0.5,0.6931471805599453
A016_T2,A016,T2,0.21624197,0.07339282,32.85,21.0,-23.57,32.85,0.029542097488921712,3.521938999358284
A016_T3,A016,T3,-0.04119006,0.07339282,80.64,21.0,-23.57,80.64,0.01224889759921607,4.402319337941644
A016_T4,A016,T4,-0.40759152,0.07339282,150.8,21.0,-23.57,150.8,0.006587615283267457,5.02256386496153
A017_T1,A017,T1,1.2367781,0.07339282,1.0,24.0,-20.57,1.0,0.5,0.6931471805599453
A017_T2,A017,T2,2.2045667,0.07339282,20.61,24.0,-20.57,20.61,0.04627487274409996,3.0731561705187946
A017_T3,A017,T3,2.0331683,0.07339282,61.28,24.0,-20.57,61.28,0.016056518946692355,4.131640346965797
A017_T4,A017,T4,1.1423697,0.07339282,140.49,24.0,-20.57,140.49,0.007067637288854335,4.952229043207861
A018_T1,A018,T1,0.4011214,0.07339282,1.0,23.0,-21.57,1.0,0.5,0.6931471805599453
A018_T2,A018,T2,-0.6122024,0.07339282,34.03,23.0,-21.57,34.03,0.02854695974878675,3.5562048372093953
A018_T3,A018,T3,-0.9603171,0.07339282,83.64,23.0,-21.57,83.64,0.011814744801512287,4.438406968109989
A018_T4,A018,T4,-1.4447218,0.07339282,150.87,23.0,-21.57,150.87,0.00658457891617831,5.023024891742178
A019_T1,A019,T1,-0.13678566,0.07339282,1.0,20.0,-24.57,1.0,0.5,0.6931471805599453
A019_T2,A019,T2,-0.41609767,0.07339282,28.69,20.0,-24.57,28.69,0.03368137420006736,3.3908102887756684
A019_T3,A019,T3,-0.15715945,0.07339282,83.68,20.0,-24.57,83.68,0.011809163911195086,4.4388794462666645
A019_T4,A019,T4,-0.49642876,0.07339282,154.76,20.0,-24.57,154.76,0.006420133538777607,5.048316361063944
A020_T1,A020,T1,0.4385481,0.07339282,1.0,26.0,-18.57,1.0,0.5,0.6931471805599453
A020_T2,A020,T2,0.025535457,0.07339282,26.85,26.0,-18.57,26.85,0.03590664272890485,3.326832966373293
A020_T3,A020,T3,-0.6426598,0.07339282,78.25,26.0,-18.57,78.25,0.012618296529968454,4.37260741275739
A020_T4,A020,T4,-1.0779264,0.07339282,145.78,26.0,-18.57,145.78,0.006812917291184085,4.9889348671169165
A021_T1,A021,T1,1.2973111,0.07339282,1.0,28.0,-16.57,1.0,0.5,0.6931471805599453
A021_T2,A021,T2,0.85418165,0.07339282,30.21,28.0,-16.57,30.21,0.03204101249599487,3.440738556282688
A021_T3,A021,T3,0.71108764,0.07339282,74.19,28.0,-16.57,74.19,0.013299640909695438,4.320018243389936
A021_T4,A021,T4,0.59444976,0.07339282,140.39,28.0,-16.57,140.39,0.007072635971426551,4.951522029603749
A022_T1,A022,T1,-1.0273978,0.07339282,1.0,28.0,-16.57,1.0,0.5,0.6931471805599453
A022_T2,A022,T2,-1.6089394,0.07339282,24.15,28.0,-16.57,24.15,0.039761431411530816,3.224857896545748
A022_T3,A022,T3,-1.41758,0.07339282,74.46,28.0,-16.57,74.46,0.0132520540683806,4.323602714536165
A022_T4,A022,T4,-2.2419448,0.07339282,141.71,28.0,-16.57,141.71,0.007007217433956975,4.9608145991123
A023_T1,A023,T1,0.8757261,0.07339282,1.0,26.0,-18.57,1.0,0.5,0.6931471805599453
