composite_ID,theta_accuracy,se_accuracy
A010_T1,2.7277744,
A010_T2,0.4830945,
A010_T3,-0.063471645,
A010_T4,0.7356485,
A011_T1,0.99576205,
A011_T2,0.40040046,
A011_T3,-0.62277347,
A011_T4,-0.48618072,
A012_T1,1.5109797,
A012_T2,-0.3742091,
A012_T3,0.8594104,
A012_T4,-0.57650775,
A013_T1,0.2579466,
A013_T2,-0.576954,
A013_T3,0.15941933,
A013_T4,-0.50066453,
A014_T1,0.9670465,
A014_T2,1.7351536,
A014_T3,0.37096328,
A014_T4,-0.60555935,
A015_T1,1.7906865,
A015_T2,1.9530646,
A015_T3,1.7458305,
A015_T4,0.74841046,
A016_T1,1.3865802,
A016_T2,0.23833106,
A016_T3,-0.063229874,
A016_T4,-1.1086501,
A017_T1,-0.12061626,
A017_T2,1.2353034,
A017_T3,0.18662216,
A017_T4,0.04002261,
A018_T1,0.34396127,
A018_T2,-0.10368377,
A018_T3,-0.6740158,
A018_T4,0.015628511,
A019_T1,-0.44238952,
A019_T2,-1.233944,
A019_T3,-1.1916012,
A019_T4,-1.652823,
A020_T1,-0.036810145,
A020_T2,-0.4131784,
A020_T3,-0.9177355,
A020_T4,-2.2843106,
A021_T1,1.366235,
A021_T2,0.648662,
A021_T3,0.3772473,
A021_T4,0.77024406,
A022_T1,0.1020859,
A022_T2,0.4643598,
A022_T3,-0.11233316,
A022_T4,0.0056279004,
A023_T1,0.8812526,
A023_T2,-0.48242265,
A023_T3,0.13040453,
A023_T4,0.004668119,
A024_T1,0.33348504,
A024_T2,0.10314593,
A024_T3,0.1529355,
A024_T4,-0.7700928,
A025_T1,0.99917114,
A025_T2,1.6789465,
A025_T3,-0.15189764,
A025_T4,-1.1388493,
A026_T1,1.0569059,
A026_T2,0.062489662,
A026_T3,0.7757372,
A026_T4,-0.26765063,
A027_T1,0.9770042,
A027_T2,0.3337341,
A027_T3,-0.7031997,
A027_T4,-0.8390413,
A028_T1,1.5710772,
A028_T2,-0.19436406,
A028_T3,-0.0985842,
A028_T4,-0.7637951,
A029_T1,1.7016916,
A029_T2,0.3401657,
A029_T3,1.2822845,
A029_T4,0.7683035,
A030_T1,0.33380765,
A030_T2,1.2043047,
A030_T3,-0.12868379,
A030_T4,0.33196774,
A031_T1,2.2557483,
A031_T2,0.018638758,
A031_T3,-0.04251805,
A031_T4,-0.57443035,
A032_T1,0.8067235,
A032_T2,-0.12246857,
A032_T3,0.6580906,
A032_T4,1.5530372,
A033_T1,0.43369794,
A033_T2,0.5100616,
A033_T3,0.9657034,
A033_T4,-0.40873924,
A034_T1,2.0359054,
A034_T2,0.65717703,
A034_T3,-0.10081277,
A034_T4,-0.1552254,
A035_T1,-0.06479133,
A035_T2,0.7425775,
A035_T3,-0.4961729,
A035_T4,-0.98961914,
A036_T1,1.3283472,
A036_T2,-0.15242939,
A036_T3,-0.39740184,
A036_T4,-1.0100961,
A037_T1,1.1801162,
A037_T2,1.2522094,
A037_T3,0.29365978,
A037_T4,-0.16601759,
A038_T1,1.2059275,
A038_T2,-0.16850944,
A038_T3,0.9667946,
A038_T4,-0.017467948,
A039_T1,2.174663,
A039_T2,1.3026897,
A039_T3,0.567675,
A039_T4,0.72307914,
A040_T1,-0.5069201,
A040_T2,0.14172223,
A040_T3,-1.6828778,
A040_T4,-1.6119773,
A041_T1,1.1962991,
A041_T2,-1.1736511,
A041_T3,0.2872409,
A041_T4,0.1290578,
A042_T1,-0.8806226,
A042_T2,-0.99250966,
A042_T3,-0.17139933,
A042_T4,-1.260689,
A043_T1,1.0349586,
A043_T2,0.5667534,
A043_T3,0.56906503,
A043_T4,-0.36708274,
A044_T1,-0.0888245,
A044_T2,-0.37333766,
A044_T3,-1.308094,
A044_T4,-1.7971689,
A045_T1,-0.9017756,
A045_T2,-1.0143217,
A045_T3,-1.1242429,
A045_T4,-1.2476392,
A046_T1,-0.7687857,
A046_T2,-1.3034526,
A046_T3,-1.624248,
A046_T4,-1.154563,
A047_T1,-0.7466336,
A047_T2,-0.5145792,
A047_T3,-1.2429395,
A047_T4,-1.600209,
A048_T1,1.0764405,
A048_T2,-0.06019045,
A048_T3,0.14282681,
A048_T4,0.09614354,
A049_T1,2.1010969,
A049_T2,-0.5321013,
A049_T3,0.37812865,
A049_T4,0.034191336,
A050_T1,-0.39878848,
A050_T2,-0.71372736,
A050_T3,-0.9261868,
A050_T4,-1.1381246,
A051_T1,1.5230782,
A051_T2,-0.30774206,
A051_T3,-0.6520249,
A051_T4,-0.72000563,
A052_T1,0.58457315,
A052_T2,0.3844317,
A052_T3,0.116021834,
A052_T4,-0.8312764,
A053_T1,1.401935,
A053_T2,0.97594434,
A053_T3,-0.40916884,
A053_T4,-0.13549207,
A054_T1,0.52522403,
A054_T2,1.1258696,
A054_T3,1.191061,
A054_T4,1.2362738,
A055_T1,0.28537354,
A055_T2,0.8647509,
A055_T3,-0.119812906,
A055_T4,-0.62007034,
A056_T1,0.5282342,
A056_T2,0.54977185,
A056_T3,-0.4118956,
A056_T4,-0.9539059,
A057_T1,0.4946756,
A057_T2,-0.77376056,
A057_T3,-0.68134856,
A057_T4,-1.0877718,
A058_T1,1.0215306,
A058_T2,-0.8427394,
A058_T3,-0.121771336,
A058_T4,-1.0669552,
A059_T1,0.99710035,
A059_T2,1.2424322,
A059_T3,1.3356622,
A059_T4,0.38432297,
A060_T1,-0.051358394,
A060_T2,1.310061,
A060_T3,-0.5090028,
A060_T4,0.19280487,
A061_T1,2.529091,
A061_T2,0.94611883,
A061_T3,0.27741587,
A061_T4,-0.2929151,
A062_T1,1.5359104,
A062_T2,0.14121151,
A062_T3,-0.59946907,
A062_T4,-0.7168849,
A063_T1,0.86206603,
A063_T2,0.7186035,
A063_T3,0.17484958,
A063_T4,-0.58241045,
A064_T1,0.83211017,
A064_T2,0.56187433,
A064_T3,0.17636402,
A064_T4,-0.33321425,
A065_T1,-2.2385516,
A065_T2,-0.9801161,
A065_T3,-2.2205753,
A065_T4,-2.3754525,
A066_T1,0.46571386,
A066_T2,-0.45289963,
A066_T3,-0.92944336,
A066_T4,-1.2830758,
A067_T1,0.6627066,
A067_T2,-1.312235,
A067_T3,-1.4752139,
A067_T4,-1.1757759,
A068_T1,1.3038205,
A068_T2,0.163223,
A068_T3,0.4192529,
A068_T4,-0.3906647,
A069_T1,-0.7867887,
A069_T2,-1.5067587,
A069_T3,-0.71302193,
A069_T4,-1.7110198,
A070_T1,0.5967721,
A070_T2,0.042192243,
